start	end	text
0	7600	Hey guys, I'm making a quick short addendum to the How YouTube Sucks Better Help video.
7600	11520	At the end of the video, I said this, let's just listen to it again just so we're all
11520	12520	on the same page.
12520	15480	I know I'm a bit late on this one guys, thanks for listening anyway.
15480	18280	I can promise you right now, I'm never gonna sell you guys out.
18280	21780	I mean my description contains a Humble Bundle affiliate link, but that's a service that
21780	23680	I use and I actually think it's good.
23680	27520	And you won't see a paid ad on this channel for anything unless I've used it myself already.
27520	29160	Alright, that about does it for me.
29160	30520	I'll see you guys later.
30520	33600	I love you.
33600	38740	So I still for the most part stand by all of that, with the exception of the Humble
38740	43800	Bundle stuff because a bunch of people in the comments decided to drag me.
43800	45200	Let me just scroll through here.
45200	47720	Humble Bundle shill.
47720	49280	You got me.
49280	52680	Honest question, how do you endorse Humble Bundle with the way they funnel money to leftist
52680	54480	organizations such as the ACLU?
54480	58520	I actually didn't know about this when I made this video guys, this is news to me.
58520	60800	My bet is he did not know, I did not know.
60800	61800	Sargon knew.
61800	65520	Fun fact, Humble Bundle are owned by IGN and donating money to the LCAU.
65520	68440	Ah shit, see I didn't know.
68440	70040	Pour one out for Humble Bundle.
70040	73520	Humble Bundle is a terrible service, it floods your Steam library with hundreds of games,
73520	75720	what shall I do with it?
75720	79320	You mentioned you support Humble Bundle even though you support the ACLU.
79320	82840	Hasn't Humble Bundle been outed in some bullshit funneling money to the ACLU?
82840	84860	The quartering did a video on it.
84860	90340	See I didn't know, the quartering is a, not like a close friend, but a friend of mine
90340	94060	and I don't watch every single one of his videos unfortunately.
94060	96060	Doesn't Humble Bundle pay the ACLU?
96060	97060	Etc.
97060	98060	Etc.
98060	99060	Guys I didn't know.
99060	101140	I legitimately didn't know.
101140	105260	And I did watch the quarterings video before making this one so I have a rough idea of
105260	106260	what's going on.
106260	114500	Apparently IGN bought Humble Bundle and Humble Bundle has now been doing these various bundles
114500	120160	that support really shitty groups like the ACLU because the ACLU is a pretty shitty group
120160	121500	if you look into them.
121500	126220	And if you want to look into them go watch the quarterings video, it's a good video.
126220	132220	However the quartering states in that video that he's not a user of Humble Bundle and
132220	135340	he missed a few points that I want to bring up.
135340	138660	This is not necessarily a reply video to him though it kind of is.
138660	143760	This is not necessarily me defending Humble Bundle because very clearly it's indefensible
143760	148340	to support the ACLU like this and not tell people about it.
148340	154520	But I am going to maybe offer a reasonable justification as to why I won't be removing
154520	157120	my Humble Bundle affiliate link.
157120	160200	Even though frankly I don't think anyone's used it yet.
160200	164960	But let me just show you, I'll go through the process with you so that you can see what
164960	166620	exactly I'm talking about.
166620	171540	So I'm open on an incognito window so that I'm not logged into anything.
171540	175820	This is just an incognito window in Google Chrome.
175820	178500	Here's my Humble Bundle affiliate link.
178500	180960	It's right here, see?
180960	184620	Let's open that up in a new tab.
184620	192320	Because you've clicked on my partner link, you can actually do all of these various bundles
192320	193320	that they have going.
193320	194580	So let's do the gaming one.
194580	199820	It's the WB Games Classics Bundle.
199820	202980	Let's open that one up in a new link.
202980	208340	As you see, seven days remaining, you get Scribblenauts, Shadow of Mordor, Batman Arkham
208340	209540	Oranges, et cetera.
209540	211700	You pay more than the average of $4.13.
211700	213340	You also get these games.
213340	216520	You pay $12 or more and you get these games.
216520	218660	And this is all the stuff.
218660	224540	You get these various things partnered with Short Fight Otaku.
224540	230540	So something that people kind of know, but not necessarily, is that at the bottom here,
230540	235500	there's a tab that says choose where your money goes and you click this.
235500	239380	And if you didn't go through an affiliate link at all, let's just say that you were
239380	246320	just using Humble Bundle without any affiliate link active, you would see WB Games, Charity,
246320	247320	and Humble Tip.
247320	251220	And you can adjust these sliders to see how much of your money goes to certain places.
251220	256860	The charity this one has selected is Choose Charities, Be The Match, and Crisis Text Line.
