start	end	text
0	6600	Hey guys, we just got back from watching The Hobbit. So I thought we'd just do a run through. We got some
7600	9600	AMW burgers
9760	15360	and tea. Should we break them out while we talk? Yeah, you know, it's kind of tradition for us to
16200	18720	Eat crappy food on camera. So
19720	21720	anyways
21720	28320	For those of you who don't really know me. I mean, if they didn't know you, why would they be here? That's true
29000	32840	Anyways, okay, what I'm trying to get at is that I
35960	37960	Have been a
38280	45040	Owls over there. He's playing Red Faction. Thank God I can talk. I was gonna say you can dish while you dish. Excellent!
46120	51780	Right anyways back on the topic. I have been an avid Lord of the Rings fan since I was about 15
51780	53780	Um
53820	56620	These new burgers what for me is actually pretty good
57140	64940	Let's review the burgers instead cuz they're pretty good. Well, I see there's like it's a burger with mayo and cheese and ketchup
69340	71340	Okay, so when I was 15
72140	76400	My my mom tried to get me to read her copy of The Hobbit which I have right here
77660	79740	As my mom's copy. It's missing the back cover
80740	82740	Wonderful and it was um
83540	84820	she
84820	87700	actually purchased a copy of the Sommarillion, which if
88460	93900	You don't know why the fuck would you ever read this? Sommarillion is the history book
94500	96500	it's like the Bible of
96980	100380	Middle Earth it has everything from the beginning or
100820	104420	So they say Eru the one the alluvatar God whatever in halls
104420	108640	I knew also known as well angels and they had this this
109320	116600	This holy symphony and you know, there's more goth or Melkor was like if you haven't noticed
116600	122160	Oh blah blah blah case. You haven't noticed Dave is the ultimate fucking Lord of the Rings nerd asshole
122160	126440	I'm really not and I just I just I that's what I remember though and me
126440	129240	I I don't really care one way either by the series
129240	134320	So we're just kind of I'm the average guy and you're the ultimate fan blood. Oh, so you've been third? Yeah, I did notice
134680	138540	You guys so you got two casuals and pretty much hard for
140600	145560	It was pretty easy to say I mean again I fell asleep during it is there anything less than casual
146480	151260	Apathetic. Oh, okay. So apathetic casual hardcore. We got three levels lethargic
155040	156800	Anyways
156800	161400	so I got pretty hardcore into Lord of the Rings from there I
162400	166920	Watched all I was actually the movie I watch it. What do the movie?
167280	169280	Well, I'm just giving a precursor
169440	176380	Precursors like here's Dave's life regarding Tolkien how much whatever I love. I love Tolkien's work. I love the Hobbit
176380	179360	I love Lord of the Rings. I mean, I've seen all the movies like a thousand times
179360	183560	I own this dick at least three, you know, I you went back in time
184640	186640	Wow, it must show me this
186920	188920	I
190960	194720	Loved the movie I thought was very well done. There are definitely some things that I
195680	197160	wasn't as
197160	199160	overjoyed about but
199200	200800	Here's the thing
200800	202800	they put elements of
203260	208480	something called the unfinished tales into this movie and the unfinished tale is essentially just a collection of
209400	211400	Exactly what it sounds like unfinished tales
211800	216300	That Tolkien wrote during between 1914 and
217160	219160	while basically up to his death and
219680	222240	He never really got them published, but they are all
223760	230280	Relevant to different ages in the Middle Earth universe and one of them is actually a tale of
231840	234320	The the expedition to Erebor
234760	240240	Told through Gandalf's eyes and he goes on a bit about this battle
240880	243560	between the dwarves and the orcs at Moria and
244200	247240	mentions I pretty damn sure he mentions a song and
248600	252240	It was really cool to see all this stuff. That was so originally
252880	259600	That hard that that that that big armless orc guy. Yeah, he wasn't in the Hobbit original. I
260400	264840	Don't think so, I think he was there don't read a book right now to try and find
266440	268400	Thinking he was
268400	272640	Somewhere in there. Maybe but there's so many there's so many characters
273360	276320	Yeah to remember that I mean
277400	283880	Like there this is only the first movie of three and I'll be wrong. They're like halfway through it. Here's here's the thing
284920	289280	This is this is the Hobbit book. Mm-hmm. This is about the same size
289920	296220	One of the three books that make it the Lord of the Rings trilogy. Yep, that trilogy got three movies
296680	299300	This book is getting three movies
300000	304880	That it this this movie is about an hour too long. I think
305720	308240	In our hours two hours too long
309360	311360	So you want you want like a one hour?
312400	315520	50 minute movie. It's like it's like an HBO show
316160	318080	Yeah
318080	322160	It's Game of Thrones watch Game of Thrones. I do have to admit that there were parts that dragged on
322720	327160	The beginning half-hour did think it takes a long time to get going. No, but that's the thing though
327160	329160	I thought it was awesome because
330040	333320	This is a general audience. You have to set up a history
334040	339480	There has to be something established there and I thought the fact that they're showing Erebor is showing the Dwarven Kingdom
340600	344960	They they show Dale they show everything, you know, they show the entire environment around there because
346320	351800	They're not gonna get there until the second movie. Yeah, so they want to show you know
352080	358920	It's not just it's not just a few scribbles on a map. It's a real place with you know, real real towns real people
