start	end	text
0	7360	The Patreon Purge Everyone remembers the Patreon Purge, right?
7360	10480	I did a series of videos on it back in the day, go check them out.
10480	16800	TLDR is, in 2017, Jack Conte published a video about what he called Manifest Observable Behavior
16800	20680	as justification for why he banned Lauren Southern's Patreon account, costing her
20680	21680	quite a bit of money.
21680	24860	Southern was involved in a controversy in Europe, where she was in a boat attempting
24860	28080	to block an Italian search and rescue mission in the Mediterranean Sea.
28080	32140	He was campaigning against the flow of migrants into Europe at that time, and viewed the search
32140	36220	and rescue operation as connected to the steady movement of refugees by water from Africa
36220	37560	and the Middle East to Europe.
37560	40980	I'm not here to talk about that controversy today, I don't know enough about it, frankly.
40980	45920	But I do know that Patreon interpreted the event as likely to cause loss of life, recognized
45920	50100	that their funding helped her perform those actions, and so they banned her from receiving
50100	52240	any further funding on Patreon.
52240	55200	As Jack said, Manifest Observable Behavior.
55460	59700	According to him, it was not any sort of hateful rhetoric that got Lauren Southern banned,
59700	62100	but rather what she did in real life.
62100	68280	A year later, in 2018, Patreon violated this Manifest Observable Behavior rule by banning
68280	72140	Sargon of Akkad from its platform, not for anything he did in real life, not for anything
72140	76440	he did on his YouTube channel, not for anything he did on Patreon, but for dropping the gamer
76440	78760	words as a guest on another person's channel.
78760	82060	You would really have to go and search it out to even know that it happened, as the
82060	85980	channel that it happened on was extremely small, and in fact that's what happened.
85980	89500	Here's some deep lore that's been lost to time, and unfortunately I can't corroborate
89500	93700	it anymore since my old Twitter DMs are gone, but I have it on first-hand knowledge that
93700	96540	it was Ethan Ralph's community that mass-reported him.
96540	98920	But nonetheless, the message from Patreon was clear.
98920	103900	Their terms of service extends not only over their platform or your channel, but over reality
103900	104900	itself.
104900	107760	If you've got a Patreon and you jokingly say some slurs with your friends, you'd
107760	111060	better hope nobody's recording that shit, because it's against Patreon's terms of
111060	112060	service.
112060	116180	Patreon banning for off-platform behavior opened the floodgates for other big tech sites
116180	121060	to do the same, and nowadays it's common and even expected for YouTube, Twitter, Twitch,
121060	124420	and Facebook to ban you for whatever they like, regardless of whether or not it actually
124420	126660	breaks the terms of service you agreed to.
126660	130340	And since the Patreon purge, other crowdfunding sites have followed suit.
130340	134740	Everybody points to Kickstarter as a decent crowdfunding platform, since it famously allowed
134740	139860	the studio fowl porn game Subverse to reach full funding, despite Tim Pool's protests.
139860	141900	But porn on Kickstarter is still a roll of the dice.
141900	146380	The Japanese doujin creator Push Publications has had multiple of their hentai projects
146380	149620	canceled by Kickstarter, with Kickstarter's official reply being,
149620	152620	Our rules strictly prohibit explicit pornographic content.
152620	156660	And further, our payment processor, that's Stripe by the way, does not allow pornographic
156660	157660	projects.
157660	162740	This is clearly a lie, because other Push projects have received full funding on Kickstarter,
162740	164820	as well as many other pornographic projects.
164820	167940	It just seems to be completely arbitrary whether or not something gets banned.
168020	171380	You'd think they'd have the manpower to manually review every project and figure this
171380	172380	shit out.
172380	174260	I guess that's what you get for using unionized workers.
174260	178900	In fact, just a few months after unionizing, Kickstarter had to lay off 40% of its workforce
178900	180140	in order to make the budget work.
180140	181580	It's not just porn though.
181580	186340	Mike Miller of Lone Star Comics tried to get his graphic novel, Lone Star, funded on
186340	187340	Kickstarter.
187340	188340	Kickstarter sent him an email stating,
188340	192020	As a public benefit corporation committed to fighting inequality and creating a more
192020	195980	equitable world, Kickstarter does not allow discrimination, subjugation, or intolerance
195980	197540	towards marginalized groups.
197540	202220	The comic's objectionable content was that the hero, Lone Star, was fighting members
202220	204820	of the Central American criminal organization MS-13.
204820	209420	Now, I don't know about you, but it seems like what naturally follows from Kickstarter's
209420	214580	implication that the comic is racist, is that violent MS-13 marauders are somehow representative
214580	216300	of the average Latino individual.
216300	221020	Either Kickstarter is shockingly racist themselves, or they're actually carrying water for a
221020	222580	raping murderous cartel.
222580	226500	There's other examples of Kickstarter behaving this way, like them removing a page for funding
226500	230180	a pro-life abortion documentary, or the large number of comics that have been rejected for
230180	231820	vague, hand-waved reasons.
231820	235380	But let's not get too bogged down, Kickstarter's competitors are just as bad.
235380	239460	The owner of the Parkside Cafe in Birmingham, Alabama found himself getting canceled for
239460	243580	his anti-George Floyd views, where he notably called Floyd a thug.
243580	246980	Candace Owens decided to start up a GoFundMe for the business, but GoFundMe pulled the
246980	247980	plug on it.
247980	251500	Along with Owens' entire GoFundMe account and any other pages connected to it, for her
251500	255880	support of hate, violence, harassment, bullying, discrimination, terrorism, or intolerance
255880	260400	of any kind, a different GoFundMe page attempted to raise the necessary amount to pay for a
260400	262680	recount during the 2020 election.
262680	265800	GoFundMe claimed that the page was spreading misinformation about the election, while Matt
265800	269680	Brainerd, the Trump staffer who created it, claimed that GoFundMe was interfering in the
269680	271840	electoral process by deplatforming him.
271840	275940	Regardless of how you feel about either of these events, George Floyd, or the 2020 election,
275940	280620	it's not hard to see that these moves by GoFundMe are taken in the context of supporting a prevailing
280620	284160	cultural narrative that extends far beyond their company.
284160	287480	GoFundMe's job isn't to pass judgment on whether or not the election was fraudulent,
287480	291040	or whether or not George Floyd was murdered, but rather than remain neutral, they have
291040	295240	accepted one narrative as fact and called its opposition misinformation, even though
295240	297960	many of their users actively disagree with them.
297960	301200	Indiegogo is much the same way, though at least that brought us Lightbringer.
301200	305040	Bitchute's attempt to fund an alternative comment plugin to Discus was removed from
305040	306720	Indiegogo for no reason whatsoever.
306720	311400	Same with Althaven, a QAnon-centric superhero comic, though that does actually sound pretty
311400	312400	cringe.
312400	314480	For examples all day, but the point remains clear.
314480	318320	Rather than remain neutral platforms, pretty much every crowdfunding site with the exception
318320	322480	of Subscribestar, and don't forget to go to Subscribestar.com and get yourself into the
322480	327120	$5 club and my Discord, kids, have all decided to take blatantly political stances on how
327120	331680	their services are used, and what they deplatform in the name of safety or misinformation.
331680	332680	And you know what?
332680	335680	Just for the sake of argument, let's give them the biggest possible benefit of the doubt.
335680	339400	Let's accept the George Floyd deplatforming because Floyd did die in police custody, making
339400	340960	the police ultimately responsible.
340960	344240	Let's accept the election one because every investigation into the events surrounding
344240	345920	the election has turned up nothing.
345920	348740	Let's accept the Lauren Southern thing because she impeded a search and rescue.
348740	351900	Let's accept the QAnon comic one because, well, QAnon.
351900	355160	You might disagree with their politics, but they are still internally consistent.
355160	358320	They have decided on which narrative is the truth, and yeah, they shouldn't do that,
358320	361900	but now that we're at that point, it's reasonable to expect them to apply their terms
361900	364220	of service equally within this framework.
364220	367620	Even giving them this benefit of the doubt, though, these platforms almost always end
367620	371300	up being scumfuck pieces of shit because they don't actually apply their terms of
371300	373120	service equally within this framework.
373120	374620	Here is an excellent example.
374620	378380	GoFundMe took down a number of campaigns for Kyle Rittenhouse's defense after the Kenosha
378380	379380	Riots.
379380	381060	Yes, believe it or not, that video's still coming.
381060	385900	And after Kyle got his not guilty verdict, GoFundMe reversed that stance, stating that
385900	389300	while their terms of service doesn't allow for the raising of funds with the defense
389300	392420	of somebody charged with a violent crime, once that person is acquitted, it's fair
392420	393420	game again.
393420	394420	That seems alright to me.
394420	397580	The problem is, GoFundMe doesn't actually apply this policy evenly.
397580	399740	Instead, they apply it with a political bias.
399740	405140	Brandon Lee Pack, an Antifa rioter, has been convicted and sentenced to nine years in prison
405140	410660	for throwing rocks, bricks, and fireworks at police during a BLM event in May of 2020,
410660	415540	causing 21 officers to suffer burns, permanent hearing loss, one broken foot, and other injuries.
415540	420100	His charges include aggravated riot, vandalism, breaking and entering, and felonious assault.
420100	421980	His bail was raised on GoFundMe.
421980	426580	There's also the case of GoFundMe deleting a black Trump supporters fundraiser for bulletproof
426580	429860	vests while allowing an identical fundraiser for Antifa's vest to remain up.
429860	430860	No, really.
