start	end	text
0	4680	Well, well, well, the lazy eye of the God Emperor has finally turned towards Silicon
4680	6160	Valley's tech giants.
6160	10560	I'm continuing to monitor the censorship of American citizens on social media platforms.
10560	14900	This is the United States of America, and we have what is known as freedom of speech.
14900	17240	We are monitoring and watching closely.
17240	24480	Twitter should let the banned conservative voices back onto their platform without restriction.
24480	26260	It's called freedom of speech, remember.
26260	27940	You are making a giant mistake.
27940	30700	To be honest, the comments under any Trump tweet are gold.
30700	35340	The man who calls the New York Times and CNN fake news thinks Twitter should be more lenient
35340	38700	towards conspiracy theories from Russian bots and Alex Jones.
38700	41540	Oh my God, how Russia-phobic of you.
41540	44380	Conservatives are caught out on this site, granted a special protection out of fear of
44380	45940	cries of bias.
45940	50540	Everyone else can get banned from minor infractions or phony reports, but conservatives get to
50540	54160	ignore the rules until one goes so far there's a huge backlash.
54160	58280	This is verifiably not true, as evidenced by Jack's appearance on the Joe Rogan podcast.
58280	62200	For example, when Tim Pool brought up that Twitter has codified in its terms of service
62200	66320	misgendering speech as a violation of the rules, he was making the point that Twitter
66320	71120	has taken an issue that is not agreed upon by everybody, but instead has a distinct political
71120	75640	bias and presented it as if it were something neutral like violent content or legitimate
75640	76640	threats.
76640	78320	Freedom of speech does not equal freedom of reach.
78320	82960	I know you're upset over the Kremlin nonsense machines being deplatformed, too bad.
82960	88040	No basic rules of civility or be stuck with a toxic waste dump known as GAV, simple.
88040	91400	Even though most of this comment is trash, there's still a good point here.
91400	93560	Freedom of speech is not freedom of reach.
93560	96080	Twitter also has free speech rights in the United States.
96080	99960	And a solid argument for Twitter's ability to censor its users is that if Twitter was
99960	104120	forced to allow speech from users it disagrees with, that would be compelled speech for them.
104120	106760	So yes, freedom of speech does not mean freedom of reach.
106760	111440	The counterargument, of course, is that would we really accept it if, say, a phone company
111440	115080	cut off service to somebody because of the political opinions they exposed to another
115080	116440	person using their service?
116440	120960	I mean, probably not, but more importantly, the ability to even do so would require a
120960	124520	massive overreach on the part of the phone company, because they would have to monitor
124520	127640	every single use of their service for content they'd want to ban.
127640	131880	This is why wiretapping a phone line is considered illegal in most circumstances.
131880	136520	During my dumping with Scrump on the still unfolding Carlos Maza-Steven Crowder situation
136520	140120	— and I'm sorry I haven't done a full video on it yet, the E3 streams are eating
140120	143820	up all my time right now — I mentioned that the Digital Millennium Copyright Act has what
143820	146280	is known as a Safe Harbor exception.
146280	147280	Let's go into that a little bit.
147280	151480	In layman's terms, a publisher is a group that has the right to actively accept or reject
151480	155280	submissions from outside contributors, and has the legal responsibility for everything
155280	156280	they publish.
156280	160280	Contrast this with a platform which has no legal responsibility for what is published
160280	165320	by its users, but in return it has to make a good faith attempt to censor, delete, and
