start	end	text
0	9520	At this point, you probably know about the disaster that was my Rings of Power Watch
9520	11560	Party video with Lilith and Archon Gibbs.
11560	13960	I've been talking about it on stream for the past couple days.
13960	18360	The quick tldr is, no matter how I censored it, it kept getting blocked, looking a little
18360	19600	something like this.
19600	23880	I finally managed to butcher it enough that it was viewable on YouTube, albeit demonetized.
23880	27240	So if you feel like supporting the channel on Patreon, subscribe to our art, appreciate
27240	28240	it.
28240	30760	It's entirely uncensored on Bitchute, Odyssey, and Rumble.
30760	31760	If you'd rather see it there.
31760	35240	That's okay though, I'm going to keep doing them, at least until Rings of Power is done
35240	36240	anyway.
36240	37240	They're a lot of fun.
37240	38240	Record Thursday Night Upload Friday?
38240	39240	Why not?
39240	42480	But floating around right now are the No Hate Watching memes, after it became known that
42480	46560	Amazon is literally banking the future of Prime Video on the success of Rings of Power.
46560	49880	And I understand that point of view, people are finally seeing a way to strike at the
49880	54080	heart of some of the terminal woke rot in media, and it kind of feels like everyone's
54080	55080	desperate for a win.
55080	59380	But the cold hard truth is, No Hate Watching on its own isn't going to be what solves
59380	60380	this problem.
60380	61380	Consider Star Wars.
61380	63880	The new trilogy sucked, but they still earned a ton of money.
63880	66700	Less than they should have, yeah, but all three still turned a profit.
66700	70520	And yet, despite that, Star Wars as a franchise is in shambles now.
70520	75480	What was originally a small set of once-in-a-generation releases have become run-of-the-mill and easily
75480	76480	ignorable.
76480	79120	Part of this is the sheer amount of stuff being pumped out, for sure.
79120	81600	Restricted quantity can serve to make something feel special.
81600	85760	And part of it is definitely low quality, but part of it is also the reduced trust in
85760	87040	the franchise.
87040	91020	This is what I meant when I said, I think a year ago at this point, that Get Woke Go
91020	94000	Broke is not a sophisticated enough analysis.
94000	97440	Simply putting diversity hires into a property won't mean that it instantly tanks.
97440	98840	In fact, it often doesn't.
98840	102080	But sacrificing quality for politics does burn your audience.
102080	104860	And once burned, they're far less likely to return again.
104860	109540	This is a long-term failure, getting to the point that the Han Solo movie was a box office
109540	114200	bomb, unheard of for Star Wars, is going to first take several other bad Star Wars
114200	116620	films that nonetheless bring in the cash.
116620	119940	In order to reduce franchise trust to the point that the company actually starts to
119940	123960	take financial damage from the lack of interest, the point where no hate-watching is actually
123960	127020	a viable tactic, the general public first has to get burned.
127020	128860	They've got to stomach some god-awful shit.
128860	132020	They've got to walk out of the theater thinking, that was a waste of my money, never doing
132020	133020	that again.
133020	136260	And that entails the studios making some money, at least in the short term.
136300	140260	Unfortunately, we're not there yet with Prime Studios and the Rings of Power.
140260	142480	Amazon is one of the biggest companies in human history.
