start	end	text
0	10300	Tangentially related to the whole trigger warning thing is using an asterisk to censor
10300	14620	a name, generally by replacing the first vowel with the asterisk.
14620	16160	It looks something like this.
16160	20360	Trigger warning, sexual assault, rape, and murder, with various letters being censored.
20360	21960	I'm sure you've noticed this before.
21960	25160	And yeah, this is pretty messed up, isn't it?
25160	26160	Jesus.
26160	27160	It is.
27160	30160	It goes hand in hand with trigger warnings, simply as part of the warning.
30160	35880	So you don't have to be even further triggered by looking at the full word of murder or rape.
35880	40940	Now what this actually comes from is a website called Atsizklar.com, I think it's pronounced.
40940	43120	I don't know, it's Turkish and I can't pronounce any of that.
43120	48080	But it was a Turkish ultra nationalist website, kind of like stormfront.org, but for Turkish
48080	49080	people.
49080	55040	Back in 2009, the admins of that forum wanted to censor debates about Kurdish people.
55040	56920	So they set up a filter on their forums.
56920	59260	You couldn't post Kurd or Kurdish.
59260	64680	To bypass this, people started to put an asterisk in place of the U in Kurd.
64680	68700	And eventually that form of Kurd began to be used as an insult.
68700	72880	This floated around the Turkish internet for a while, but around 2012, I remember seeing
72880	77400	it on some more obscure sites like 4chan or other smaller message boards.
77400	80240	By 2017, it had broken into the English mainstream.
80240	81960	And now you see it all the time like this.
81960	82960	Wake up.
82960	83960	Still not British.
83960	85640	It basically improves noticeably.
85640	91560	It started as slang terminology to disparagingly refer to people of different ethnic or national
91560	92560	origins.
92560	96520	But when it crossed the language barrier and jumped over to the English side of the internet,
96520	101940	because of the asterisks already heavy use in censorship, the two uses combined and became
101940	104300	their own very strange phenomenon.
104300	109800	The combination of censorship as well as adding the ethnic or group identity element basically
109800	114080	made the asterisk a perfect pairing with stuff like trigger warnings, which is why
114080	115640	you get messages like this.
115640	116640	Trigger warning.
116640	117640	Misogyny.
117640	118640	Incels.
118640	119640	Murder.
119640	120860	I recently proposed to our project manager of introducing performance metrics to keep
120860	121860	our developers in check.
121860	125440	We will collect the data and use it to determine whether employee productivity is up.
125440	130200	This absolute incel, with a censored E of course, emailed me this bigoted message.
130200	132240	I have submitted to HR his threatening response.
132240	136720	And the message was just basically, implement this and I will kill you.
136720	140520	I mean, I can see how that can be taken as a joke, but you know what?
140520	142800	You're working in a professional environment, maybe you should cool it.
142800	144840	But nonetheless, incel is censored.
144840	146880	Yeah, I'm kind of curious actually.
146880	155200	What if we did something like, I N C asterisks L and search for that specific, what do we
155200	156200	get?
156200	159100	What is it with men making group chats about women they don't like?
159100	160260	Incel behavior.
160260	163160	Men of means don't do, wait, women do this about men.
163160	164160	Jesus.
164160	168320	This is gonna make me sound like an incel, but VTubers don't make me, why are you censoring
168320	169320	incel?
169320	171240	There's no, oh, it's because, oh, oh, okay.
171240	175880	I'm looking forward to an incel revolution when they have the first female bond.
175880	178640	There's no way these people, these random ass people are triggered.
178640	179640	I mean, maybe.
179640	181360	Why do they feel the need to do this?
181360	183360	All right, let's try murder.
183360	185480	M asterisks R D E R.
185480	188720	Yeah, when it comes to murder, these seem to be more like jokey, right?
188720	191000	Like they're kind of in on the joke, they get it.
191000	192000	Fair enough.
192000	194960	How about rape?
194960	199420	Why slut shaming contributes to rape culture, enthusiastic consent and sex positively are
199420	200720	widely undesirable.
200720	204420	I'm just gonna, I'm just gonna, I'm not gonna listen to your nonsense, but how soft do you
204420	208840	have to be to censor the word rape when talking about rape culture?
208840	212480	The superintendent looked the father in the eye and said that not only did the rape not
212480	214760	happen, but the student did not exist.
