start	end	text
0	8060	It's finally time I tackled this subject.
8060	11760	I talked about it briefly on the most recent sip, and realized that I should get my thoughts
11760	16220	on this topic down in some sort of thought-out, pre-scripted, organized way, without garbling
16220	18540	it on stream, because that's how I roll.
18540	23420	So let's finally examine the question, are trans women actually women?
23420	28260	Well, let's focus on the specifics, namely what we mean when we ask the question, are
28260	33580	trans women women, and what lens we're using to try and discover an answer to the question.
33580	37500	Conservatives tend to rely on the intuitive answer here, a simple no, often coupled with
37500	39320	the pithier mark, define woman.
39320	43180	The conservative position here is that woman is defined as adult human female, because
43180	46300	trans women are adult human males, they can't be women.
46300	49200	Conservatives generally leave it here because the logic is compact and punchy.
49200	52540	But let's actually analyze what makes this view operate.
52540	56700	This is where we get to the first lens, the taxonomy view of biological sex.
56700	60340	Taxonomy is the science of classification, how we organize a bunch of separate things
60340	61500	into groups of things.
61500	64020	We use it for libraries, for computers, for finance.
64020	68380	But important to us right now is biological taxonomy, specifically sexual taxonomy.
68380	69940	I'll just cut right to the heart of it.
69940	74160	When it comes to biological life on earth, we identify males as members of a species
74160	78140	that produces small gametes, which is almost always some type of sperm, and we identify
78140	81880	females as members of the species that produces large gametes, which is almost always some
81880	82880	type of egg.
82880	86900	There are some single-celled organisms that reproduce either by cell fission or instead
86900	90880	by swapping gametes, but they're so small that the gametes are the same size, meaning
90880	92860	neither is really male or female.
92860	94200	But those are exceptions.
94200	98180	Once we move beyond primitive cellular life, it's all about gamete sizes.
98180	99180	It's not about chromosomes.
99180	101320	A lot of people like to say it's either XX or XY.
101320	105520	But birds, fish, and snakes all have a ZW chrominal system, and yet they still have
105520	106760	males and females.
106760	110120	Some bugs and bats have an XO system, moths have a ZO system.
110120	111700	The point is that chromosomes aren't enough.
111700	115860	Even in humans, somebody can have abnormal chromosomes and still produce large or small
115860	116860	gametes.
116860	120520	It's not about who has what genitals, it's not about hormones, it's not about who does
120520	122900	the penetrating or who carries the child or who raises.
122900	124860	Throw all that out the window, it's irrelevant.
124860	128400	Sexual taxonomy is determined by the size of the gametes you produce.
128400	132740	Almost every species has males and females corresponding to producing small and large
132740	134160	gametes respectively.
134160	138380	Some species, like earthworms and snails, and a lot of plants, are hermaphroditic, meaning
138380	141620	they produce both small and large gametes at the same time.
141620	145660	In humans, there are intersex people, but it still comes down to what gametes, if any,
145660	146660	they produce.
146660	152380	So far, there's been zero documented cases of any human ever producing both sets of gametes.
152380	154220	With that being said, let's move on.
154220	155940	Consider cattle as a species.
155940	159300	Adult males of the species, meaning cattle that can produce small gametes, are called
159300	160340	bulls.
160340	163380	Adult females, cattle that can produce large gametes, are called cows.
163380	164860	Immature cattle are called calves.
164860	168860	An immature male, meaning a cattle that cannot yet produce small gametes but will once he
168860	171980	matures, is a bull calf, while an immature female is a heifer.
171980	173300	But here's where it gets interesting.
173300	177940	A castrated male, meaning a cattle that could produce small gametes but has a sexual organ
177940	179860	surgically removed, is an ox.
179860	182900	Oxen are preferable for labor over bulls, being easier to control.
182900	187020	You'll find a similar naming convention among a lot of animal species, at least in English.
187020	188020	Here's another quick example.
188020	190860	For deer, adult males are bucks or stags, depending on the species.
190860	192500	Adult females are generally does.
192500	195540	Children are generally fawns or kids, depending on species and gender.
195540	197540	A sterilized deer is a Javier.
197540	201800	Natural taxonomy commonly breaks out into these five classifications, all revolving
201800	203160	around gamete production.
203160	207020	Immature male, immature female, mature male, mature female, and neuter.
207020	210460	In a taxonomic sense, there's no reason that humans would be different than any other
210460	211520	animal on Earth.
211520	214940	We have children who cannot yet produce gametes but will, boys and girls.
214940	217300	We have adults who do produce gametes, men and women.
217300	220180	And we have people who can't produce gametes anymore, eunuchs.
220180	224820	This schema also applies to intersex and trans people, based on if they produce large gametes,
224820	226940	small gametes, or no gametes.
226940	230980	So if we're examining the question of, are trans women actually women, through the lens
230980	234020	of human sexual taxonomy, the answer is no.
234020	236420	They might produce small gametes, making them men.
236420	239020	They might produce no gametes, making them eunuchs.
239020	242620	But until we're living in the transhumanist future, where trans women can have a fully
242620	247260	functioning uterus and ovaries transplanted into them, they can never produce large gametes,
247260	248780	meaning they can never be women.
248780	250720	But to some, this is an offensive answer.
250720	251720	Humans aren't like animals.
251720	255180	We can't use biological sexual classification standards on us, the same way that we use
255180	256180	them on every other species.
256180	258420	For people, okay, fair enough.
258420	262140	There are other lenses beyond the taxonomy one that are worth considering.
262140	264660	Another widely held lens is the social role view.
264660	268220	The idea here is that a woman is a person who takes on a socially feminine function,
268220	271900	or behaves and presents in a socially feminine manner, or is treated by others in a feminine
271900	272900	way.
272900	276860	Okay, on this surface, this seems like a fine trans inclusive lens to view the problem with.
276860	281220	And there are at least a few pro-trans feminists over the years who have agreed with this view.
281220	283780	But the more we dig into it, the more problems we begin to unearth.
283780	288340	Firstly, what do we mean by taking on a socially feminine function or behaving and presenting
288340	289860	in a socially feminine manner?
289860	293780	It's very tough to define what this means in any sort of universal way, like the taxonomy
293780	297600	view manages to, especially considering differences in the feminine gender role across culture
297600	298600	and time.
298600	301900	But let's just hand wave that and say, you know, whatever passes for feminine right now
301900	303300	in our culture or something.
303300	306620	Let's say that we've discovered the universal feminine gender role.
306620	310100	There's still a problem here though, and that has to do with the framing of the question.
310100	313500	When a progressive is seeking for the answer to the question, are trans women actually
313500	314500	women?
314500	317460	What they're actually looking for is an answer to the question, are all trans women
317460	318460	women?
318460	321700	Meaning more specifically, they are seeking a definition of woman that includes all cis
321700	325580	women and all trans women, but no cis men or trans men.
325580	328780	That is what they require in their fully inclusive definition.
328780	330940	Not a single trans woman is left behind.
330940	334320	Does the social role view provide the answer the Prague is looking for?
334320	336060	Unfortunately for them, no.
336060	340380	Regardless of what social role we pin down and say, this is the social role you can adopt
340380	341380	to become a woman.
341380	344740	It still doesn't include all trans women and exclude all men.
344740	348500	There are absolutely extremely submissive men who would take on this feminine gender
348500	349500	role.
349500	350500	They might even call themselves girl.
350500	354660	That's a thing in the gay community for sure, but they don't actually consider themselves
354660	355660	women.
355660	359780	In the same vein, there are absolutely trans women who would not adopt this gender role.
359780	362820	Maybe because they're not out of the closet yet, maybe it's because they don't pass
362820	364100	or they never will pass.
364100	368580	Hell, there's both trans women and cis women who are very masculine presenting, the
368580	372420	butch lesbian types, and they might say things like, women don't owe you femininity.
372420	374740	That's a pretty common feminist sentiment, in fact.
374740	379180	The problem with the social role view is that trans women who don't perform the role would
379180	384220	not be considered women, while men who do perform the role would be forced to be women,
384220	386560	and the Progs can't stand for that.
386560	391040	Some of the more radical activists on the left, both trans and not, have adopted the
391040	393500	gender abolitionist lens on the topic.
393500	396540	For these people, they want to abolish the concept of gender itself.
396540	399380	In their ideal world, there is no more man or woman.
399380	400760	Gender is a dead concept.
400760	402100	Nobody knows what it means anymore.
402100	405300	Nobody has the language to describe a difference between a man and a woman.
405300	407220	Nobody can recognize the difference between men and women.
407220	411140	The human race is all just made up of people who look different from each other.
411140	415660	In this view, definitionally, no trans woman can be women, because there are no women anymore.
415660	419940	There are no trans women anymore, too, ignoring the stupidity of this position.
419940	424020	Even if we take it at face value, the progressives' quest to find a definition of woman that includes
424020	428340	all trans women is not fulfilled here, because this framework doesn't have a definition
428340	429420	of woman at all.
429420	433920	It honestly becomes truly incredible to watch a trans woman take this position in real time,
433920	437900	because it's in complete conflict with the view that nobody is ever socially conditioned
437900	438900	into being trans.
438900	442420	That's all just conservatives basically calling people groomers.
442420	446460	Except by the abolitionists' own logic, everybody is socially conditioned into being
446460	447460	trans.
447460	448820	There's also the prescriptive lens.
448820	452360	Within this framework, the question is reframed as an affirmative statement.
452360	455440	Trans women are women isn't a description of reality, but a prescription of what we
455440	456680	want reality to be.
456680	459600	Kinda like people who hold up signs saying healthcare is a human right.
459600	463400	Within a natural rights framework, healthcare is not a right, but even ignoring that, even
463400	465280	taking the view that rights flow from the state.
465280	468540	In a state where healthcare isn't a right, the statement healthcare is a human right
468540	469720	is definitionally false.
469720	472280	But they're using it as a prescription, not a description.
472280	474540	And the same goes for trans women are women here.
474540	477820	In essence, what they're saying is trans women should be women.
477820	481480	The argument for this is ultimately going to be based in utility, in good consequences.
481480	485640	That society is better off if trans women are women than if trans women aren't women.
485640	487080	So trans women should be women.
487080	490920	We're going to have to dive into the postmodernist commie gobbledygook, but let's actually
490920	492140	consider this logic.
492140	497000	The postmodernists are correct when they say that our language is as it is because it serves
497000	498000	some function.
498000	501840	I think it was the father of postmodernism, the French philosopher Derrida, who described
501840	505520	language as a series of rafts in the ocean that we never actually leave to get to shore.
505520	508300	I don't know, I haven't read this guy's stuff since university.
508300	512440	The postmodernists are correct when they say that our language is as it is, not because
512440	515880	it's immutable, but because it serves some utility to us.
515880	520600	For example, when I say the word water, there's three separate things wrapped up in there.
520600	523400	There's the word water, which is itself meaningless, it's just a word.
523400	526920	A person who doesn't know my language, who hears me say water, is just going to hear
526920	527920	random sounds.
527920	531260	Then there's the concept of water, which is what I'm thinking of in my head when I
531260	532260	say water.
532260	536040	And when I say to you, this is water, I'm hoping you have the same concept in your head
536040	539740	of water that I do, so that I'm conveying to you not just the sound of the word, but
539740	541300	the meaning that I intend.
541300	546240	And then there's actually the physical substance that is water, the clear, tasteless, odorless
546240	549540	liquid that is made up of two hydrogen atoms and one oxygen atom.
549540	553560	That substance, the substance of water, I can never truly get to it with language alone.
553560	556900	I just described it to you there, but it's not like water poured over your headphones
556900	557900	or something.
557900	562060	Description of the thing is not the thing itself, and the only way to know water is
562060	564380	to experience water beyond language.
564380	568840	There are even some more hardcore postmodernists called anti-realists who think that it's
568840	572520	impossible to know water even if you touch it or taste it because your senses are still
572520	576320	subjective and a product of your own mind, and that there's no real world beyond human
576320	577320	perception.
577320	579800	But if you're going to go down the ultimate skeptic rabbit hole, all of reality breaks
579800	583200	down and it's honestly pretty retarded because nobody actually lives their life that way.
583200	587640	In my opinion, there does seem to be a world beyond human perception of it, and words can
587640	590040	convey meaning without truly knowing that world.
590040	593680	We called water, water, long before we knew what hydrogen and oxygen was.
