start	end	text
0	3840	Hey buddies! This is not going to be a full anti-social media video,
3840	7040	although I'll probably still put it in the anti-social media playlist.
7040	12720	But today we're talking about Parler! And yes, I am over on Parler, under short fat otaku as
12720	18720	always. I haven't really customized it, I should probably do that. And Parler is basically a
18720	23280	Twitter replacement. They have a few other features, for example the comments underneath
23280	27360	individual posts kind of branch out as more and more people talk about them. It's a little bit
27360	33280	easier to follow. You can post more than, what is it, 240 characters? Twitter's character limit?
33280	36960	You can post more than that. And probably most importantly of all,
36960	42080	Parler is marketed as a free speech alternative. Now where have we heard that before?
42080	45920	But a couple of weeks ago, Parler started really blowing up, and I'm talking like
45920	50640	half a million new accounts in just a couple of days blowing up, because of the hashtag
50640	54560	TWEGSIT. And if you go to twegsit.com, you're greeted with this page.
55280	61520	Dear Jack, you've abused us for the last time. Censorship stinks. I'm out and I'm taking my
61520	67600	friends with me. Reject censorship and exit Twitter. Read the open letter to Jack Dorsey,
67600	72400	Twitter CEO. Join the TWEGSIT movement. And then it gives you a few links here you can click on.
72400	77200	These will basically fast track your Parler account creation. And here's that open letter.
77280	81760	Dear Jack, I want to thank you, not only on behalf of Parler, but also on behalf of the
81760	86560	hundreds of millions of Americans to whom you have now, at last, made abundantly clear that
86560	92240	Twitter is not their form. It's your form, where your left-wing views predominate, and theirs are
92240	97440	only allowed if they properly align with your own radical political bias. By using the notoriously
97440	103280	left-wing CNN and Washington Post to fact-check the President of the United States, you removed
103280	107840	any remaining doubt as to where you stand, and the utter disdain you hold for those who dare to
107840	114400	disagree. Frankly, you inadvertently conceded this on CNN nearly 18 months ago, where you proudly
114400	119200	boasted that Twitter is left-leaning. You then absurdly tried to cover your tracks when you
119200	124800	hastily added, but we do not look at content with regards to political viewpoint or ideology,
124800	130320	we look at behaviour. Yes, behaviour like daring to depart from the liberal Twitter orthodoxy,
130320	134960	but of course your top aid is responsible for election security and misinformation,
134960	140560	UL Roth had already let the cat out of the bag when he proclaimed in January 2017 that there
140560	146080	are actual Nazis in the Trump White House. By the way, did you get CNN and the Washington Post to
146080	151360	fact-check that claim? So now, with your latest assault of President Trump, and more importantly,
151360	156560	freedom of speech, you have, as I said, removed any remaining doubt as to your rigid left-wing
156560	160240	ideology, your bitter contempt for those who aren't buying what you're selling,
160240	165520	and your full-blown, full-bore intention to rid Twitter of even the most remote semblance of free
165520	170720	speech once and for all. So thank you, Jack. Thank you for slamming shut the portals of Twitter,
170720	175200	as we throw open the door to Parler. Your stock is plunging, your followership is tanking,
175200	179840	and Parler is skyrocketing. So stop by and say hello on your way down, and on our way up.
180560	183760	At Parler, we still wholeheartedly believe in freedom of speech.
184480	189520	Sincerely, John Matze, CEO and member of Parler.
189520	193440	P.S. At Parler, we also respect our members' privacy, their personal data,
193440	195760	and their content as it's not sold to the highest bidder.
195760	202320	The twigzit is here. Okay, so that is basically how Parler is spinning this. They're talking about
202880	208000	the increasing left-wing bias on Twitter, and yes, there is an increasing left-wing bias on Twitter,
208000	212800	no one can honestly deny that, and how that is infringing now on freedom of speech.
