start	end	text
0	7120	I just realized something.
7120	8440	The Olympics are over, aren't they?
8440	10240	I don't even remember when they started.
10240	13760	I know they were in China, but I don't know who won the most medals, I don't know if there
13760	18500	were any big upsets or gaffes, they barely even register on my radar as a notable event
18500	19500	that recently happened.
19500	23580	The only thing I do recall is the Big Air Shojang meme, which was when this picture
23580	25600	went viral on social media.
25600	29320	China had constructed its artificial ski run in an industrial park, and the contrast between
29320	34200	the fake white slope and what looks like a brown and bloom post-apocalyptic fallout
34200	37640	hellscape in the background blew pretty much everybody away.
37640	39520	This is what the Olympics have been reduced to.
39520	43040	I remember, not long ago, people actually cared about these games.
43040	47520	Even people who didn't like sports too much, people like me for example, might feel a twinge
47520	50520	of national pride when their country claims another medal.
50520	53980	And not caring about the Olympics is a relatively new phenomenon, rather than being a product
53980	56680	of the cynicism of the 90s, like it usually is.
56680	59960	Even up to about a decade ago, I remember the Olympics as an event that had the power
59960	63960	to unite people under the banner of sportsmanship, goodwill, and fair play.
63960	65440	But now, nobody cares.
65440	69020	They are a rusted out husk of their former glory, which is what makes this picture so
69020	70020	appropriate.
70020	73080	There's no reason for me to go into any of the minor Olympic scandals because it just
73080	74080	doesn't matter.
74080	77760	The Olympics, now more than ever, are just another avenue where nations can make propaganda
77760	79740	moves to advance their interests.
79740	82940	During the games though, Twitter fed me this little piece of bullshit.
82940	86800	The western powers tried and failed to discredit the Beijing Winter Olympics.
86800	90660	In fact, the games were a runaway success, symbolizing peace, international friendship,
90660	91660	and solidarity.
91660	95520	They were also the greenest Olympics in history, that has to be fake, considering how much
95520	98980	fake snow they moved around, and a model of COVID management.
98980	103180	Twitter, what gave you the thought that I would ever want to see something like this?
103180	106860	Truthfully, nobody wants to see this, but this tweet was nonetheless promoted to a lot
106860	107860	of people.
107860	110760	Not as a paid advertisement, which Twitter marks with a promoted tag, but under the much
110760	113100	more benign, you might like tag.
113100	117300	Of course, there's no reason that I, or anybody else, fed this nonsense would actually
117300	118300	like it.
118300	121940	We didn't click on Olympic tweets, or Chinese tweets, or controversy tweets.
121940	125580	Twitter thought we might like it because Twitter wants us to like it, it's as simple as that.
125580	130500	The trending tab on pretty much every single social media platform is absolutely useless.
130500	135080	Twitter is most of all, but that's not because it's all just astroturfed pre-purchased garbage.
135080	136520	That is part of it though, of course.
136520	140840	If a new movie or TV show comes out, especially if it's Disney or Capeshit, expect it to
140840	144460	be right at the top of the trending tab, whether or not it actually deserves it, complete with
144460	146500	a special hashtag emoji.
146500	150540	These things are emojis that Twitter automatically posts, attached to a given hashtag.
150540	154680	Generally, companies will buy hashtags with emojis for promotional purposes, in order
154680	156260	to make their product look special.
156260	158180	Whenever I see one of these, I just cringe.
158180	161660	It makes me think that somebody out there thought it was a good idea to drop a big bag
161660	164100	of cash so Twitter can look even more annoying.
164100	165780	Oh, and also, guess what?
165780	169400	The only hashtag emoji that is permanent is the Black Lives Matter one, and according
169400	173320	to Twitter's backend, it's not set to expire until the year 3000.
173320	176440	I guess it truly is a thousand-year Reich.
176440	181040	What the trending tab should be is a list of the most common words currently being tweeted,
181040	185480	removing of course stuff like the, or a, or I, and sometimes we do actually get that.
185480	190320	The recent Destiny drama blew up primarily on Twitter, and so the word Destiny was trending
190320	191320	for several days.
191320	195160	Vosh trends on Twitter almost weekly at this point, because that's about how often he says
195160	199140	something so majorly dumb that it causes an internet kerfuffle.
199140	203660	And when there's real news, like the Ukraine-Russia war, that often dominates the trending tab
203660	204660	too.
204660	208220	But then you start to notice some weird stuff, like okay, right now, Ayato is trending because
208220	209780	of a Genshin Impact thing.
209780	212960	I don't know, I don't play the Chinese spyware game, you fucking degenerates.
212960	217300	But Ayato is trending with 151,000 tweets right now, and at the same time, Roger Stone
217300	219460	is trending with only 7,000 tweets.
219460	223100	Considering Twitter's size, is 7,000 tweets really trending?
223100	226160	Well, if you click on that trend, you'll see why it's being pushed.
226160	228460	It's a January 6th Capitol riot thing.
228460	229460	Of course.
