start	end	text
0	12360	hello hey it's just me today no Lilith okay that's all right it's been a hyper
12360	17040	busy time for me and I basically only have like an hour or two tonight to
17040	22160	squeeze this in that's okay that's okay I appreciate taking the time regardless
22160	26000	and yeah I'm sorry for taking so long to getting back to you it's just things
26000	29960	have been rough right now oh it's everything all right sir oh yeah
29960	34800	everything's fine just very busy okay yeah I know there's there's a lot of I
34800	42200	was like the end of February I was laid off from my job but I found a job like
42200	45920	maybe about a month later so and I know I'm not the only one that's experienced
45920	51440	that so yeah yeah you've you've moved back to the States at this point yeah
51440	59360	sadly COVID I think ruined the economy a bit too far along so you know it being
59360	65080	able to make money is much easier to do than it was on the island so but the
65080	69800	good news is is that everything is pretty solid here I've got my own place
69800	74840	again and bought a car and cash so I can't complain so I mean same here
74840	78720	actually YouTube is doing well enough that I have a car I'm looking to get a
78720	83080	house like it might be yeah things might be okay at least for me yeah yeah you
83080	86080	and me both I mean like I've been waiting or following the market for
86080	91080	years now and it's like given that the interest rates are going up the price is
91080	95000	going to have to correspond with we go down I know we're in a bit of a strange
95000	98620	situation right now but that's the that's the goal because otherwise I'm
98620	103680	gonna have to build a cabin somewhere I mean with any luck it's gonna sound kind
103680	107760	of strange but with any luck there'll be another housing crash like in 2008 and
107800	112320	then the next generation of people can buy houses cheaper you know yeah cuz
112320	116760	like I had a friend of mine who ended up buying a house in like 2009 and he ended
116760	121000	up paying like $87,000 for it in st. Paul and now that house is probably
121000	127280	worth 300 so yeah it's like I yeah yeah you just sort of keep saving keep saving
127280	131640	and then yeah it's now it's like it's I'm priced out so what one nice thing
131640	136080	about being a youtuber is that you have a much higher ceiling it's based just in
136080	139240	your popularity right your popularity so there's some there's some luck
139240	143520	involved there's definitely some skill involved there's some charisma involved
143520	148960	so but it's not like you're you're at a job where you know your union contract
148960	152320	says that you get five raises over the course of ten years and that's it you
152320	156760	know what I mean exactly and and you know we can get into it with the comic
156760	160760	thing but yeah like the free market is a little bit carved up right now as it is
160760	164400	because it's rough out there but yeah it's good to hear that you're growing
164400	170280	and all that I mean I I the whole trans shooting thing I goddamn it's so many
170280	173440	people came out were like Liz you got to make a public statement or something I'm
173440	178120	like what are you talking about a public statement I'm gonna disavow a terrorist
178120	184600	like what is this about it's it's funny because you and I are both from that
184600	189740	previous era of the internet where you know you weren't online all the time you
189740	192840	weren't expected to be online all the time and you didn't have to give a take
192840	199080	on every single news story that hit yeah yeah but for some reason like every like
199080	205640	because it's a trans shooter and it's like I I have to you know what I don't
205640	208600	get I don't get people's mindset anymore I think people are just poisoned with
208600	214280	group politics so it's like what do you want I I don't identify with any of
214280	220200	these people they're they're crazy you know they're in a cult yeah so why
220200	226800	would I number one stick my neck out for me I know that I'm I'm basically a
226800	231500	broken record at this point but one big reason that I was a leftist in the early
231500	237520	2000s is because the left back then was highly individualistic and now it's not
237520	244440	it's yes we changed absolutely like I I used to be on the left as well too and
244440	250180	in part because the right had the the pearl clutching tipper gore variety type
250180	253620	that were always wanting to take away everything that I thought was cool I
253620	258820	love Dungeons & Dragons I left heavy metal I loved video games and they were
258820	263940	always like oh yeah well you can't have that you can't have that and it's like
263940	268220	well screw you I freedom is great freedom of speech is great and it was
268220	271980	what it was all about and now it's the opposite now it's you can't do anything
271980	276740	that that doesn't toe the line of whatever insane thing we've decided now
277140	283220	I mean in Canada we really didn't have quite the same level of right-wing
283220	289140	crazies that you guys did yeah I do I do remember watching like old spoonie
289140	292940	videos to bring it to bring it back to your era of the internet and your
292940	296820	section of the internet I remember watching old spoonie videos where he
296820	301380	would talk about the problems that he had playing like D&D and magic cards in
301380	305940	school and playing video games and I had the same issue yeah yeah I had my books
305940	311700	confiscated and by my global studies teacher who was convinced that I and
311700	316420	and like sat down with me is like is everything okay you talking about why
316420	319540	did you take my books away fortunately I had another teacher who was cool but got
319540	323260	them back for me because he was also a geeky geeky guy that played Dungeons &
323260	331140	Dragons but yeah yeah like like the 700 Club era you know yeah no no that was
331140	334100	very much a thing now granted spoonie Granite grew up in like you know
334100	337300	Arizona Utah and that kind of a Southwest with that but even up north
337300	341380	even up in a quote-unquote liberal state there were still teachers that were like
341380	345380	no well we have to confiscate you know any questionable material because it
345380	352300	might corrupt you somehow so yeah yeah for me basically I I just I skipped
352300	355820	school a lot I just played a lot of video games kind of on my own with my
355820	360620	friends you know mm-hmm I was never the guy to like bring a game boy to school
360620	364700	cuz I didn't want getting swiped by somebody else like a bigger kid so I
364700	368980	kind of but I still would like you know what I know that no one likes video
368980	372740	games and I got I definitely got teased and bullied for being a gamer when I was
372740	378100	when I was young exactly exactly that was taboo that was not oh and now and
378100	383620	now gamers are you know right wing right there right wing gamer gate Nazis now
383620	387980	that's what they oh it's like everything goes back to gamer gate and I know given
387980	391660	that the news cycle has made people have an attention span of like a fucking
391660	397180	goldfish at this point but gamer gate was a decade ago like are you guys gonna
397180	402380	get over it like at what point is this you know the I think that was just when
402380	407540	when I think that was the the first real time that anybody told them no yeah it
407540	413140	told them no and it kind of stuck you know cuz it it didn't really stick with
413140	418100	with comics comics game basically lost it didn't really stick with the
418100	421580	tabletop stuff because if you look at that now it's it's definitely been woke
421580	428620	a fine yeah yeah you know atheism became atheism plus you can go to you can go to
428620	433140	like old early internet rationalist spaces like the rationalist wiki now
433140	440620	sorry you know but but gaming I made a video on this a year ago my hypothesis
440620	447460	is that because gaming is inherently competitive there has to be some sort of
447460	451900	meritocratic aspect to it and that and that basically provided a bulwark
451900	456700	against let's say this sort of hyper woke stuff from really seeping in too
456700	460900	much and that's why if you look at you know really woke games they're walking
460900	464060	simulators and you know what there's actually some pretty decent walking
464060	466820	simulators like I'm not gonna like I like visual novels I like you know a
466820	470820	quick point-and-click games investigative games like there's there's
470820	476140	a place for those yeah yeah but uh man the people I don't know if you if you
476140	479260	saw this but like the Elden Ring discourse or people were complaining it
479260	484180	was too hard and then they framed it as an accessibility thing so it's like well
484180	488900	you're being you're being ableist if the game is right and it's like right what
488900	491940	are you saying about yourself that you're retarded like what's the story
492100	497260	here yeah well it's it's always that the standards have to be lowered and
497260	502260	everything has to cater to my whims yeah they're used to and that's that I think
502260	505980	is in part because of victim culture and you know it used to be that you
505980	509580	celebrated greatness you know the the people who are the top athletes on the
509580	515140	Wheaties boxes right or that was something to aspire to now it's it's the
515140	519580	opposite you don't get claim in accolades for being excellent you get
519580	527580	claim in accolades for being a wuss you know being a an ugly person instead of
527580	532020	being a beautiful person or being a mediocre person instead of greatness you
532020	536620	know but everyone's beautiful now yeah except they're not we know that's not
536620	542340	true yeah and in psychology and selective breeding and the rest of that
542340	547020	stuff yeah I mean try to you can try to push that all you want but you can't
547020	552340	bully men and going on the dates with you so that'll be the next frontier I
552340	556140	can't well that's what they look you know it's already here it's it's like
556140	560540	you you have overweight women saying that oh well it's it's fat phobic to not
560540	564540	going on a date with me and your beauty standards are based on a system of
564540	568500	oppression so I'm going to blackmail you into trying to it's like what are you
568500	573740	doing you're insane you're insane and you do you do see the same thing with
573740	577180	trans women too right where they say well if you if you don't if you don't
577180	581340	like the trans woman's dick that means that you're you're being trans phobic
581340	584260	and it's like well what if I'm just not into guys well she's not a guy it's like
584260	588180	okay I get your point but like I still don't want to have sex with a penis like
588180	591540	that's what a straight guy would say and that's completely fine but now it's
591540	596220	bigoted right or then you know Aiden Peledon actually did an episode about
596220	600580	that many years ago and and it was about you're not entitled to another person's
600580	605820	body yep right and that's that's what it amounts to that it amounts to is to I
605820	608940	want to have sex with you you don't want to have sex with me but you have to
608940	614460	otherwise agree because of reasons it's like yeah know that you you don't have
614460	620180	the right to enslave you don't have the right to another person it's ridiculous
620180	625380	it's like that's used to be but undergoing this path was a series of
625380	629700	opportunity cost choices where it's like you're yeah if you go down this road
629700	634980	even if you're post-op you will have a much reduced dating pool and at least at
634980	640260	the time that was something that people took into effect and they said well it
640260	644620	doesn't matter so much as I have to sort this out otherwise I'm not gonna make it
644620	650220	but now we live in a situation where anybody that has auto gynophilia or has
650220	653940	been sexually groomed or any of these other issues that are so far away from
653940	658460	the estimated one in a hundred and fifty thousand in men and one in a
658460	661940	hundred and three hundred thousand in women which is what the original numbers
661940	666980	were we're so far away from that that those original people have been
666980	674180	overshadowed by a order of magnitude by these new people that are degenerates or
674180	679580	abuse victims yeah well you're seriously like you're gonna be caught between a
679580	682460	rock and a hard place right because there's gonna be a lot of right oids who
682460	685980	would say that's what you are you're degenerate oh I've had that argument
685980	691340	many times I've noticed the the backlash towards trans people especially after
691340	696460	the shooting especially in the past two years you know you're seeing I'm seeing
696460	701900	a lot more of an adoption of left-wing mentality where it's group think it's
701900	707700	it's group this person is this therefore we judge them as that we don't treat
707700	711620	them as an individual anymore there's a movement away from the Goldwater style
711620	716340	Republican that was more libertarian mindset and more personal freedom
716340	721060	mindset and Liberty mindset towards collectivism and I'm seeing that on the
721060	725700	right they're adopting those tactics as well so they like you go on these I've
725700	728500	been around in some of these channels that where they go on these unhinged
728500	733060	rants it's like all trans people should be you know jailed or locked up or
733060	738380	institutionalized or thrown in a closet it with with a Bible and not come out
738380	742180	until it's like they're fixed it's like they're justifying their abuse because
742180	748100	it's you know it's it's reactionary and pissed off thinking and and it's like I
748100	751400	always do the the Grandpa Simpson meme where he's walking into the door of the
751400	754420	strip club and Bart's sitting there at the chair on the chair you know and he
754420	759380	just puts his hat on the rack sees Bart and then walks out and it's that sort of
759380	764780	thing and it's like yeah it's there there's very much that that thinking
764780	769380	and I've seen more and more of it but I think that's just as a it's people are
769380	772580	sick of this stuff there is no compromise there is no different
772580	775980	differentiation between the sex pests and people that are suffering from a
775980	781620	complex medical biological problem right there is no discussion about whether or
781620	788020	not this is Munchausen by proxy with children or whether or not this is
788020	792700	motivated by a corrupt medical industry that gets paid a ton of money to promote
792700	796140	this and if you trans a child you are guaranteed to have an income source for
796140	800220	for the rest of your life or their life there's no discussion about the ethics
800220	804700	of prescribing pymazide which is an anti psychotic that's used in treating
804700	809100	Tourette's syndrome which has been shown to be very effective in treating gender
809100	812860	dysphoria so those who receive it kind of lose that you know there's no
812860	817060	discussion about auto gynophilia or and whether or not this is a sexual kink
817060	822460	versus you know this is a a psychological need to like if it's not
822460	826100	met then then there's really no way out but there's none of this discussion is
826100	829860	going into it you either accept everything in anything or you are the
829860	833860	same moral equivalent of you know dragging a person behind a truck and a
833860	838380	gravel road right or throwing them in a gas chamber and people are sick of that
838380	843340	they're sick of this this this moral extortion game so this is what I've been
843340	847820	working on I've been I've been trying to do a video on everyone says you know
847820	852860	trans ideology or LGBT ideology you know well you know what is that actually and
852860	857900	I've I'm I'm not gonna make a statement on what it is yet I'm gonna wait for my
857900	861020	video to come out because I'm doing a lot of a lot of reading and a lot of
861020	866380	research but one thing that I've kind of unearthed is that there's a section of
866380	874780	the left liberals liberals like me you know non socialists non progressives
874780	878860	just just liberals liberals like me in the classical sense yeah yeah you know I
878860	883660	I was and still am completely on board with with the gay marriage argument
883660	887980	because it was it was an argument from innate biology it's like well you're
887980	892340	born gay or or you can't change being gay however you happen to become gay
892340	898180	right you can't change it you're born this way yeah yeah that's a biological
898180	904820	essentialist argument however the the constant affirmation you can self ideas
904820	908580	whatever you want that's completely against biological essentialism and what
908580	912620	I've as I've been like digging in and reading and looking through things I've
912620	919420	I've discovered that there is a section of a very radical component of the left
919500	928540	where they they never believed in the I was born this way argument they used it
928540	935220	as a tactical deployment to subvert liberals yeah and it's like oh it was
935220	938620	really I saw like that literature I was like oh that's very interesting well see
938620	942540	I view it I view this stuff as just Marxism with another coat of paint you
942540	947060	know Marxism is all about deconstruction and deconstructing established things
947100	952340	right so it deconstructs societal norms it deconstructs you know social
952340	957020	relationships and biology is just another front for them to deconstruct
957020	960940	right there is no such thing as gender as sex there you know like except there
960940	965860	is there are biological differences between the sexes there are you know
965860	972460	evolutionary pressures for that and like you said they've gone from a I was born
972460	977380	this way mindset towards human beings are complete blank slates and if that's
977380	981620	the case then you can then you're essentially supporting the get the you
981620	986060	know then you can pray the gateway right that that is a method that works if
986060	990900	we're just blank slates that are the victims of a authoritarian patriarchal
990900	996220	system that has subverted everything natural or right about ourselves then we
996220	1001140	can just create a brand new system from the top down and reprogram human beings
1001140	1005220	in any way we want and it but it doesn't work that way and it never has
1005220	1010540	worked that way I think what they like to rely on is the fact that you can't
1010540	1013380	really be objective which is true because we're all humans and we all
1013380	1017780	exist only in one location so none of us can actually be objective but they take
1017780	1022220	that to mean that there is no objective reality outside of any one human's
1022220	1026100	perception which is obviously false right right moral relativism is yeah
1026100	1030220	you know you know if if a hundred people look at the same thing and describe the
1030260	1033820	same thing there's probably something outside of the hundred people that
1033820	1038580	exists you know it's not just a hundred delusions that happen to line up so
1038580	1044140	right right right yeah even though we can't really truly access the objective
1044140	1048060	world and any because our senses are also subjective so we can't access the
1048060	1055220	objective world but it does exist and so basically a lot of the the biology the
1055220	1059460	philosophy the morality of a lot of these a lot of these people that say on
1059460	1063420	the blank slate left it completely falls apart because of that reason you
1063420	1067780	know what really I think as it's funny you bring this up because I think I
1067780	1073900	think how we got here to the idea that we're now calling women birthing
1073900	1080300	persons because is because in the leftist side that or at least the
1080300	1084980	traditional classical liberal mentality is that it's very much like a just you
1084980	1090820	do you and and you know live and let live in a lot of ways you know and I
1090820	1097020	think following most liberal-minded people's good nature it and I've heard
1097020	1102820	this myself I've heard you know talking to people like being post-op and whatnot
1102820	1108260	and and I'm like yeah I'm post-op trans post-op trans woman and then they'll
1108260	1113700	like like well I think you're female it's like okay well that's great but I
1113780	1119100	think that has gone to a such a degree where it's like no that person if they
1119100	1124740	identify as trans actually is that way and so when you do that that's where
1124740	1129100	they say well men can get pregnant too because the trans woman or trans man has
1129100	1135300	identified himself as being met a man despite having a womb and producing eggs
1135300	1141420	that doesn't make it's like yeah it's like the the open-mindedness has
1141900	1147340	resulted in people like having their brain fall out absolutely instead of
1147340	1151500	differentiating between a person having some dignity and saying okay fine you
1151500	1155340	know I will treat you the way that you wish to be treated it's gone to well now
1155340	1159340	we have to completely rewrite language and biology just to pacify a
1159340	1164620	statistically insignificant populace it's no fuck that yeah it's it's move
1164620	1169520	it's moved from treat other people polite to you must view them the way
1169520	1173040	that I want you to view them like inside exactly in the privacy of your
1173040	1179200	own head yeah right um so I did a video uh it was our trans woman actually woman
1179200	1182960	that was the that was yes I watched that I watched what you think of it um I
1182960	1189120	agree with you oh well thank you I do be honest it's not it's not all entirely my
1189120	1191960	idea um I got a lot of it from dr. Thomas
1191960	1195160	pagardas is paper on the subject if you read that or if you know what him I
1195320	1203000	don't know that one no okay um he kind of conception he conceptualized the idea
1203000	1207640	that because the definition is circular and then of course if you talk to like a
1207640	1210560	lefty they'll say what who cares the definite circle well it actually matters
1210560	1213000	that if it's just circle because what that means is that you can't actually
1213000	1218040	identify what a woman is you can't you can't point to a list of qualities that
1218040	1222120	woman refers to so if there's no qualities you can't actually have any
1222120	1226560	woman the woman can't exist which is why this is this is all they don't even
1226560	1231400	believe that trans women are women they simply use that to backdoor in gender
1231400	1235160	abolitionism right yeah yeah um but one of the things I pointed out in that
1235160	1240200	video was that um if we're talking about any other animal aside from humans we
1240200	1243960	talk about sex we're talking about gamete production we're not talking about
1243960	1247920	hormones we're not talking about we're not talking about chromosomes we're not
1247920	1250840	talking about social roles we're talking about gamete production and that's it
1250960	1257200	and we're also not afraid to point out that you have you know the male of an
1257200	1262080	animal and the female of an animal and then the neuter of an animal when for
1262080	1267080	some reason or another they don't produce any gametes mm-hmm and however
1267080	1272760	once you start talking about humans that that becomes kind of a spicy take when
1272760	1277960	you say well a trans woman who is post-op isn't male because they don't
1277960	1282000	produce small gametes and isn't female because they don't produce large gametes
1282000	1285760	they're neuter because they don't produce any gametes and even though
1285760	1290440	that's scientifically accurate you will get crucified if you say that right and
1290440	1294320	moreover too I can't change my chromosomes I also can't change my
1294320	1301600	skeletal structure or my morphic traits in my musculature so you know I always
1301600	1306960	I've been saying this now for ages but it's like you know I present myself as
1306960	1312120	female but technically under biology I'm not and that's not to say that you
1312120	1316640	can't respect me and treat me as female if that's what I choose to do but it
1316640	1321120	becomes a level of delusion if you try to suggest that yeah all it takes is
1321120	1324800	some some hormones and surgery and then we can go bango there you go and
1324800	1333080	moreover it's it doesn't it's this isn't helping anybody I think at the end of it
1333080	1340300	because encouraging this stuff even with trainees such as myself there is
1340300	1345000	it there's such an extremely high rate of suicide is still in the community so
1345000	1350440	if I were a moral person I would not want to be promoting this in any way
1350440	1355080	shape or form because I know that maybe inadvertently you create a social
1355080	1360240	disease maybe inadvertently you create gender dysphoria and when you create
1360240	1363520	gender dysphoria you are creating something that has a almost a fifty
1363520	1369400	percent suicide rate well if there is nothing moral or ethical about that if
1369400	1373080	you happen to believe that more trans people existing is good and less trans
1373080	1376880	people existing is a trans genocide then you actually might think that creating
1376880	1380160	more trans people is good and spreading gender dysphoria if it could be spread
1380160	1386840	is good what you're doing is you're creating more suicides though I mean
1386840	1391320	they don't care about that at the end of the day right that's the black pill
1391320	1394480	is that there's a part of the left that just doesn't give a shit about that well
1394480	1400440	yeah if I if I were a a conspirator really minded person I would suggest
1400440	1406520	that this is just yet another front towards the leftist mentality that
1406520	1411160	humans are a cancer on the world and they're they're trying to engineer so
1411160	1416800	that the birth rates further collapse you know if I were to to go down that
1416800	1420240	rabbit hole I think this is just yet another thing to try to get people to
1420240	1425080	not have children and reduce pop global population I don't know about that one
1425080	1429120	that that one sounds a bit far-fetched to me I honestly I think I think that's
1429120	1432800	happening you know fast enough without throwing this into the mix exactly I
1432800	1437800	mean you look at the gym you look at the demographics and in you know in 50 years
1437800	1441040	yeah the population is naturally going to fall off a cliff there's no need to
1441040	1445800	tinker with the birth rates or any of that when that's gonna happen naturally
1445800	1455760	so but it does seem a sense of nihilism or insanity behind it and there's this
1455760	1461000	is not motivated I think the trans ideology is not motivated by compassion
1461000	1466640	or empathy or kindness it's in it's motivated by entitlements self
1466640	1474680	righteousness money and greed this there's there's nothing compassionate
1474680	1479280	about it like I think if you were truly wanting to help somebody you would be
1479280	1482480	honest with them and you would have transparency and there's nothing like
1482480	1490200	that in this in this movement transparency not that that show that was
1490200	1498000	out there for a while transparent it was the guy from curb your enthusiasm I
1498000	1505680	think or no is the the the the dad character from what's that arrested
1505680	1515480	development he played a brands gendered parent and there was a drama show about
1515480	1519680	that man I so I've been recently watching house I haven't seen house
1519680	1524960	before okay sure and that was I think it started in what like 2004 2008 or yeah
1524960	1533000	yeah that was that was yeah before the 2008 collapse yeah yeah and there's a
1533000	1537920	few trans characters and a few like jokes at the expense of trans people in
1537920	1541720	that show man you couldn't say that shit on TV today or show what they showed on
1541720	1546720	TV it was it was funny as fuck but I'm like wow this I'm surprised it's on
1546720	1550960	it's still on like streaming services in 2023 you know what I mean like Jesus
1550960	1555600	it's it's so nefarious that you bring that up because I was listening to a
1555600	1560080	youtuber talk about how I think Jennifer Aniston was saying that you couldn't
1560080	1565360	make friends as a show anymore because of the cut kind of like 90s humor that
1565360	1569280	that exists you know like that that's not allowed anymore you're not allowed
1569280	1573560	like Joey the the guy on that show or he'd be he'd be homophobic and there'd
1573560	1578160	be you know a mass outrage and it was interesting because the people now that
1578360	1585520	are writing TV and cinema are because you know like Millennials or or Gen Xers
1585520	1589800	that grew up with that stuff and were you know laughing at it and having a
1589800	1594800	grand old time with it but now they're the ones that are saying oh well that's
1594800	1603840	not allowed so I don't yeah yeah it bothers me that we have very much of the
1603840	1608480	mindset of oh we have to judge the past on our current sensibilities and more
