start	end	text
0	5840	This post is from the twitter account of Comedy Unleashed, London's free-thinking comedy club.
5840	10640	No self-censorship. If it's funny, it's funny. Trying to make a joke that doesn't offend anyone
10640	16000	in 2018. Well, 2019 might be just getting underway, but I have a feeling that sentiment
16000	20400	hasn't really changed yet. I first came to know about Comedy Unleashed and its commitment to
20400	25040	free speech within comedy when this behavioral agreement contract began floating around the
25040	29920	internet. It's basically a form where comedians agree to not make fun of certain topics that
29920	34880	social justice holds as sacred cows. This comedy night aims to provide a safe space for everyone
34880	39680	to come together and share and listen to comedy, with all proceeds donated to UNICEF. This is a
39680	44080	chance for all to be entertained and overjoyed by the different performances here on this day,
44080	49920	the 23rd of January 2019, hence the importance of this contract. This contract has been written to
49920	55200	ensure an environment where joy, love, and acceptance is reciprocated by all. By signing
55200	60320	this contract, you are agreeing to our no tolerance policy with regards to racism, sexism,
60320	67840	classism, ageism, ableism, homophobia, biphobia, transphobia, xenophobia, islamophobia, anti-religion,
67840	72800	or anti-atheism. All topics must be presented in a way that is respectful and kind. It does not mean
72800	77680	that these topics cannot be discussed, but it must be done in a respectful and non-abusive way. I can
77680	82640	tell you right off the bat, just using the rules of comedy, why this is a disastrous line of thinking.
82640	87680	All comedy, without exception, requires somebody or something to be the butt of the joke. Even the
87680	92720	tamest, least offensive jokes require somebody to end up looking like they've got egg on their face.
92720	97840	Here, let me show you. Here's a list of jokes for kids from redtricycle.com. Why did the student
97840	102160	eat his homework? Because the teacher told him it was a piece of cake. The butt of the joke is the
102160	106560	student that ate his homework. Or I guess the butt of the joke could be you, since you're the one
106560	111920	probably groaning at that terrible pun. The point is though, in comedy, somebody's got to be left
111920	117280	holding the bag. Somebody's the person getting laughed at. When you boil it down, there is no joke
117280	122240	that isn't at the expense of somebody else. At least a little bit. Even when the joke is about an object,
122240	127520	something like, say, an ugly looking car, for example, it still connects back to the car's owner
127520	132000	and whatever tastes they may have. If the person that is the butt of the joke takes offense, and we
132000	137200	use that as an excuse to call that form of comedy over the line, then we will not have any comedy at
137200	142240	all. Especially with how easily triggered people seem to get nowadays. This contract is not, as it
142240	146480	claims, a way to ensure that all are entertained and overjoyed by comedy, but rather that these
146480	151280	topics are not made the butt of the joke. These are the sacred precepts that you must not violate.
151280	155680	And just like a hypothetical variant of this contract from a decade ago may have only contained
155680	161280	racism, sexism, and homophobia, next year's variant will probably tack on a few more isms and phobias,
161280	165840	ever expanding the list of things you cannot joke about because they're just too serious.
165840	170320	And any comedian worth their salt is taking notice of this encroachment into the comedic space.
170320	174400	Konstantin Kissen, when presented with one of these contracts, refused to sign it and turned
174400	179120	down being a part of the UNICEF event. He did post the contract to Comedy Unleashed on Twitter though,
179120	182880	which triggered a relatively predictable backlash from the social justice crowd.
182880	187840	If your jokes align with violence against marginalized folks, then they're not jokes.
187840	192240	They're propaganda. We don't live in a hypersensitive world. People are finally being
192240	197040	held accountable. Except that, when you really think about it, everybody's marginalized.
197040	201840	Everybody's oppressed. Everybody's got some hidden burden they're carrying that you're not privy to,
201840	206000	that maybe even their friends and family aren't privy to. And you're sitting here making these
206000	210080	judgments based solely on what people present to the world. Maybe you're black. So okay,
210080	214400	let's ban racism from comedy. We don't want you to feel uncomfortable. Maybe you're a woman.
214400	219200	Okay, let's ban sexism. Maybe you're a rape victim. So let's ban rape jokes. Maybe you're
219200	224400	a Muslim. So let's ban jokes about Islam. They're Islamophobic. Maybe you're trans. Let's ban jokes
224400	229360	about trans people. They're transphobic. Maybe you're gay. Let's ban gay jokes since they're
229360	234480	homophobic. But why not ban jokes about the family? Maybe somebody in the crowd was abused
234480	239200	by their parents as a child and would be massively triggered by a joke about how the comedian's dad
239200	243280	sucked sometimes. They would definitely be oppressed by it. So we have to ban family-based
243280	247680	humor. How about we ban jokes about cars? Because maybe you lost your sister in a crash. How about
247680	252320	we ban jokes about student loans? Because maybe you're poor and can't afford to send your kid to
252320	256960	a good school. How about we ban jokes about video games? Because maybe as a kid you were relentlessly
256960	261200	bullied and only took solace in retreating to your home and playing games after school.
261200	265360	This is why when you remove the ability to have somebody be the butt of the joke,
265360	270320	you destroy all of comedy. Because everybody is the butt of the joke, at least at some point in
270320	275600	their lives. And everybody also carries some burden with them through life. If offense is
275600	280720	enough to censor comedy, then comedy ceases to exist. I would hate to imagine one of these
280720	285520	nightmarish social justice comedy sets. It would probably be less entertaining than the actual
