start	end	text
0	10600	Like the last few videos I've done, this video is a direct sequel to a previous one.
10600	16240	This time, my previous video on legal euthanasia in Canada, dubbed MADE, or medical assistance
16240	17240	in dying.
17240	19320	Go back and watch that video before watching this one.
19320	21360	I know I say that a lot, but I really mean it this time.
21360	25200	There's too much evidence in that video to pack into a TLDR.
25200	29320	Last time, I showed you not only the high-profile examples in the Canadian media of people with
29320	34600	injuries or illnesses being inappropriately pushed towards euthanasia, but also circumstantial,
34600	38880	though not conclusive, evidence that the judges who presided over the lawsuits that eventually
38880	42160	made euthanasia legal in Canada may have been heavily biased.
42160	43160	See?
43160	44440	I can't just prove that in a quick TLDR.
44440	46160	You gotta go watch a previous video.
46160	50600	The issue has blown up massively here in Canada since I've last spoken about it, becoming
50600	53680	enough of a shitshow that the rest of the world has begun to take notice.
53680	55920	Most of the time, Canada's pretty unassuming, and you'll like it that way.
55920	59760	I've never seen a Prime Minister have so many obvious failures to draw the attention
59760	63440	of the international community to our little backwater country this much between the trucker
63440	68360	protests and now euthanasia, and it's actually amazing to see just how incompetent he actually
68360	69360	is.
69360	73160	One of the reasons it's blown up is because stories just keep coming out of people being
73160	75200	inappropriately offered euthanasia.
75200	79400	The biggest one recently is of a Canadian Paralympian who lost her legs while serving
79400	80520	in the Canadian army.
80520	83720	She needed a stair lift to travel between the floors of her house, and when she complained
83720	87720	to the government about not getting one, they offered her euthanasia as a replacement
87720	88720	solution.
88720	92840	This sort of thing has led to a bunch of funny memes, where the once internationally held
92840	97300	in high regard Canadian healthcare has been reduced to a joke, a system where doctors
97300	100320	would rather prescribe death than perform the most basic medicine.
100320	101320	And hey, I'm not offended.
101320	105680	I love me some dark humor, but Jesus Christ, this is a situation that we have to fix.
105680	110420	This commercial went viral like a day or two after I published my last euthanasia video.
110420	111440	Good timing on that.
111440	112440	Check this out.
142440	143440	Oh hey, would you look at that.
143440	146860	The first commercial in I don't know how long that only features white people.
146860	149760	No diversity at all, and it's all about killing yourself.
149760	153520	Yeah, the romanticization of euthanasia happening right now is pretty grotesque.
153520	155500	Let me offer you a bit of context though.
155500	158880	At the end when it says Simons, that is a Canadian fashion brand.
158880	161340	It's well known here, but you don't see it outside of Canada really.
161340	165120	You know how, sometimes when the cause that is considered an exceptional social good comes
165120	169000	up like Black Lives Matter or the Ukraine war or mask mandates or something like that,
169000	172920	you'll see American companies run advertisements showing their support for that cause.
172920	174320	They don't actually advertise their products.
174320	178160	They just make a 30 second spot that appears to be emotionally powerful or whatever in
178160	181760	order to spread awareness of the current thing and slap their logo at the end of it so that
181760	184520	you know they believe in what's currently socially acceptable.
184520	188320	That's what this commercial is for Canada, but it's for legal euthanasia.
188320	192120	The most disgusting part of the story though is that after the death of the woman featured
192120	195280	in the commercial, it came out that she actually wanted to live.
195280	199240	The woman featured in a glamorous pro-euthanasia commercial for a Canadian clothing retailer
199240	203440	only opted for assisted suicide after her years-long attempts to secure proper health
203440	204440	care failed.
204440	207780	She was left without primary care after her family doctor moved away.
207780	213020	And so, after her Ehlers-Danlos diagnosis 10 years ago, her treatment had largely consisted
213020	217240	of a chaotic and ineffective stream of specialist appointments, none of whom had any background
217240	218240	in her condition.
218240	221920	I feel like I'm falling through the cracks, so if I'm not able to access health care,
221920	224220	am I then able to access death care?
224220	225860	And that's what led me to look into MADE.
225860	228520	It is far easier to let go than keep fighting.
228520	231860	The British Columbian health care system had been unable to provide her with the care she
231860	235020	needed, but they rapidly approved her application for euthanasia.
235020	236060	And she's not the only one.
236060	239460	The majority of examples I provided last time were of people who didn't actually want
239460	243020	to die, but for whom the government was refusing to care for adequately.
243020	248260	A recent example is of Les Landry, who directly says that poverty is why he's choosing to
248260	249260	die.
249260	252460	The two-doctor approval system I described in the previous video, where there's strict
252460	257060	rules on what a doctor can approve euthanasia for, seems to have entirely broken down.
257060	261980	As Landry provided to the media an email where he directly states that being poor is why
261980	262980	he's doing this.
262980	265220	And the reply is, yep, all good, let's go.
265220	269420	Just a few days ago, a journalist, Alexander Rakin, blew the cover off of why this whole
269420	273480	thing is happening, in his article for The New Atlantic, No Other Options.
273480	276800	He makes the same observation that I did, the stunning number of stories coming out
276800	280340	over the past few months showing abuse of the Canadian euthanasia program.
280340	284060	He brought it up with one of Canada's most prolific euthanasia providers, Stephanie Green,
284060	287980	who claims, alongside other supporters, that the worries are being purposefully blown up
287980	291940	by a sensationalist press, that the stories aren't being accurately reported on, and
291940	295380	that the safeguards preventing abuse of the system are in place and working.
295380	300420	Rakin claims that the CAMAP, the Canadian Association of Made Assessors and Providers,
300420	305120	which is not a government entity, but rather a pro-euthanasia activist group run by Stephanie
305120	310020	Green herself, has sat on evidence showing that people who choose euthanasia do so because
310020	313980	they're poor or they have debt or they're getting evicted, and that illness is simply
313980	315700	a pretense for a lot of people.
315700	319900	CAMAP holds online seminars for euthanasia providers to help instruct medical staff in
319900	320900	the process.
320900	324900	One topic that came up was what should be done about poor people who come to them.
324900	331940	When the Supreme Court decision came down in 2015 or 2016, and it evidently omitted
