start	end	text
0	6800	Come one, come all, welcome to TikTok Tuesday yet again. Yes, this one's going out late.
6800	11840	Thought I wouldn't be doing it today, but I am. Haha. Also, if you can hear some nonsense in the
11840	15680	background, you probably can't hear, but just in case you can. There's a new tenant living
15680	19840	downstairs and he's currently, I guess, fixing the place up. So maybe you'll hear, you know,
19840	24400	the drilling or whatever, but probably not. Anyway, you guys have been sending me TikToks
24400	27360	constantly and they're backed up. So let's check out what's going on today.
27360	38880	What is this? Oh, oh god, I hate Zoomers, dude. You're in the way of everyone who's shopping.
46720	51360	Do you even have the permission of the person who, like, runs the store or owns the store
51360	59200	or whatever? Like, this is just fucking awful. Man, I hate Zoomers. I hate TikTok. I hate the
59200	62800	internet. I know I make money off of it, but I fucking hate it. I hate that what the internet
62800	68560	has become are these fucking e-thoughts who are out here inconveniencing everyone else trying to
68560	73680	make a shitty dance video. Talk about starting the episode off with some rage bait. This is why you
73680	81040	don't disrespect historic Mayan pyramids. Oh, she climbed up. I don't think you're allowed to do
81040	88160	this, are you? I mean, it's probably, yeah, there comes security. Oh, I mean, it's pretty unsafe.
88160	96240	Those are pretty steep steps, but still, like, it's, I don't know what they're saying. It's
96240	109040	probably something bad. What's going to happen to her? Yep, they're all booing her.
111040	119920	Oh, man, people are pissed. Yep, now they're messing with her.
125360	129520	Oh, they're pouring water on her. Dude, you poured water on everyone else but her.
133360	140400	Yep, that's what you get. Another example of someone just being an asshole in public
140400	144160	for internet clout. I mean, it's not only against the rules, it's unsafe.
144160	147440	And also, very clearly, the locals don't like it. So what are you doing, lady?
158640	162800	Now, the person who sent this to me sent it on Twitter, not the original TikTok account,
162800	167680	with the caption, good God, we should abolish landlords. Dude, dude, what the fuck? What do
167680	172320	you mean we should abolish landlords? The tenant destroyed the house, and now the landlord is
172320	176160	getting back at him for destroying his fucking house. It's like, oh, you're gonna fuck me over,
176160	179760	I'm gonna fuck you over. Isn't that how it should be? The captions went by a little bit quick. So
179760	182560	basically, what's happening is the landlord is going to clean it up using some expensive
182560	187440	cleaners, the cost of which will then be put onto the credit of the person who left the house in
187440	191840	this sorry state, as it should be. And if they don't pay it off, their credit rating is going
191840	196240	to be fucked. Isn't that how it should be? We should abolish landlords. Oh, fuck you.
196240	200640	This is absolutely a good thing. Burning Man 2023.
203440	207200	Yeah, man, I guess I have backed these up quite a bit. You guys have been sending me them like
207200	209920	crazy. So they're all backed up. Burning Man was at least a month or two ago, right?
210560	215520	Where like everyone was stranded. Yeah, they were all like, yeah, everyone was stuck at Burning Man.
215520	224640	Oh, God. Yes, let's just dance in the mud water. This is a good idea. What a shit show that was.
225440	230560	Yeah, they were all stranded out there with like no food. Yeah, that's right. Burning Man 2023 was
230560	237840	a week-long gathering in the Black Rock Desert in Nevada. August 27th to September 4th. On September
237840	244160	1st, heavy rainfall hit Nevada. There's a flash flood warning. Burning Man advised attendees they
244160	248880	should shelter in place and close the front entrance. Just lock them into the flood.
248880	253440	Organizers of the event suggested that participants should walk to the next town,
254000	259040	though hotel rooms were booked. The mud was so thick, you'll sink right into it
259040	263920	and be stuck there for a while. What a shit show. Oh my God, one person died? You know,
263920	269200	maybe just because I'm like a super video game nerd, right? But I never understood the appeal
269200	272080	of going to these things, especially when something like this might happen. Fuck that.
283440	286080	A bunch of like Muslims are assing it.
289840	290800	He's being taken away.
293120	293680	There he goes.
301600	307200	Wonder what the story there is. I mean, guy in hijab, he could just be like cross-dressing
307200	310880	in public. They decide that that degeneracy is not allowed in this Muslim country,
