start	end	text
0	4440	Hey guys, welcome to SJ Weekly for July 1st, 2018.
4440	6280	And you know what that means, right?
6280	27120	It's Canada Day!
27120	32400	Let's spend today going over some of the most ridiculous Canadian SJW bullshit I can
32400	33400	find.
33400	35960	And why don't we start at the top with Justin Trudeau?
35960	41320	To those who marched here in Canada for an end to gun violence, we hear you, and this
41320	45720	week we introduced a plan for common sense gun control that will keep our communities
45720	46720	safer.
46720	52760	This was on March 24th, 2018, meaning that it was happening around the whole Emma Gonzalez-David
52760	55440	Hogg school shooting bullshit in the states.
55440	60080	Well, even though Canada already has stricter gun laws than the states, a bunch of Canadians
60080	61560	still marched in support.
61560	64200	And Trudeau took this opportunity to do some virtue signalling.
64200	67000	Let's actually read that legislation though.
67000	69360	Firearms legislation to make communities safer.
69360	73760	Crime rates generally in Canada have been on the decline for more than two decades,
73760	78660	but offences involving firearms have become more prevalent, especially since 2013.
78660	82640	Many communities across the country have been facing a steady increase in gun violence over
82640	83960	the past five years.
83960	90360	Gun-related homicides, domestic and gender-based violence involving guns, criminal gang activity,
90360	92840	and gun thefts are all up significantly.
92840	97040	To keep communities safe, the government of Canada is strengthening Canada's gun laws
97040	100320	in a common-sense, focused, and effective way.
100320	104760	Legislation introduced today prioritizes public safety and effective police work, while respecting
104760	106720	law-abiding firearms owners.
106720	110040	This government will not bring back the federal long gun registry.
110040	114880	Now, all of those problems there, the gun-related homicides, domestic and gender-based violence
114880	121000	involving guns, criminal gang activity, and gun thefts, those are all already illegal,
121000	126560	and a lot of those, especially the gang violence, are committed with illegally owned guns anyway.
126560	131400	So I'm not exactly sure what stricter regulations on guns is going to do to help with something
131400	133360	like criminal gang activity.
133360	137880	The first four points on this list are at least somewhat reasonable, so I'm not going
137880	140080	to go over them, but let's talk about point five here.
140080	145600	The new legislation proposes to bolster community safety in relation to restricted and prohibited
145600	149140	firearms, mostly handguns and assault weapons.
149140	153760	The term assault weapon is one of those weasel words that doesn't really mean anything in
153760	157120	terms of any kind of real-world gun classification.
157120	161960	It's a very vague, very general idea that doesn't actually correspond to any class of
161960	163320	gun in reality.
163320	168640	So whenever I see some kind of gun legislation bring up assault weapons, to me that basically
168640	173500	means that they're looking to heavily restrict things based on vague criteria.
173500	176760	And considering that the Democrats in the United States have been using this term to
176760	181200	try and do the same thing for the past 20 years or so, I'm not surprised to see it here.
181200	185480	But while we're on the topic of government legislative ineffectualness, decriminalizing
185480	188640	prostitution would negatively impact Indigenous women.
188640	193440	A London, Ontario court is hearing arguments about the constitutionality of Canada's prostitution
193440	194440	laws.
194440	199000	An academic testifying about Canada's prostitution laws says decriminalization would disproportionately
199000	201260	affect Indigenous women and girls.
201260	207320	Even in a system where prostitution is legal, if you have girls working as prostitutes and
207320	210020	not just women, you have a whole other problem.
210020	213680	Indigenous women are now overrepresented in the sex industry, but there's no evidence
213680	219680	that prostitution existed prior to colonization, said Cherry Smiley, an academic who studies
219680	223020	the impact of prostitution on the lives of Indigenous women and girls.
223020	227560	Well first of all, Cherry Smiley, are you sure that that's not your own prostitute name?
227560	229040	Because it kind of sounds like it might be.
229040	233960	But this idea that prostitution didn't exist prior to colonization, it's called the oldest
233960	236660	profession in the world for a reason.
236660	241360	Even if Canada's native population hadn't invented money yet on the time of European
241360	247320	contact, I'm sure there were still women out there who traded sex for other things.
247320	252700	For goods, or for protection, or for access to certain lands, or whatever.
252700	257720	Because the truth is, Indigenous women are human too, and there is always some kind of
257720	259920	sex trade wherever humans go.
259920	265680	I honestly thought it was racist nowadays to believe in the idea of the noble savage.
265680	270120	The underlying ideology of sex buyers is that they can buy a woman and engage in sex on
270120	271920	his terms, Smiley said.
271920	273920	Well no, you've got that completely wrong.
273920	278460	You call them sex buyers because they're not buying a woman, they're buying sex.
278460	282320	They're not purchasing a good, they're obtaining a service.
282320	288380	For example, if you were to call me, say, a meal buyer, and then using this sentence
288380	294520	structure you could say that I go to a restaurant, I buy a waitress, and I engage in her serving
294520	296660	me food on my terms.
296660	300080	And then that arrangement ends when I've finished the meal I've paid and I've left the restaurant.
300080	302400	It's the same thing with prostitutes.
302400	306520	You don't actually buy the woman, you don't actually buy the waitress.
306520	308120	You buy the food and you eat it.
308120	310400	Or you buy the sex, but you don't buy the person.
310400	314680	In essence, the sex buyer is paying for a service and there is a reasonable expectation
314680	316320	that that service is provided.
