start	end	text
0	5380	I was in the middle of working on the next how cucked is Canada part when I found out that Count Dankila had actually been
5680	11140	Convicted in his court case for those of you who don't know he taught his girlfriend's pug
11420	17800	To do a Hitler salute as a way to annoy her. He made a video out of it. And now he's being charged under
19120	23980	What is it? Is it the Communications Act of 2003 for grossly offensive speech?
23980	27040	I'm sure you guys don't need to be told how ridiculous this actually is
27040	29980	But today he was found guilty and the judge said, okay come back in an hour
29980	33680	And I'm going to sentence you to whatever prison length or whatever punishment
33680	36560	I'm going to to meet her out and an hour later. They go back into the
37420	40320	The courtroom and the judge says oh, hold on. I've changed my mind
41080	44400	Come back in a month. So he has to wait another month at this point
44400	47520	It's pretty obvious that the the judge is just fucking with him
47520	51800	He's just trying to punish Dankila as much as he can presumably because he's an activist of some sort
51800	56060	But it was also mentioned that the judge needed to collect pre-sentence reports now
56060	59860	I'm not sure about the UK but in Canada pre-sentence reports
60100	66100	Basically referred to reports on the investigation of the history of somebody who's been convicted of a crime just to see if there are
66100	72780	Any extenuating circumstances which may raise or lower the sentence considering how much of an activist the judge?
73220	75940	Seems to be and how long they've been dragging this out
75940	79500	They may be looking for ways to give Dankila a harsher sentence
79500	85800	But there's also the hope that they may be looking to simply just give him time served and time served means that yes
85800	93680	You're guilty, but you're not going to be punished which frankly should be what the judge comes back with in this case because prosecuting and
93680	96920	Convicting somebody for a joke is fucking ridiculous
96920	100760	I'll include the reports from Tommy Robinson outside of the courtroom at the end of this video guys
100760	107360	Just keep watching to hear it from his own mouth. Thanks guys. Let's hope that Dankila gets out of this one. I love you
107920	109920	Count Dankila has just been convicted
110160	112160	He's been found guilty
112880	114880	of course in
115000	118760	Under the Community Communications Act of being grossly offensive
119840	121440	That's right
121440	123440	It's a crime to be grossly offensive
124560	126560	He'll be sentenced
127040	129040	At two o'clock
131640	133640	I'd rather just spill on what I think
135280	137240	In the fact that
137240	140840	What what he'd been convicted of is telling a joke is a joke
141400	147840	He's been convicted the judge did not accept the judge will not believe they would simply to annoy his girlfriend the judge believed he
148240	153440	Purposely intended to cause mass offenses. That's his purpose thinking where in reality
154280	156280	If he did want to cause mass offense, who cares?
157600	159600	We're not allowed to offend people
160480	163800	You can talk about the Irish you can talk about English
167680	169680	Found out under
169800	174240	He said let me get go back to what he said he said that it was grossly offensive
174760	180320	He's been convicted of it being grossly offensive three million people watch that video. Not one person
181000	185680	Made a complaint three million people watch the video. Not one person made a complaint. It couldn't be that grossly offensive
186680	190420	People couldn't have and in context it was a joke, but right now
192880	194880	He's faced in prison
199680	202840	Not one person made a complaint not one person made a complaint
202920	207480	He didn't make a complaint the one person that they got a statement off is that it is the police
207760	213120	Scottish police hate crime represent they went to him not one person made from
218640	224320	Yeah, the judge said you have to keep in mind the reasonable enlightenment of a multiracial society
224360	228480	So as we become more diverse for more multicultural, you can't speak
228960	232680	Okay, you cannot joke you certainly cannot think
240200	247860	Comedians joke about this stuff comedians joke every day comedians joke on TV shows comedians joke of theaters. It's a joke. It's a joke
