start	end	text
0	12020	Good morning, everyone. No, really. This is about 20 minutes after I got up. Got my coffee
12020	21900	here. There's your free sip outside of Sunday. And today, I have a long day of watching Kenobi
21900	27900	and writing a review for that amazing piece of cultural legacy that I'm sure will live
27900	32240	on forever. But before I get started on that, I wanted to at least quickly record something
32240	36160	that could come out today. And I know this is a little bit old. As always, I'm perpetually
36160	40680	behind the times. It's just a product of getting older. And so I wanted to take a peek at this
40680	47560	because you guys, if you haven't seen this yet, you guys will be blown away. This is
47560	52900	the TikTok page of Natasha Badger. As always, no one go bother this person. We're not here
52900	60340	to docs or dogpile or anything, but she works at LinkedIn in Chicago and she has quite a
60340	67660	few things to say about it. But this one here went viral both on TikTok and off. Day in
67660	72800	the life of 22 year old living in Chicago, working in the tech industry. Here we go.
72800	75700	Today was one of those days where you leave for work at 7 a.m. and you don't get back
75700	80120	until past midnight. It sounds like a really busy day, you know, when you're working like
80120	84600	what is that, 18 hours a day. Let's see her 18 hour workday. I left for work early for
84600	90080	a 9 a.m. meeting that was conveniently canceled right beforehand. Wait. Oh, I guess. Wait,
90080	94440	hold on. Wait, do you have like a two hour commute? You said your day started at seven,
94440	99200	but you're you're going into work for a 9 a.m. meeting. OK, but luckily I got to the
99200	103000	lobby and there were these eucalyptus towels waiting for me, which is really nice and some
103000	110480	fresh orange water, which I, of course, took before taking the elevator. OK, OK, so in
110480	118640	the lobby, if you work, it's too early in the morning for this. If you work at LinkedIn,
118640	126320	you can expect cold orange water in the lobby along with eucalyptus towels. I don't I don't
126320	130300	quite know what that means. Like, do they do they take the eucalyptus tree and they
130300	134660	just squeeze all the juice out of it, put it in the towel? Is that what's going on here?
134660	139140	Are they are they steamed? Maybe they're steamed by burning eucalyptus wood. I don't know.
139140	145700	What do you need a eucalyptus towel for? Do you like wash yourself? Hold on. So having
145700	151180	to take the terrible bus ride across Chicago, I mean, fair enough, it is Chicago. You come
151180	156700	in and you're filthy from having rubbed shoulders at the plebs and you just need a steamed eucalyptus
156700	161380	towel to brush yourself off with. Also, make sure you use those tongs to grab it. You got
161380	165420	to keep everything sterile and clean, especially because probably some low level worker put
165420	173120	that there for you. Also, aren't eucalyptus, hold on. It's a fast growing evergreen tree
173120	179840	native to Australia. Why is eucalyptus harmful to humans? Taking 3.5 milliliters of the oil
179840	185700	can be fatal, can induce nausea, vomiting and diarrhea. You know, I thought eucalyptus
185700	190500	was just like the food for koalas, but now I guess it's also this shit. And some fresh
190500	195260	orange water, which I of course took before taking the elevator up to the office. Of course
195260	200180	you have to take the fresh orange water. Who even drinks water without orange slices floating
200180	205020	around in it? I grabbed some breakfast, normal oatmeal and chia seed pudding and we finally
205020	209980	got LinkedIn. Wait, wait, what the fuck is this breakfast? Look at this. You got like
209980	214160	fresh fruit dishes. Somebody cut this shit up and laid it out for them. I grabbed some
214160	221240	breakfast, normal, normal. This is a normal breakfast. I mean, fair enough. It's, it's
221240	224820	pretty healthy. You know, you got all the, all the, all the good grains and nuts and
224820	229720	berries in there. Okay. Like this is a, this is a healthy breakfast, but Jesus, this ain't
229720	233640	normal. Most people aren't eating this. Most people can't afford to eat it. I don't think
233640	237720	I've ever actually worked at a job that had breakfast provided. There's always like eat
237720	242400	before you get in oatmeal and chia seed pudding. And we finally got LinkedIn mugs in the office,
242400	247720	which I'm so excited about. Are you just scrolling on Amazon as part of your workday?
247720	251520	Then I found out that the wall heart that we have in the office is made out of recycled
251520	269880	trees from Chicago, which was so cool. Fun. Recycled. Recycled. You know what? Oh God.
269880	275260	You know what a recycled trees is? It's wood. It's paper. What do you think your, your house
275260	280160	is made out of? What do you think you, you, you write on recycled? Man, I came from my,
280160	287360	my small town that I grew up in, how to recycle tree plant fact. And then it was time for
287360	291360	our company, all hands. So I grabbed our drink of the day, which is a blackberry mojito and
291360	297160	headed downstairs to the all hands room. So I'm like, okay, so the company, all hands,
297160	302880	you get a free black beer. What the fuck is a mojito? I don't even know. Can you imagine
302880	307200	working at this place? Sarah, it's time for the meeting. Don't forget to grab your blackberry
