start	end	text
0	4800	Hello my friends, welcome to the new SJ Weekly.
4800	8960	This one's gonna kinda fly by fast because my time today is very limited.
8960	13300	In fact, my coffee from this morning has already gone cold, unfortunately.
13300	15760	So let's just skip that and get right to it.
15760	23560	On Metro, metro.co.uk, police are very close to losing the streets, top officer admits.
23560	27880	A top police officer has warned we are very close to losing the streets as government
27880	29720	funding cuts continue to bite.
29720	35360	Now I know that at least 50% of the United Kingdom's police force budget is devoted
35360	40040	to social media patrolling, but that stuff is absolutely essential, there's no way
40040	45320	we would ever pull resources and money off of that to actually patrol the streets of
45320	46320	the nation.
46320	52240	Sergeant Simon Kempton, Operation Policing Lead for the Police Federation, blamed a fall
52240	56280	in officer numbers for being behind a rise in violent crime.
56280	61080	He called on the government to focus protecting its citizens, and said the future looked bleak
61080	64960	if officials continued their gross underfunding of the police service.
64960	70560	Sergeant Kempton told Metro, I think the first and last duty of any government is to protect
70560	75960	its citizens, and if the budgets across government have to be constrained, difficult decisions
75960	77440	need to be made.
77440	83080	But keeping people safe, alive, and getting on top of criminality should absolutely be
83080	86140	the top priority of this and any other government.
86140	91360	This stark warning came just days after a top police chief claimed forces were at a
91360	95140	breaking point following severe cuts to their budgets.
95140	100460	And please keep in mind that the police that are on the streets are wasting their time
100460	102540	doing stuff like this.
102540	107540	Ken Marsh, Chairman of the Metropolitan Police Federation, admitted the country's largest
107540	112100	police force had run out of things to sell after it had been forced to sell off more
112100	115920	than 1 billion pounds worth of property over the past 6 years.
115920	119220	What about this time next year when the budget's even smaller?
119220	122040	Do we start to get rid of police officers?
122040	128240	Figures have shown that 606 police stations have closed since 2010, leaving some cities
128240	131280	such as Bath and St. Albans with no station at all.
131280	139120	And oddly enough, this actually flies in the face of the far left's propensity to regulate
139120	140120	everything.
140120	144680	You know, when when Sadiq Khan says we need to regulate knives, well who's going to be
144680	147640	the people to go out and actually regulate those knives?
147640	152120	Because if you don't have a police force to do it, it's not going to happen.
152120	153320	And that's not even the biggest problem.
153320	160560	The biggest problem is the absolute rise in knife attacks that comes with having one,
160560	167080	a non integrative population, and two, no police there to watch over the populace.
167080	173040	Let's switch gears over to Sweden, where in their preschools boys learn to dance and girls
173040	174720	learn to yell.
174720	178800	Something was wrong with the penguins, the incoming class of toddlers at the Seafarers
178800	182680	Preschool in a wooded suburb south of Stockholm.
182680	184880	The boys were clamorous and physical.
184880	186680	They shouted and hit.
186680	190260	The girls held up their arms and whimpered to be picked up.
190260	196400	The group of one and two year olds had, in other words, split along traditional gender
196400	197400	lines.
197400	198680	And at this school, that is not okay.
198680	203960	Well, there does seem to be something elemental in the human animal that has at least some
203960	207240	level of a gender split, especially at this age.
207240	211840	But as expected, a social justice education system would have to stamp that out.
211840	215360	Their teachers cleared the room of cars and dolls.
