start	end	text
0	4880	Hello and welcome to The Weekly Sip, yeah I did change the name.
4880	12040	And to commemorate, mmm, good stuff.
12040	16840	I figured that for a weekly news show, SJ Weekly was kind of limiting in the topics
16840	18180	that I wanted to cover.
18180	21680	Don't worry, it'll still mostly be SJW nonsense though.
21680	26360	For those of you who watched Yesterday's Dumping with Scrump, yes indeed, I am actually unemployed.
26360	29720	I know you asked me about it in the comments, so I might as well...
29720	31240	I can't tell the full story?
31240	33200	I will one day, but I can't do it now.
33200	36080	But I might as well tell you at least the surface level details.
36080	38560	I didn't get fired, I quit.
38560	41600	However, I quit because 1.
41600	44520	The job was becoming untenable to stay at.
44520	48680	Like I couldn't stay there and continue to do this or anything else that I wanted to
48680	50000	do in my life.
50000	51240	And something had to go.
51240	52240	And 2.
52240	55480	Because there was a fair chance I was going to be getting fired soon anyway.
55480	58880	So I decided to just bow out with some dignity left intact.
58880	63040	So I hope you don't mind if I shill a little bit here at the start of the video.
63040	69280	If you feel like supporting the channel in these trying times, I do have a Subscribestar.
69280	71800	Subscribestar dot com slash short fat otaku.
71800	75720	As soon as I get my first payment off of it, which will probably be at the beginning of
75720	79960	March, then I'll probably just axe the Patreon entirely.
79960	82680	Because Patreon is a shit company, as we all know.
82680	87160	If you'd rather just give to me directly though and not deal with somebody skimming 5% off
87160	92060	the top, there is of course Paypal dot me slash short fat otaku.
92060	95480	The problem with that though is that it's harder to keep track of any kind of rewards
95480	96480	tiers.
96480	101320	That is one thing that the Patreon Subscribestar model does well is that it organizes the rewards
101320	103600	tiers for creators to be able to manage.
103600	105440	I guess that's why Patreon is so stupid.
105440	109680	Because the one thing they bring to the marketplace, convenience, they're going back on.
109680	116520	Additionally, if you have no money, but you do have Amazon Prime, Amazon Prime gives one
116520	122480	free Twitch sub, which is normally $5 and $2.50 go to the creators, $2.50 go to Twitch,
122480	124840	but you get one free one with Amazon Prime.
124840	130640	So if you feel like tossing that my way, you can go to Twitch dot TV slash Game Boomers.
130640	133520	It's fine if you don't actually watch the streams, although I'd love to see you there.
133520	138020	If you have a free Twitch sub from Amazon Prime that you're just not using, that's also
138020	139700	a great way to support the channel.
139700	143880	Because even though Game Boomers is a separate project, it still all goes towards supporting
143880	144880	me.
144880	150320	Like I said, I do have several alt channels if you'd like to sub to those because with
150320	155040	enough subs, those can become monetized and therefore be alternative income streams.
155040	160900	I've got SFO backups, which is basically where I'm going to post videos that wouldn't cut
160900	162820	it on this channel.
162820	169440	For example, the Don Thacker expose video, it went up on SFO backups.
169440	172840	I've got the Game Boomers YouTube, which is basically just the stream archive for the
172840	174880	Twitch Game Boomers channel.
174880	180200	I upload the VODs in one hour chunks for anybody who happens to have missed the stream.
180200	184200	The stream itself is significantly more popular than the actual VOD channel, but at least
184200	185480	it's there for posterity.
185480	188640	And that channel is almost a thousand subs, which is when YouTube will start taking it
188640	191140	seriously and actually pushing it in the algorithm.
191140	193040	So if that interests you, please go check it out.
193040	196000	And the final channel I've started recently is called DevKit.
196000	201200	And that channel is basically where I'm going to do all of my non-political work.
201200	206560	So for example, the old anime reviews from 2009, they're all up on DevKit, with a few
206560	209280	exceptions because YouTube doesn't like the hentai ones.
209280	214080	I've also put some channel vlogs up there, I've put some behind the scenes stuff like
214080	217160	set tours and studio tours and stuff like that.
217160	221920	And I think at some point I might do like game reviews or hardware reviews or goofy
221920	223280	shitposting.
223280	228600	Basically the DevKit is going to be my shitposting channel, and also where I post like SFO channel
228600	231520	updates and things like that, so they don't clog up this channel.
231520	234560	This channel is going to be basically politics only going forward.
234560	239760	I also plan to do the community streams on the DevKit channel, once that channel is capable
239760	242280	of streaming, so please consider subbing to it.
242280	245400	And speaking of that, the community stream was supposed to be yesterday.
245400	249760	As it turns out, it wasn't yesterday, because my city suffered a terrible ice storm and
249760	252560	the whole place lost power for about four hours.
252560	255120	So I'm sorry about that guys, I'll make it up to you at some point.
255120	258960	The movie I wanted to watch was the Super Mario Brothers movie.
258960	262720	And how that works is that we all pile into a Discord channel and we all shitpost and
262720	265080	talk while we watch this terrible movie.
265080	266900	It's usually pretty fun, we do it once a month.
266900	271920	That is one of the perks of supporting the channel, so now that I need the support, please
271920	272920	consider joining in.
272920	277480	And I guess the last thing to ask is, is there actually that much demand for merch?
277480	281560	Because a few people have said I should do some merch in order to get some alternative
281560	282560	revenue.
282560	286800	But I'm really not sure if I'm popular enough that people would buy like, SFO mugs
286800	288120	or t-shirts or something.
288120	290320	I do have an SFO mug, it's pretty cool.
290320	294500	I was considering selling this as merch, but there just wasn't enough interest back
294500	295720	when I got this made.
295720	298520	So if this is something that would actually interest you, please let me know.
298520	301480	Sorry about the abundance of channel news this week, guys.
301480	304200	Let's move on to the stupidity that happened this week.
304200	308280	This time around, our dumbass of the week is Ron Perlman.
308280	309280	Check this out.
309280	310280	Sup, poll?
310280	316120	Ron Perlman, 2-21-2019.
316120	323040	I know, all caps, I know it is you bastards who keep making those memes of me.
323040	328980	I don't know if you're all a bunch of Russians or what, but cut it out, it ain't funny.
328980	333980	Your puppet president is going down soon, it's Mueller time, little stumplings.
333980	338280	Imagine being Ron Perlman and not knowing how this fucking ends.
338280	343440	Guys, guys, war never changes.
343440	349760	University suspends student UKIP member, 19, who sparked outrage by saying the NHS should
349760	355400	not be free to immigrants, and complained about the Islamization of Britain during class
355400	356400	discussions.
356400	357800	Damn, this guy's got a spine.
357800	361760	They do say that nowadays being a conservative on campus is the counterculture.
361760	365800	Sebastian Walsh, 19, was suspended from his university.
365800	370160	Schoolwork student expressed controversial views on halal meat and Islam.
370160	373760	The UKIP member complained the suspension contravenes his human rights.
373760	378340	A student who claimed the NHS should not be free to immigrants, and lamented about the
378340	382720	Islamization of Britain, has been kicked out of his university.
382720	384680	Well come on now.
384680	387480	First of all, by immigrants do you mean non-citizens?
387480	392000	Because if someone immigrated to the UK but became a citizen, well then they are entitled,
392000	393000	aren't they?
393000	422980	The 19-year-old student also branded halal meat barbaric and inhumane, and vowed to
422980	438820	friends he would never eat at a subway or KFC due to the way the animals are killed.
438820	444180	The self-proclaimed free speech advocate complained being struck off from university was a violation
444180	445420	of his human rights.
445420	449620	And if you're banning somebody for their association with UKIP, or any other political
449620	454860	party or political position that doesn't actually advocate for violence against anybody,
454860	457840	then yeah it would be a violation of those human rights.
457840	462480	We had a discussion about the privatization of the NHS, and I simply said I don't think
462480	465060	free healthcare should be available to immigrants.
465060	468140	This is a view held by many people in the public and I believe I should be able to express
468140	469180	them freely.
469180	471480	I feel completely victimized.
471480	472660	As he should.
472660	477660	He didn't say I don't think the NHS's healthcare should be available to people of
477660	482840	a certain race, of a certain religion, simply of a certain citizenship status.
482840	484480	And that's not racist.
484480	485920	It's not Islamophobic.
485920	488300	The university spokesperson said,
488300	493660	We are proud to host a campus community comprised of many cultures, faiths, nationalities, and
493660	494660	beliefs.
494660	499680	We value this rich diversity and we take seriously this responsibility to provide a safe and
499680	501700	welcoming environment for all.
501700	506680	The university promotes lawful, open debate, the discussion of varying views and academic
506700	512040	freedom and has in place robust procedures to ensure this can take place.
512040	516760	In this case, a number of official complaints were made by students regarding a series of
516760	522180	offensive and inappropriate comments made by Sebastian Walsh during lectures and seminars.
522180	527600	We cannot divulge the actual comments made by Sebastian as they formed part of a confidential
527600	528600	investigation.
528600	533940	However, they clearly breached a number of the university's conduct regulations, including
533940	538000	those relating to harassment and bringing the university into disrepute.
538000	544460	In line with our official procedures, an investigation ensued and a disciplinary hearing took place.
