start	end	text
0	5680	Hello my friends, welcome to the newest SJ Weekly. I feel like I owe you an explanation.
5680	11440	I took up this project, the whole SJ Weekly's thing, because primarily I wanted to get something
11440	17120	out on the channel regularly. At least one video a week, because these happen every Sunday,
17120	22560	and I've kept that so far. Through sickness and famine I've kept to it. But you'll probably
22560	28880	notice that the last video that I put up, not counting this current SJ Weekly, was
28880	33840	last week's SJ Weekly. I was hoping that I'd be able to get at least one video out a week to
34720	40240	break up the SJ Weekly's, whether it be a dumping with Scrump, or a dissecting a degenerate,
40240	45280	or something. Something that'll break up the two of them, so you'd at least get two videos a week.
45280	48800	I think that's a fair upload schedule, two videos a week for this channel.
50080	56320	And I haven't been able to do it. Not this week anyway. In the last episode I talked about making
56400	61840	the Alex Jones video. But as it turns out, as I was writing it, and as I was recording it,
61840	65920	and then as I found more stuff and more things happened, and I re-recorded parts of it,
66880	74880	it became a much bigger video. The scope increased by a fair amount. It's now called
74880	82160	the anti-social media, and it's basically a complete expose of all of the things that
82160	88160	social media does wrong. And there is quite a bit of it. There's a lot to go over. Alex Jones
88160	92000	might have been the catalyst, but it certainly wasn't the beginning, and it certainly isn't the
92000	96320	end. So I think this is actually a very important video that I definitely want to get right.
96960	102800	I'd say I'm about two-thirds done it, and you'll probably see it in the middle of the week. And
102800	107440	people have been asking about the next dumping with Scrump. Actually, I'm probably going to be
107440	112160	recording it right after I'm done this, unless Scrump is off fucking traps or something.
112880	117680	I'll be doing it this afternoon, so you'll probably see that a day or two after anti-social
117680	125360	media. So content's coming, guys. Thank you for being patient. Oh, and of course, we have to start
125360	131920	the morning off, even though it's now 12 12 pm. I woke up late today. We have to start the morning
131920	146880	off with the coffee. It's good stuff today. I left the spoon in this time. There's a guy who
146880	153680	wanted a coffee with a spoon in the mug. There it is. There's my spoon. So today, the coffee is with
153680	159120	spoon. But let's get to the nonsense. To kick things off, here's an article that I had saved
159120	163600	up. Like the Alex Jones video and anti-social media that it would eventually morph into,
163600	167840	I ended up not using it in the video because it just didn't really fit, because this is more of a
167840	174800	social media success story. And let's read it. MySpace Tom beat Facebook in the long run.
174800	180800	Wouldn't you rather be a rich nobody than whatever Mark Zuckerberg is? And I guess the honest truth
180800	186000	is yes. I mean, nobody cares about MySpace anymore, and nobody knows who runs MySpace.
186560	191440	But he just, I assume, you know, based on him being called a rich nobody, I assume he paid out,
191440	196400	he got his money, and he just kind of fucked off and now enjoys his life privately. That is the
196400	202240	ideal, isn't it? My MySpace profile was abandoned when, at the ripe age of 18, I decided it was just
202240	207600	a little too juvenile. The glittering gifts affixed to every page, the garish custom designs,
