start	end	text
0	10020	In the Western world, we've got two predominant views on ethics, deontology, where the morality
10020	15120	of an action is based on if the action is right or wrong under a set of rules, and consequentialism,
15120	20040	where the morality of an action is based on if the action produces a good outcome. Put simply,
20040	25500	it's good is good rules versus good is good ends. The most obvious example of deontological ethics
25500	30100	is a religious code, and due to this, deontological ethics is considered by a lot of fedora tippers
30100	35260	and neckbeard growers to exclusively be the domain of uneducated quasi-religious dumb hicks.
35260	41460	And there's some truth to this view for sure. If you're a 75 IQ pleb just trying to get by in
41460	46100	life with no understanding aptitude or desire to learn about ethical philosophy, it's probably a
46100	49660	lot easier for someone to tell you that there's a simple enough set of rules to follow to get a
49660	54180	mostly good life. You know, say your prayers and eat your vitamins kind of stuff. The practical
54180	58300	function religion serves for most people is a way to be ethical enough to fit into society
58300	61420	without having to think about it too hard. And that's a big help for those people who
61420	65380	aren't thinking about it. It's for this reason that excuses to violate a deontological code are
65380	69860	a lot less persuasive than they otherwise would appear to be. The obvious problem with this view
69860	75100	is what do you do when the rules you're following are actually bad rules? Or how do you recognize a
75100	80020	rule is bad at all if the source of morality is the rules themselves? The flaw here is that there
80020	84160	can be an inability to update the morals when they need to be updated. In the face of that flaw,
84680	88600	it's hard to argue with a consequentialist critique of religion or culture. Screw the
88600	92560	rules, they hold us back. Goodness comes from a good result. That's a very appealing argument.
92560	97080	Who doesn't want good ends? Who doesn't want the world to be better? And who wouldn't do the hard
97080	102640	but necessary work to make it happen? It makes sense that if an action's outcome creates goodness
102640	108080	but is still against some law or rule, shouldn't we do the action anyway? Shouldn't that law or
108080	112640	rule be updated or discarded as not being congruent with the new reality? Considering
112640	117120	it like this, I am not surprised at all that the internet's favorite pseudo-intellectuals
117120	131040	are all consequentialists, to the point that they use deontology like a slur. But if it
131040	135360	sounds like I'm simping for consequentialism, I'm not. Consequential ethics forms the core
135360	140640	justification of every utopian ideology and underpins the logic of both Marxism and fascism.
140640	144640	If you can identify equality as having infinite value, then you can commit any number of
144640	149120	atrocities to obtain that value, and your ethical calculations will still come out in the green.
149120	153200	What does it matter if you kill six million Jews if the end result is that you create a
153200	157600	thousand-year Reich? What does it matter if you collectivize all property and purge any who resist
157600	162880	you as reactionaries if the end result is you create the stateless, classless, moneyless society
162880	167440	and bring about the end of history? If the final end is good enough, you can justify any number of
167440	171520	smaller bad ends along the way, because the ethical calculation will ultimately still turn
171520	176000	up positive. Which brings us to the topic of consent. Let me ask you this question. It's
176000	181440	going to seem obvious, but bear with me. Why is rape bad? The deontological answer to this question
181440	185680	is easy enough, assuming you subscribe to a set of rules that defines rape as bad. But that's not
185680	191200	a satisfying answer, is it? Rape is bad because it's bad? I mean, yes, but that still doesn't
191200	195360	explain it. At the same time, what is the consequentialist answer to this question?
195360	199280	Well, firstly, you'll quickly discover that it's actually deontological. In fact,
199280	203760	all of consequentialist ethics is deontological if you dig deeply enough. Here's a great example.
203760	208400	Take the question, should we kill gay people for being gay? You and I will likely say no,
