start	end	text
0	4000	It's often been said that people don't read Nietzsche, they only read quotations
4000	8760	of him online and consider them to be cool, although I think that tendency started long
8760	10400	before the internet was even invented.
10400	14280	It's no stretch to say that he's probably the most frequently misinterpreted philosopher
14280	15280	of all time.
15280	20520	Hell, when Germany can create not one but two totalitarian ideologies, justified by
20520	25160	his philosophy, while simultaneously running counter to it, you know you've got somebody
25160	26960	on your hands that's pretty tough to read.
27000	30960	I'd like to bring up one specific Nietzschean quote though, God is dead.
30960	35200	Whenever it's repeated in the modern era, it's done so triumphantly, considered to
35200	39160	be a statement of humanity's moving past the dogma and ignorance of religion, into
39160	42080	a modern era of reason and science.
42080	46920	And fair enough, Nietzsche had many criticisms to levy against religion in his writings.
46920	52480	But the phrase, God is dead was stated not triumphantly, but sorrowfully, and in a state
52480	53480	of blind panic.
53760	57480	I actually had the opportunity to read some of Nietzsche's writings, thanks intro to
57480	61600	philosophy, and one passage I was able to study with a bit more depth was the famous
61600	63380	God is dead excerpt.
63380	67820	Nietzsche used that phrase multiple times, but the one that everyone quotes is from section
67820	70520	125 of The Gay Science.
70520	72840	Just so we're all on the same page, here it is.
83480	88360	Why is he lost? said one.
88360	90520	Has he strayed away like a child? said another.
90520	92100	Or does he keep himself hidden?
92100	93300	Is he afraid of us?
93300	94580	Has he taken a sea voyage?
94580	95680	Has he immigrated?
95680	98120	The people cried out laughingly, all in a hubbub.
98120	102040	The insane man jumped into their midst and transfixed them with his glances.
102040	104120	Where is God gone? he called out.
104120	106720	I mean to tell you, we have killed him, you and I.
106720	108460	We are all his murderers.
108460	109540	But how have we done it?
109540	111140	How are we able to drink up the sea?
111140	113940	Who gave us the sponge to wipe away the whole horizon?
113940	116680	What did we do when we loosened this earth from its sun?
116680	118000	Whither now does it move?
118000	119080	Whither do we move?
119080	120360	Away from all suns?
120360	122800	Do we not dash on unceasingly?
122800	125740	Backwards sideways forwards in all directions?
125740	127680	Is there still an above and below?
127680	131200	Do we not stray as though through infinite nothingness?
131200	133920	Does not empty space breathe upon us?
133920	135440	Has it not become colder?
135440	138860	Does not night come on continually, darker and darker?
138860	141760	Shall we not have to light lanterns in the morning?
141760	145500	Do we not hear the noise of the gravediggers who are burying God?
145500	150320	Do we not smell the defined putrefaction, for even gods putrefy?
150320	153420	God is dead, God remains dead, and we have killed him.
153420	157400	How shall we console ourselves, the most murderous of all murderers?
157400	161560	The holiest and the mightiest that the world has hitherto possessed has bled to death under
161560	163000	our knife.
163000	164640	Who will wipe the blood from us?
164640	166840	With what water could we cleanse ourselves?
166860	169860	What lustrums, what sacred games shall we have to devise?
169860	172960	Is not the magnitude of this deed too great for us?
172960	177860	Shall we not ourselves have to become as gods, merely to seem worthy of it?
177860	181940	There never was a greater event, and on account of it, all who are born after us belong to
181940	184340	a higher history than any history hitherto.
184340	187600	Here the madman was silent, and looked again at his hearers.
187600	191040	They were also silent, and looked at him in surprise.
191040	195820	At last he threw his lantern on the ground, so that it broke in pieces and was extinguished.
195820	199560	I come too early, he then said, I am not yet at the right time.
199560	202560	This prodigious event is still on its way, and is travelling.
202560	204640	It has not yet reached men's ears.
204640	206500	Lightning and thunder need time.
206500	210620	Deeds need time, even after they're done, to be seen and heard.
