start	end	text
0	5920	Blackface is a form of theatrical makeup used predominantly by non-black performers to represent
5920	11200	a caricature of a black person. The practice contributed to the spread of racial stereotypes
11200	16560	about black people, and blackface minstrel shows had become a distinctive American art form.
16560	21120	However, by the present day it's largely fallen out of favor and is generally considered offensive
21120	26960	and disrespectful. That is Wikipedia's definition of blackface, and, helpfully included in that
27040	31440	Wikipedia article, is a historical drawing of somebody dressing up in blackface, presumably
31440	35440	as an advertisement for his show, and it's probably pretty easy to see why, yeah, this
35440	40640	could definitely be construed as racist. But nonetheless, blackface has a history of its
40640	45120	racism. You can actually go back over the past 200 years and trace its origins. To contrast,
45120	47840	here's Wikipedia's entry on brownface.
47840	52400	Racial brownface is a variation of blackface in which a person imitates a person of Latin
52400	57440	American, Middle Eastern, North African, Polynesian, Native American, and or South
57440	62160	Asian ethnic origin. This can be done using makeup, hair dye, or by wearing traditional
62160	66960	ethnic clothing. It is typically defined as a racist phenomenon whether or not the offender
66960	71920	intended to be racist. This seems to be the ideological root of cultural appropriation,
71920	75920	because let's say that you're a white guy in Japan and you decide to throw on a kimono,
75920	80240	you are wearing a variant of racial brownface because you're wearing traditional ethnic
80240	85680	clothing. And while both blackface and the complaints against it have a long history,
85680	89200	people have only really been talking about brownface for the past couple years.
89200	96080	The first example in the article, in fact, is The Simpsons coming under fire in 2018
96080	102240	over the character Apu, even though Apu has been in the show for 25 years before that.
102240	106640	Of course, to simply say that brownface doesn't exist seems to be a little bit absurd as well.
106640	111040	Remember when John Wayne played Genghis Khan, because that was back during the era when
111040	115600	Hollywood didn't actually like brown people acting in anything? And yeah, I guess in some of these
115600	121440	pictures they threw some makeup on him, but for the most part he just looks the same.
121440	126000	In any case, the discussion on blackface resurfaced a couple months ago because of
126000	131360	my prime minister, Justin Trudeau. Old photos of him acting as a drama student and as a drama
131360	136320	teacher were found wearing various costumes, including blackface. And so, many articles
136320	140480	were published like this one. This is why brownface and blackface have always been
140480	144080	offensive and always will be. I guess we're just going to skip over the fact that brownface does
