start	end	text
0	17480	So, E3 has come and gone for another year.
17480	20120	That's the Electronics Entertainment Expo, by the way.
20120	24400	It's the year's largest video game trade show, where companies gather in LA to show
24400	27020	off their upcoming games and hardware for the new year.
27020	31220	My friends and I watched all the major conferences on our gaming channel, in fact, including
31220	34500	the absolute shitshow that was Devolver Digital's conference.
34500	37980	But the game that stood out the most to me was The Last Knight, and you can probably
37980	39940	see why just by looking at the trailer.
39940	44220	I know that the 2D pixel indie thing is certainly a huge trend right now, but this is different
44220	47500	than say Mega Man 9, Shovel Knight, or Stardew Valley.
47500	50940	Those were all good looking quality games in their own right, but The Last Knight, in
50940	55960	my opinion, is on another level entirely, with the amazing lighting effects, the perspective
55960	58640	and scaling, and the sheer detail of the pixel art.
58640	63080	In fact, The Last Knight ended up being one of the most talked about games of this year's
63080	67960	E3, with only the Metroid Prime 4 announcement significantly surpassing it on social media.
67960	73200	It was, by far, the most talked about indie title of the convention, but as we'll soon
73200	77480	see, not all of the social media buzz regarding The Last Knight was positive.
77480	81700	The Last Knight was a surprise out of nowhere hit during the Xbox conference.
81700	86700	This conference was unique among E3 conferences in that it had very little showmanship, with
86700	90620	the exception of a car on stage at the beginning as advertisement for a new racing title that
90620	92620	most gamers probably don't give a shit about.
92620	95740	You can generally tell when a company has very little to show at E3.
95740	99780	They'll pad the conference out with something like a sitar band playing in front of a waterfall
99780	104100	light show, or a nostalgic montage that tugs at an old gamer's heartstrings but brings
104100	105340	nothing to the table.
105340	110060	On the flip side, when a company has actual content to show, they often proudly announce
110060	113860	that they're just going to machine gun fire game trailers at the audience, and The Last
113860	118620	Knight made its first debut as one of those many bullets during the Xbox conference.
118620	122580	So right out the gate, The Last Knight was up against some pretty hefty competition,
122580	125060	and yet still managed to be the sleeper hit of the show.
125060	126900	And that got a lot of people talking.
126900	130620	As well as looking into who exactly was responsible for the game's development, which is where
130620	132580	we hit our social media snag.
132580	137460	Meet Tim Saray, one of the two Frenchman brothers who run the indie company Odd Tales, which
137460	141700	contrary to my initial knee-jerk reaction has nothing to do with the Oddworld franchise.
141700	146860	Tim Saray, years before The Last Knight's trailer took E3 by storm, made a few tweets
146860	150860	that some people might consider wrongthink, but that the rest of us just see as healthy
150860	151860	skepticism.
151860	152860	Let's look at them.
152860	156740	I'm against feminism, because it's getting more and more skewed.
156740	158620	I am for egalitarianism.
158620	161300	I don't care boy, girl, alien.
161300	166060	And feminism now forces you to think from the woman point of view, whereas egalitarianism
166060	167380	is really universal.
167380	171980	These tweets tap into the larger conversation of feminism versus egalitarianism.
171980	175420	Proponents of feminism claim that it is inherently egalitarian, because they believe that women
175420	179500	are disadvantaged, and that egalitarianism is achieved by lifting women up to the level
179500	180500	of men.
180500	184320	Strict egalitarianism proponents, meanwhile, claim that feminism's exclusive focus on
184320	188900	women is anti-egalitarian in nature, as it fails to take into account instances where
188900	193280	men may be disadvantaged, where men face problems unique to their gender that women have no
193280	197880	experience with, or where both genders face similar problems, but only women receive assistance
197880	198880	for it.
198880	201560	In essence, the argument boils down to this picture.
201560	205840	The frame on the left is equality, where each person is treated the same, regardless of
205840	209920	their individual needs, and the frame on the right shows an uneven distribution of social
209920	213840	assistance, represented by crates, according to each individual's needs.
213840	216480	The right frame does paint a compelling argument.
216480	221040	For example, of course the sick or the homeless should receive social assistance that a healthy,
221040	222740	wealthy person may not need.
222740	226140	But when this idea falls apart is when you apply it to gender.
226140	230380	Do you really believe that this taller individual is an accurate representation of men, as a
230380	231620	class of people?
231620	234700	Do you really believe that the child accurately represents women?
234700	238400	Applying this form of equity to gender simply means that the person doing the application
238400	243020	believes women are inherently weaker or inferior, and that they need society to lift them up
243020	244020	to equal standing.
244020	247940	I don't think I'm reading too much into it when I say that Tim Saray's tweets are
247940	248940	part of this argument.
248940	252180	He doesn't mention the crate metaphor, but he doesn't have to.
