start	end	text
0	17340	Over on SFO Arcade, we just finished up Fourspoken, the latest PS5 exclusive.
17340	19140	So I guess it's finally time to talk about it.
19140	20200	And yes, it stinks.
20200	23180	I wouldn't break out the indefensible intro and title if it didn't.
23180	24660	Let me give you the history.
24660	28380	Square Enix's early history is one of console exclusivity.
28380	31520	Square games came out only on the NES and then the SNES.
31520	36560	Then they famously jumped ship to Sony, choosing the PlayStation 1 over the Nintendo 64 due
36560	40780	to the latter opting to stick with cartridges that maxed out at 32 megs, while the former
40780	44260	utilized CDs with a storage capacity of 700 megs.
44260	48540	Back in the 90s, Square made the claim that Final Fantasy VII just wouldn't fit on a
48540	49540	cartridge.
49540	53240	And as a kid of the 90s, let me tell you, this fueled a lot of schoolyard fights.
53240	57620	Square continued to be exclusive to Sony during the PlayStation 2, for the most part.
57620	62460	This strategy of Square Enix exclusivity worked because each of these console generations
62460	63580	had a clear winner.
63580	67640	The console that Square had backed was wildly more popular than the other options.
67640	71980	But with the seventh generation of consoles, that's the Wii, Xbox 360, and PS3 by the
71980	74620	way, all three of them were exceptionally popular.
74620	78340	And Square Enix realized that remaining loyal to Sony meant losing money.
78340	82580	So they developed a proprietary engine called Crystal Tools, meant to streamline the production
82580	87140	of their big upcoming title, Final Fantasy XIII, making it easy to run on multiple platforms.
87180	88980	The only problem is, it sucked.
88980	92780	Crystal Tools ended up being a huge Square Enix boondoggle, delaying the release of Final
92780	96820	Fantasy XIII by almost two years, while offering little to no value.
96820	100900	By 2011, the Crystal Tools engine had already been pushed to its breaking point during the
100900	103220	development of Final Fantasy XIII-2.
103220	106080	Cracks were showing, and Square Enix needed something else, if it was going to be able
106080	108580	to keep up on the PS4 and Xbox One.
108580	112380	You'd think, after the failure of Crystal Tools, Square would be smart enough to not
112380	117180	do this again, and maybe they'd use more conventional, more functional, more well-documented
117180	118180	developer tools.
118180	120860	Maybe license an engine, like Unreal or Unity or something.
120860	122580	But no, they made the exact same mistake.
122580	126740	To solve their Crystal Tools problem, Square Enix developed the Luminous engine in 2012,
126740	130860	and showed it off at the E3 of that year with the tech demo Agni's Philosophy.
130860	132820	Now if this looks familiar, that's because it should.
132820	137320	A lot of it ended up becoming forespoken ten years later, which is also why huge chunks
137320	139700	of forespoken look about ten years old.
