start	end	text
0	5040	Ah yes, the personal is political. It's an old adage, hailing from back during the
5040	9200	genesis of second wave feminism. The phrase first gained traction as the title of one
9200	13920	of Carol Haneck's publications from 1969, where she exclaims that the problems women
13920	19920	have aren't personal problems requiring therapy, but political problems requiring systemic change.
19920	24640	But not only that, she also says personal problems are political problems. There are
24640	29760	no personal solutions at this time. There is only collective action for a collective solution.
30000	35120	I prefer to call even this aspect political therapy, as opposed to personal therapy. The
35120	39600	most important is getting rid of self-blame. Can you imagine what would happen if women,
39600	44080	blacks, and workers, my definition of worker is anyone who has to work for a living as
44080	48400	opposed to those who don't, all women are workers, would stop blaming ourselves for
48400	53360	our sad situations? It seems to me the whole country needs that kind of political therapy.
53360	58080	In essence, Haneck attempted to put forward the idea that the issues of sex, appearance,
58080	62640	abortion, childcare, and the division of household labor were not simply personal
62640	67280	problems for individual women to solve to their own satisfaction, but political problems requiring
67280	72240	collective action. Since then, the definition has expanded. Now, the personal is political
72240	76960	means that a culture warrior has no personal, private life. It's all activism. It's all
76960	81520	political. That's why, for example, feminism isn't about personal choice, as the social
81520	85760	justice warriors like to tell us. If you happen to be a naturally submissive woman,
85760	90560	living a traditional lifestyle, that's oppressive and patriarchal. Your personal desires,
90560	95280	your choices don't matter, because what you do affects how other women are treated,
95280	100240	as your private life diffuses in some small way into the larger culture. The personal is
100240	104480	political. And because of that, the implication is, when there's a clash between the two,
104480	109120	the political takes precedent over the personal. And then the definition expanded again. The new
109120	114400	phrase I see being thrown around now is, everything is political. Not just the personal,
114400	119680	but all areas of life, all of existence is political. Here, let's watch postmodernism
119680	123520	instantly devour itself. The answer to the challenges of the new millennium is not more
123520	127920	state intervention, but to eliminate politics in the state. The elimination of the state is
127920	132560	the SJW wet dream, because the state is a structure, and all structures are, of course,
132560	137120	inherently oppressive. That's why you have open border advocates claiming that citizenship is
137120	142480	racism, and chanting no USA at all at their rallies. But here's the counterpoint, right out
