start	end	text
0	7000	Hello my friends, welcome to SJ Weekly. I'm sick again. Fucking somehow. Thankfully this time I'm on the tail end of it.
7000	17000	If you happened to watch the stream last Tuesday, where Dave and I played Lisa the Painful with a patron supporter.
17000	22000	We cut the stream off a little bit early because I started to have a scratchy throat.
22000	27000	It turned out that I had strep throat. And I still kinda have it.
27000	31000	And then Dave got it, and then his girlfriend got it, and then my girlfriend got it.
31000	35000	So it has been a shitty fucking week I must tell you.
35000	44000	Today I am drinking green tea with lemon juice and honey in it. Because it's the only thing I can stomach right now.
49000	53000	It's pretty good. I'm thankfully on the end, the tail end of this sickness.
53000	60000	So with any luck I'll be over it in a day or two. But Jesus Christ I seem to get sick like once a month. It fucking sucks.
60000	67000	But let's start SJ Weekly by looking at, not an article this time, but these are pictures that somebody sent me.
67000	76000	It's from Pride Montreal, and they're doing a pride march. Or rather they did a pride march on the 19th of August.
76000	82000	And he had signed up to attend it, and this is some of the correspondence they sent him.
82000	87000	So this is all normal stuff right, like where the march is taking place.
87000	96000	But then under dress code it says we invite you to wear your company slash groups logo as long as it has been approved by Pride Montreal. See the list below.
96000	100000	And that's a bit strange, so if we go to the next picture.
101000	117000	The approved logos for our group are EA Motive, Ubisoft, Eidos, Square Enix, WB, Keywords, Unity, Kitfox Games, Serapod Studio, Clever Endeavor Games, Casa Rera Studio, Mescalanium Studio, Pixels and Dawson College.
117000	125000	Most of these are video game developers. Some of them are indie, some of them are big names like EA and Ubisoft and Square Enix.
126000	134000	But it seems like this pride march was mostly sponsored by video game developers that have studios in Montreal.
134000	141000	And here's the interesting part. Please note that any unapproved logo might lead to an important extra fee.
141000	149000	So they're actually going to charge you if you attend this public gathering wearing a logo that is not from that list.
149000	161000	So if you wear like, I don't know, a beer shirt, or you wear like a shirt with like a different company on it like Nintendo or something, or you wear like a Nike shirt, they're gonna charge you.
161000	173000	It's almost like the pride march is less about pride and more about advertising.
173000	187000	It's almost like this is an advertisement march. And in fact, they mentioned this several times like in the rules list, like okay, you can't use water guns, you can't throw confetti, you can use soap bubbles, you can't use alcohol or drugs, you can't hand things out to the public.
188000	203000	Only logos of authorized companies can be worn and displayed in the parade. Why? If it were just a regular pride parade sponsored by certain companies, you think they might have like a little float, or somebody might hold a banner or something.
203000	214000	But why are you prohibiting other companies? This doesn't seem right. It doesn't seem like a regular pride parade. It's almost like they bought exclusivity of the pride parade.
214000	226000	It's almost like it's more about promoting these companies and less about pride. And it just, it's almost like capitalism has co-opted their social justice structure here and it's kind of funny.
226000	231000	But let's move on to the New York Times article, how can I cure my white guilt?
232000	244000	This has been floating around Twitter the past week and I must say, I found it absolutely hilarious. I mean, I don't have any white guilt because I haven't done anything.
244000	256000	You know, like, I don't even think anybody in my family history has actually done anything. I'm sure if you go back far enough, everyone has somebody who acted ridiculously, but my family never owned slaves.
256000	268000	My family didn't do any of the things that you should have white guilt for. And even then it doesn't matter because that should be like my ancestors problem, not mine.
269000	282000	Dear sugars, I'm riddled with shame, white shame. This isn't helpful to me or to anyone, especially people of color. I feel like there is no me outside of my white upper middle class cisgender identity.
282000	296000	I feel like my literal existence hurts people, like I'm always taking up space that should belong to someone else. I consider myself an ally. I research proper etiquette, read writers of color, vote in a way that will not harm POCs and other vulnerable people.
296000	306000	I engage in conversations about privilege with other white people. I take courses that will further educate me. I donate to Black Lives Matter, yet I fear that nothing is enough.
306000	315000	Part of my fear comes from the fact that privilege is invisible to itself. What if I'm doing or saying insensitive things without realizing it?
315000	327000	Well, everything you've described here comes from two sources. One is that from the point of view of black people, you can never do enough. You will always need to do more.
327000	337000	That's why whenever you see like a list of things of how to not be racist as a white person, the final point on the list is always recognize that you're racist anyway.
337000	344000	If you've been indoctrinated with this point of view, that means that no matter what you do, you are always going to feel inadequate.
344000	353000	And the second source of this would probably come from the black social justice warriors around you who are reinforcing what you already have internally learned.
353000	359000	Basically, you've decided to wear the mantle of the sins of your entire race.
359000	365000	Unjustly, by the way, you don't have to do this, but you've chosen to do it and now you're feeling the consequences.
