start	end	text
0	10440	Hey, you know that Twitter account Liminal Spaces, or, uh, Space Liminal Bot, if you
10440	11440	want to go by the handle?
11440	15920	It's kinda unique in that it posts images of, well, what it calls liminal spaces.
15920	20040	Sometimes these are pictures of long hallways, dilapidated and dark, or perfectly normal
20040	23920	and well-lit, or appearing like it's a place out of time, like it's still a functioning
23920	27600	location just with an older aesthetic style, like the decor hasn't been updated since
27600	28600	the 80s.
28600	31400	These pictures can sometimes generate a sense of unease, almost like there's something
31400	34560	way down at the end of the hallway that's coming for you, but they can also generate
34560	38600	a feeling of comfort sometimes, like a place that you used to visit but no longer can because
38600	39600	it's gone.
39600	41240	Maybe it's been renovated, maybe it's been torn down, whatever.
41240	45960	And so now it only exists in your memories, or in the picture.
45960	50180	Sometimes the account posts images of pools or cisterns or other aquatic places.
50180	54620	These also come in the two main flavors, dark and unsettling, or pristine and comforting.
54620	58200	Even in the comforting ones, though, there's a sense of loneliness or loss.
58200	60600	No, not that kind of loss.
60600	64880	Sometimes the account posts pictures of evidence of human activity that has since gone dormant,
64880	68800	like something that is out of season or a location after closing, again in those two
68800	69800	main flavors.
69800	73080	Related to this one are pictures of cities and towns that are clearly still in use, but
73080	75720	from a weird angle or location or time of day.
75720	79600	In this case, people would normally be there here and now in the present day, but because
79600	83940	the picture is taken in the middle of a snowstorm or at 3am or something, no one's there.
83940	87500	What each of these different types of photo have in common is that they evoke liminal
87500	92660	feelings, the experience of being neither here nor there, of being in between places,
92660	95740	stuck out of time, falling through the cracks, that sort of thing.
95740	99360	Liminality began as an anthropological term, initially referring to the feeling of ambiguity
99360	103660	or disorientation that occurs in the middle stage of a rite of passage, where the rite's
103660	107720	participants no longer hold their pre-ritual status, but have not yet begun the transition
107720	109900	to the status they will hold when the rite is complete.
109900	113640	During a rite's liminal stage, participants stand at the threshold of the previous way
113640	118760	of structuring their identity, time, or community, and a new way which completing the rite establishes.
118760	120520	Or at least that's what the Wikipedia page says.
120520	121520	This makes a lot of sense to me.
121520	124800	Here's an experience that I had, and I think is relatively common, you can probably relate.
124800	126480	You had a part-time job in high school, right?
126480	129560	Maybe you could only work evenings and weekends because of school, that's pretty normal.
129560	132520	But then when summer break started, suddenly you were able to work different hours during
132520	133720	the weekday if you wanted.
133720	136860	You still held the identity of high school student, but you were working more like an
136860	138720	adult would in that same position.
138720	141820	And then when fall rolled around, you were back to that student's schedule.
141820	144020	This absolutely describes my part-time experience growing up.
144020	147180	Now think to that final summer before you went off to university.
147180	149720	You graduate high school, you're no longer a high school student.
149720	154540	The school building itself, its staff, its routines, and rituals are now cut off to you.
154540	156680	But you're still working that same high school job.
156680	158940	It's no longer a summer break in the same sense.
158940	161260	Maybe you're quitting the job at the end of the summer to move to another city to go
161260	162260	to school.
162260	165100	Maybe you're staying there and just transitioning to working as a normal adult.
165100	168500	Maybe you're going to university in the same city, and you can hold onto your job
168500	170500	for a few more years with a modified schedule.
170500	172760	But that final summer feels unique.
172760	176860	It feels like you're in between the identities of high school student and university student.
176860	178660	And I certainly felt that way looking back.
178660	181140	I didn't quite know what life held in store for me next.
181140	185500	I was in the process of shedding my high school life, but that job was one part of that life
185500	187180	that didn't go at graduation.
187180	189680	So in a way, I felt in limbo for that summer.
189680	194900	Arnold van Genep in his 1909 work, Rites of Passage, examined the various rites of passage
194900	196940	found within small-scale societies.
196940	201780	And this is where he first coined the term liminality to refer to that in-between period.
201780	205420	Previous practices and routines must be broken with a metaphorical death.
205420	209860	The rite must be a strict set of actions guided by a master of ceremonies.
209860	215220	The rite being simultaneously rigid and destructive is what allows for significant changes of
215220	216720	the initiate's identity.
216720	220360	After crossing the liminal threshold, the initiate reintegrates into society with a
220360	222340	new identity as a new person.
222340	224580	It's not hard to see these steps represented.
224580	228500	Not only in various primitive or prehistoric rites of passage, but also in their modern
228500	229500	equivalents.
229500	232540	Marriage, the process by which an outsider is brought into the family.
232540	235700	Graduation, the process by which you move from student to alumni.
235700	239860	Birthdays, New Year celebrations, promotions at work, leaving a workplace, moving out of
239860	240860	an apartment.
240860	243260	They all work roughly like this, more or less.
243260	246900	Even in the least serious events, like when you're watching the clock tick down to midnight
246900	251440	for New Year's, there's that single second of apprehension, of realization when the threshold
251440	252440	is crossed.
252440	253980	That feeling is liminality.
253980	255980	And these pictures seem to capture that feeling.
255980	257580	You can feel it when you look at them.
257580	259580	This is a space that's kind of off the map.
259580	260780	It's an in-between.
260780	264300	It's not explicitly spooky, like you shouldn't be here, that you're not welcome.
264300	267860	It's more like nobody's been here for a very long time.
267860	269940	And isn't that exact what the past is?
269940	272020	Somewhere where no one's been for a very long time?
272020	275420	You can get some of these same feelings if you check out screenshots of old video games
275420	276420	too.
276420	278900	Especially if they're games that you loved to death when you were growing up.
278900	281940	Games that you had totally gone beyond just beating, but you mastered them.
281940	283020	100% of them.
283060	285060	Some participated in online fandoms about them.
285060	288100	But even then, how long has it been since you actually played them?
288100	289940	Metroid Prime is one of my favorite games.
289940	294380	I regularly identify it as being on the list of favorite games, and yet, I haven't picked
294380	295380	up in over 10 years.
295380	300340	How long has it been since you played Half-Life, or System Shock, or Morrowind, or Mario 64?
300340	304660	Even as you stopped engaging with the thing, the feelings remained, and you didn't even
304660	307480	notice as the past began to recede.
307480	311020	Liminality is part of the reason why so many things right now are nostalgia bait.
311020	313820	How many old franchises have we seen that have been revived?
313820	315020	Butchered, yes.
315020	318580	But even the rare moment that they're done well, they still evoke this feeling.
318580	321580	How many indie games are coming out that try to look like Super Nintendo games?
321580	325260	Only not really, but how your child's eye remembers the SNES looking.
325260	327260	Or PlayStation 1 games now too.
327260	331180	Nostalgia can be fun, but I think the amount that we indulge in it can be unhealthy.
331180	334760	Even if all the legitimately new stuff people are making right now sucks.
334760	338400	Nostalgia is often used as a tool by people who want to elevate the good old days into
338400	339940	a product that they can sell you.
339940	343060	You can't buy back your childhood, no matter how hard you try.
343060	346700	And yet, nostalgia and liminality are related, but not the same.
346700	350580	To use liminality's terminology, nostalgia is the feeling after you've gone through
350580	354460	the rite of passage, while thinking back fondly about the old you from before.
354460	356060	That's not quite liminality.
356060	359700	It's normal to think back on a previous era of your life and say, yeah, we got up
359700	360700	to some shit, didn't we?
360700	361780	That was a good time.
361780	365680	But it's not normal to obsess over it, to want to desperately go back.
365680	369580	In fact, it's this tendency that I've seen leftoids online say that it's a major
369580	374200	driver for millennials today to become fascists because nostalgia is a gateway to reactionary
374200	375200	thinking.
375200	376200	But this isn't that kind of video.
376200	378000	Also, that's a retarded idea.
378000	381400	Within the past month or so, I had to return to my hometown to visit my parents.
381400	384000	My dad and I worked on the car that Naomi and I had just bought.
384000	386960	I can't do that kind of work here, but my parents' place is more equipped for it.
386960	390360	My parents also needed some help with moving some furniture and a few other jobs that it's
390360	392100	nice to have a young person around for.
392100	395300	My parents are certainly getting older, and every time I see them, they look more and
395300	398260	more dissimilar from what they look like in my head, which is still an image of them
398260	400340	from what I think are my teenage years.
400340	404160	It sounds strange to say, but sometimes you forget that time isn't only marching on
404160	406120	in places that you pay attention to.
406120	408300	A lot of the businesses in my hometown have closed down.
408300	410060	The buildings are boarded up and abandoned.
410060	412060	About one third of my school year never left town.
412060	413660	Another third left and came back.
413660	415020	Some have started families.
415020	416020	Some have become drug addicts.
416020	418460	There's a lot more heroin in the town than there used to be.
418460	422500	There's no local economy or opportunity in these small towns anymore, and it's not
422500	424060	all just COVID-related either.
424060	427860	I went for a walk through the forest that my friends and I used to hang out in as kids.
427860	431980	A bridge across a creek that a friend of a friend's family built was still there, but
431980	434180	it was beginning to rust and hadn't been kept up.
434180	438700	The old trails were still roughly in the same place, but the amount of overgrowth had drastically
438700	439700	changed.
439700	440700	Not surprising.
440700	441900	It had been 20 years since I went back there.
441900	446220	I wanted to show Naomi an abandoned house in the woods that Dave and I and other kids
446220	450900	would hang out in, but we hiked back far enough to discover that all the land had been cleared
450900	451900	out.
451900	454780	I planned to develop it eventually, but the building was gone, and the only thing left
454780	457180	of the trees were just large stacks of logs.
457180	459860	The town feels a lot emptier than it used to, and I don't just mean because of the
