start	end	text
0	3200	Michael Bloomberg gave us all a wild ride, didn't he?
3200	5120	I mean, he shows up out of nowhere.
5120	7360	He's not even on the ballots of the first few states,
7360	9200	or part of the first Democratic debates,
9200	13040	and yet for a short while there it was Bloomberg, Bloomberg, Bloomberg everywhere.
13040	17360	I guess he was banking on the fact that he and Trump are once at least somewhat close.
17360	20800	Though to be fair, back in the 90s and 2000s Trump had connections everywhere
20800	21920	because he wasn't a politician.
21920	25200	Those connections basically fell apart when he won 2016.
25200	28480	But Bloomberg is ultimately cut from the same cloth as Trump.
28480	31600	He's not nearly as charismatic, his debate performance proved that,
31600	35120	but he's a rich New York oligarch that wanted to get into politics.
35120	36640	It's pretty much the same story.
36640	38960	And I bet Bloomberg's thought process was,
38960	42560	well, if Trump did it with the Republicans, surely I can do it with the Democrats, right?
42560	43680	I mean, I've got more money.
44400	46640	Like, way more money.
46640	48720	Ridiculously more money, in fact.
48720	52960	I gotta say, it's very strange for the Democratic party to have even allowed this to happen at all.
52960	56720	I mean, their base right now, their rhetoric is anti-billionaire,
56720	59200	and yet here's somebody who's far richer than Trump.
59200	61520	And in fact, his supporters kept repeating that,
61520	63360	that Bloomberg was richer than Trump.
63360	65600	As if this was some kind of own.
65600	66240	I don't get it.
66240	70480	I thought you guys were against wealth inequality, not neener, neener, I'm richer than you.
70480	74320	Though at the same time, considering that socialists often believe that
74320	76640	the rich is just somebody richer than them,
76640	79920	well, if you keep shifting those goalposts to their logical conclusion,
79920	81760	I guess Bloomberg can be a leftist.
81760	85520	So Bloomberg burned through a whole ton of money to try to get himself elected.
85520	88160	Nearly $500 million, I think, by the end.
88160	89520	That's a lot of money.
89520	90480	But not for him.
90480	93360	That's less than 1% of what Bloomberg's currently worth.
93360	95840	And oh boy, were there ads for him everywhere.
95840	98320	TV ads, radio ads, internet ads.
98320	99760	If you were in a Super Tuesday state,
99760	102800	you couldn't walk outside without tripping over Bloomberg's head somewhere.
