start	end	text
0	4640	This video is not meant to be a statement of absolute fact, nor does it exist to directly
4640	6120	accuse anybody of anything.
6120	9600	Rather, it's a presentation of the evidence that we've discovered and an open call for
9600	13840	others on both the inside and out to discuss the issues explored therein.
13840	18760	Furthermore, any audio accompanied by the Devon no-talent gaming artwork can be considered
18760	21760	to be entirely our own opinion or conjecture on a topic.
21760	22600	Thank you and enjoy!
30000	38320	Hey guys, Dev here.
38320	42540	I hope you all enjoyed the April Fools video, I'm sorry this one's a bit later than usual,
42540	46280	we actually had it finished by Saturday, but camera lady's computer shit out on her for
46280	47280	a few days.
47280	51680	I hope you've all seen our video on the IGDA, because this serves as an unofficial sequel
51680	52680	to it.
52680	55580	After our video dropped, we received the usual backlash.
55580	59880	People inside who are clearly anti-Gamergate, simply calling us misogynists and whatever
59880	62320	for daring to question the current power structure.
62320	66880	But camera lady got to talking with one notable individual on the inside who wasn't actually
66880	70600	interested in baselessly slinging mud, and his name was Derek Smart.
70600	72720	Now Derek's no stranger to gamergate.
72720	77040	Earlier this month some info surfaced regarding the IGDA's head, Kate Edwards.
77040	80780	She's trans, and was known as Tom Edwards before her transition.
80780	85840	I want to make this absolutely clear, this is not about Kate being trans.
85840	90920	I bring this up solely to show that she performed actions when she was known as Tom, that have
90920	93260	bearings on her current business as Kate.
93260	97660	Any comment or criticism directed towards Kate has nothing to do with her status as
97660	98740	a trans woman.
98740	103740	As Tom Edwards, she founded her own consulting firm, Englobe, which later had its name changed
103740	104860	to Geografie.
104860	108700	As Kate Edwards, she became the executive director of the IGDA.
108700	114580	Geografie, the consulting firm Kate Edwards owns, is contracted to do consulting for the
114580	117980	IGDA, the organization Kate Edwards currently heads up.
117980	122260	This seems like a very obvious conflict of interest, with the well-known gamergate lawyer
122260	124820	Mike Cernovich saying it sounds illegal.
124820	125940	And here's where Derek Smart comes in.
125940	130300	Derek wrote a reply to both our video and this new information regarding Kate Edwards
130300	131300	owning Geografie.
131300	133340	Let me go over a few important bits.
133340	137820	Derek says he listens to both sides of gamergate and tries to have reasonable discourse.
137820	140940	Based on his conversation with Camera Lady, I'd say that's the truth.
140940	146260	He's equally welcoming and critical to both gamergate supporters and anti-GGers and seems
146260	148180	to be willing to talk to just about anybody.
148180	153620	Derek says, in more words, that his experiences with the IGDA have shown him that they're
153620	154620	on the level.
154620	159300	Derek discusses the Geografie claims, stating that given the seriousness and nature of the
159300	163780	allegations and knowing that nobody was going to respond, I took it upon myself to get to
163780	164820	the bottom of it.
164820	169900	If Kate Edwards was one woman holding two positions, who got hired to those two positions
169900	174900	independently of her involvement in the other, and then afterwards suddenly the IGDA is doing
174900	178740	business with Geografie, that would be illegal.
178740	184820	But Derek says that Kate is not actually employed by the IGDA, but rather she is employed by
184820	189260	Geografie and is contracted out to the IGDA as its chairman.
189260	193300	I've personally seen this happen a lot in multiple industries, where a worker will be
193300	198300	employed by a firm that exists specifically to rent workers out to other companies.
198300	202820	A simple way to describe this is like so, Kate doesn't hold positions of power in
202820	207980	both Geografie and the IGDA, and she doesn't use that to funnel money from one to the other.
207980	212920	Kate holds a position of power in Geografie, and the IGDA pays Geografie for Kate to also
212920	216100	hold a position of power and manage the IGDA.
216100	220220	Her management is literally what the IGDA is paying Geografie for.
220380	223740	Now Derek doesn't offer any proof of his claims, but I honestly don't think he's
223740	224740	able to.
224740	228580	He's not going to have access to Kate Edwards contract, and even if he did I doubt he'd
228580	229940	legally be able to publish it.
229940	233620	Is it possible that Derek's lying, or was misinformed by the people he spoke to to get
233620	234620	his information?
234620	235620	Sure.
235620	239100	But the fact that he is one of the only people with any connections that has been consistently
239100	243780	open minded and reasonable makes me want to trust him, and I'm also not willing to completely
243780	248340	backstab and alienate a guy because I have a predetermined outcome regarding the IGDA
248340	249620	and his reply doesn't fit it.
249620	253580	We can't ask for insiders to come forward and then accuse them of lying or covering
253580	256880	things up when they give us answers we don't want to hear.
256880	258060	Not without proof.
258060	262340	If Derek's either lying or misinformed, then Kate Edwards is actually doing some pretty
262340	263340	corrupt shit.
263340	267780	Kate would be in a position to move money from the non-profit IGDA to her own personal
267780	268780	company.
268780	272180	And even if Kate's entirely on the level, the fact that her company was given the contract
272180	276020	over others that may be just as capable is corruption in itself.
276020	280540	However, if Derek's correct, and I think he is, then what he has to say lines up with
280540	286060	the anonymous indie dev from the last video that claimed Kate and the IGDA isn't corrupt,
286060	287060	but just a bit flip-floppy.
287060	291380	However, even with Derek telling the truth, I do think there's a bit of a problem with
291380	293140	Geogrify, even if it's only a minor one.
293140	297700	Geogrify does consulting for not only the IGDA, but also several games studios.
297700	301220	I'm not sure if it's appropriate for the same company to have its hands in the management
301220	305420	of both the studios and the organization that exists to stand up for the rights of those
305420	309560	studios' employees, but this seems to be minor and is nothing like any sort of money
309560	311600	funneling that we all initially thought.
311600	316740	As for the IGDA's connection to UBM's other properties like the IGF and GDC, Derek and
316740	320620	Camera actually agree that the connections looked bad, but having the potential for something
320620	324960	to go wrong is not the same as something actually going wrong, and Derek wants to default to
324960	328260	trust the people running things until they prove they can't be trusted.
328260	332920	At the same time, Derek admitted to knowing nothing about the IGF side of the equation,
332920	334220	as he doesn't deal with them.
334220	339420	Even if the IGDA is completely innocent, IGF has more than enough corrupt bullshit happening
339420	342580	inside to cover the entire UBM family anyway.
342580	345980	A little while back, Alistair Pinsauf gave an interview on TechRaptor regarding what
345980	347560	he knows about the IGF.
347560	351540	He says that a lot of what we had initially dug up was somewhat inaccurate, but there
351540	355500	was enough truth there that he had to take a hard look back at his own experiences and
355500	358540	felt a moral imperative to come forward and share what he had witnessed.
358540	361740	I think his assessment of our video is fair.
361740	363260	We're not industry insiders.
363260	367420	Our lady is just a near-mute autist who is good at digging up info, and I can only read
367420	368420	what she gives me.
368420	372060	We can only go off of what we managed to sleuth up from the underbelly of the internet.
372060	374300	However, the video achieved its goal.
374300	378180	It got the gears turning inside the brains of many people inside the industry.
378180	383660	Indies, journalists, and judges have all come out both publicly and privately to say, something
