start	end	text
0	11440	So, during my absence, Amazon workers in Bessemer, Alabama voted against forming the company's
11440	14840	first union, and progressives aren't too happy about it really.
14840	19600	And fair enough, Amazon's got a pretty well-established history of treating its workers poorly, from
19600	25740	shockingly high number of on-the-job injuries, to a patent for a cage worker pod that started
25740	31100	the Wage Cage meme, to employees dying on the job and nobody noticing for 20 minutes,
31100	35900	to an Amazon hiring AI having to be shut down because it was discriminating against women,
35900	40860	to an Amazon firing AI tracking warehouse workers and letting people go without a human
40860	45660	supervisor's involvement, to Amazon delivery men pissing in bottles in order to meet drop-off
45660	46660	quotas.
46660	49220	In case you think I'm here to be an Amazon simp, I'm not.
49220	53380	That being said, Amazon's certainly done some good things too, like implement a $15
53380	58380	minimum wage, provide medical, dental, and vision plans, a 401k, and stock options.
58380	62340	This is stuff that unions are often fighting for, and yet here they are without a union.
62340	66140	But in terms of the union vote itself, the way that the socialists reacted to the union's
66140	72060	loss was very similar to the way that progressives react when minorities don't vote left in
72060	73060	elections.
73060	76860	Yeah, this entire thread has a dem-blacks-don't-know-how-to-vote-right feel, doesn't it?
76860	80260	The actual truth is, though, most people are smart enough to know that unions aren't
80260	81260	a silver bullet.
81260	84620	I did a dumping with Scrump on that very topic, if you want to check it out.
84620	89740	But as an overview, unions provide both real benefits and real drawbacks, and these considerations
89740	92500	hold different weights depending on the industry we're talking about.
92500	94960	The positives for workers are pretty straightforward.
94960	96460	Unions protect workers' right to work.
96460	100620	In locations where you have at-will employment, meaning the employer can fire you for any
100620	104480	reason they want, even if you've done nothing wrong, unions can guard against undeserved
104480	105660	firings.
105660	108020	Unions increase workers' negotiation power.
108020	112220	When workers negotiate with the employer as a block, rather than individuals, there's
112220	113500	more weight behind it.
113500	117540	Having one employee walk off the job is not as damaging as having them all go.
117540	118940	Unions fight for benefits.
118940	123380	Even though Amazon provides a lot of benefits, many workplaces don't, and oftentimes benefits
123380	127220	have been pre-secured in a union workplace before you even take the job there.
127220	128700	Union workers may be paid better.
128700	133140	There is some evidence that unionized jobs pay better than their non-unionized counterparts,
133140	134340	all other things considered.
134340	138220	But there's also some evidence that the inverse is true too, so maybe this point's
138220	139220	undecided.
139220	141500	And that leads in very well to the negatives for workers.
141500	142500	Unions aren't free.
142500	145900	Union dues can eat up a significant chunk of change, and this is ultimately wasted money
145900	149460	if you never actually use any of your union benefits while you're at the job.
149460	153140	Additionally, unions, like any other bureaucracy, swell and become inefficient.
153140	157660	And you can expect these fees to rise in a disproportionate manner to their benefits.
157660	160700	Unions reinforce an adversarial relationship with management.
160700	163660	In workplaces where management is already adversarial with the workforce, this isn't
163660	164780	a big deal.
164780	168820	But, and I know socialists refuse to believe this, but it's true, I've experienced it,
168820	173580	there do exist positive workplaces where management cares about the quality of life of the workers,
173580	176920	and unions are a great way to destroy a positive workplace atmosphere.
176920	181040	In a functioning, healthy workplace, labour and management are on the same team, and unions
181040	183100	ensure this will never be the case.
183100	187660	It's settling for mediocre when the possibility is greatness out of fear of disaster.
187660	189180	Unions are anti-individualist.
189180	191940	This is a larger point I'll come back to a little bit later in the video.
191940	195780	Unions can cause increased prices, or decreased quality of product.
195780	199420	All of the extra things unions can win for workers still cost the business money, and
199420	203220	this cost is almost always carried on to the consumer, in much the same way that minimum
203220	204520	wage increases are.
204520	208820	And if the business is already failing, attempts to unionize are often toothless, as we've
208820	210960	seen with Gawker and Buzzfeed.
210960	214500	Unionization has never saved jobs in a failing business or a shrinking market.
214500	217060	Unions can be uniquely, incredibly corrupt.
217060	220700	Unions are hierarchies of individuals, and like every area of interpersonal activity,
220700	222120	there is the opportunity for corruption.
222120	223980	But unions are in a unique place legally.
223980	226300	They aren't the business, but they also aren't labour itself.
226300	228780	They're the apparatus that speaks for labour's interest.
228780	233080	They're often immune to antitrust laws for this reason, despite operating a labour monopoly
233080	234700	in the sub-markets they exist in.
234700	237200	This allows for quite a few opportunities for corruption.
237200	241140	For example, more than a dozen union officials, including two presidents, have been convicted
241140	243580	of embezzling funds from the United Auto Workers Union.
243580	248060	A president of the Communication Workers of America was caught stealing $600,000 in union
248060	249060	funds.
249060	252020	A president of the United Industrial Service Workers of America was sentenced for stealing
252020	254380	$800,000 from a union healthcare plan.
254380	258500	The Service Employees International Union has faced multiple lawsuits alleging sexual
258500	259500	harassment.
259500	263420	Unions have a long history making backroom deals with both organized crime and foreign
263420	264460	spy networks.
264460	268300	Of course, this doesn't mean that every single union is full of rapists or fedora-wearing
268300	270500	mobsters or KGB agents.
270500	274340	Unions can often provide protection for low-skilled workers and low-paying jobs.
274340	276980	And those people are often the ones who need the most protection.
276980	280140	Unions raise the floor, but they also lower the ceiling, too.
280140	281140	Consider this.
281140	285500	Most union contracts in low-skilled workplaces have things like raises or promotions on a
285500	286500	set calendar.
286500	289420	For example, if you're going to get a raise, you'll get it once you reach a milestone
289420	291580	of however many months or years served.
291580	295840	This generally, but not always, closes the door to the possibility of raises based on
295840	298020	merit or independent negotiation.
298020	299700	The same thing happens with promotions.
299700	303180	When an opportunity appears to move up the food chain, it'll be handed out based on
303180	304820	seniority, not merit.
304820	308540	And unlike with raises where there's sometimes a bit of wiggle room, most union contracts
308540	310300	on promotions are ironclad.
