start	end	text
0	9080	This is a topic I've spoken about before on this channel, and other channels, with
9080	10560	Sargon with Adam and Sitch.
10560	14280	But the idea is kicking off again on social media, and I think I'm now a bit more equipped
14280	16120	to do it justice, so let's give it a go.
16120	20480	This all started with the recent glut of articles proclaiming the end of the all-male, all-white
20480	21720	cockpit.
21720	25880	Some airplane crews are now all-women, or all-black, or all-black women.
25880	27880	And this is cause for celebration.
27880	31960	Where non-white, non-males are being included in the airline industry.
31960	35840	Right now, trolls are reposting these triumphant articles, alongside the couple of stories
35840	39020	coming out recently, where planes are malfunctioning mid-flight.
39020	40760	Which is a pretty good joke, I gotta admit.
40760	45320	But the general normie reply to the celebration of the end of the all-white, all-male cockpit
45320	50360	is best exemplified by Andrew Wilko's simple take, can't we just hire the best person
50360	51360	for the job?
51360	55740	And I personally agree, that was the point of the whole content of their character and
55740	57660	not the color of their skin thing.
57660	62140	But today's racial activists have largely forgotten that liberalism means color blindness,
62140	63360	not racial privilege.
63360	68180	Aaron McIntyre replied with, no, civil rights law has made that illegal.
68180	72820	Diversity, equity, inclusion isn't some crazy form of communism, though its proponents
72820	73820	are often neo-Marxists.
73820	78680	DEI is the natural evolution of civil rights law, that is why it was able to take hold
78680	79680	so easily.
79680	83860	And until you are willing to unwind that leviathan, this is the world you'll live in.
84020	88280	Tim Poole chimed in with a simple, yep, and James Lindsay replied with a simple, nope,
88280	95280	agreeing with a commenter that Tim Poole is big wrong and DEI is 100% communism, not liberalism.
95280	99120	Sargon then jumped in, saying communism isn't separate from liberalism.
99120	102260	James Lindsay replied with, your opinion sucks lol.
102260	104840	Sargon simply said, it seems to be correct, though.
104840	107120	Lindsay remarked, to who, simpletons?
107120	111600	Sargon said, to the people who understand the genealogy and purpose of these philosophies.
111600	116200	Lindsay simply said, lol ok, with Sargon agreeing it's a hard pill to swallow.
116200	120360	Lindsay then retorted with, it's just wrong, rejecting the offer to talk to Sargon about
120360	123480	the topic, or any other topic, saying he doesn't respect him.
123480	127920	Sargon's final reply before James Lindsay blocked him was, that's a shame, James,
127920	131840	because between us I'm the one who actually understands liberalism and why it's brought
131840	133200	us to the position that we're in.
133200	137680	You are far too emotionally committed to see the woods for the trees, and are being incredibly
137680	139640	rude to defend your lack of knowledge.
139680	142640	Yeah, James was kinda rude in this exchange, not gonna lie.
142640	144880	He is pretty knowledgeable on some things, though.
144880	148640	I know he has no idea who I am, but I bet if he watched my video on Antonio Gramsci,
148640	150140	he would probably agree with it.
150140	154320	He said similar things in the topic himself, tracing the genealogy of modern-day diversity
154320	158240	movements back through the civil rights movement, which was mentored in critical theory by the
158240	162060	Frankfurt School, who brought the philosophy to America from the leftist intellectual scene
162060	166220	in Europe, where it was first conceptualized as Western Marxism in order to distinguish
166220	170820	it from Eastern Soviet Marxism, all stemming from the Italian socialist Antonio Gramsci,
170820	174900	who was active in the socialist movement from the 1910s until he was imprisoned by Mussolini.
174900	178820	I go into detail on all of these events in my Gramsci video, and it's also stuff that
178820	180920	Lindsay's spoken about publicly as well.
180920	185060	He knows that there's a traceable lineage from Gramsci's ideas to modern-day racial
185060	189420	activism, and therefore liberalism, being a different philosophy than socialism and
189420	194780	quite opposed to it, should also reject modern-day racial activism for being anti-liberal and
194780	196460	socialist in disguise.
196460	201120	However, Sargon is making the claim that there is a similar traceable lineage from liberalism
201120	205540	to socialism, and that despite the liberal world's great successes, the philosophy
205540	209580	of liberalism contains within it key flaws that have been carried forward through that
209580	213860	lineage into socialism, where they are now causing problems for us today.
213860	217540	And although James Lindsay never properly engages with the idea in the tweet thread,
217540	221500	simply brushing Sargon off instead, if you examined the writings of liberals, just as
221500	224860	you'd examined the writings of Antonio Gramsci or the Frankfurt School or the civil
224860	228180	rights activists, you'd realize that Sargon's actually got a point.
228180	231340	And no, it's not because he's my friend, let me explain how.
231340	236340	Helen Pluckrose, the co-author of James Lindsay's book, Cynical Theories, which is about postmodernism
236340	240180	and ideological bias in academia, also jumped into the conversation.
240180	243460	James Lindsay and I disagree on many things, but Carl's thoughts on liberalism being
243460	246620	uninformed and not worth respecting are not among them.
246620	250520	I can't do anything with liberalism is communism, just like I can't do anything with fish
250540	251540	or birds.
251540	254040	A definitional error is the only explanation.
254040	257960	She later expanded, if Sargon means that both liberalism and communism are the products
257960	261800	of humans, and this is just trivially true, I must assume it means more.
261800	263380	I'm going on what it says here.
263380	266840	And then she links Sargon's article, The Five False Assumptions of Liberalism.
266840	268720	There's no error here on Sargon's part, though.
268720	272240	It's an understanding of liberal philosophy and its shortcomings, hence the title of the
272240	273240	article.
273240	276920	When people say liberal today, if they're not Americans who just mean the left, they're
276920	280120	referring to the philosophy of liberalism and the political institutions that have been
280120	283760	based on it, which I would say is pretty accurately defined in Wikipedia.
283760	288080	Liberalism is a political and moral philosophy based on the rights of the individual, liberty,
288080	291360	consent of the governed, political equality, right to private property, and equality before
291360	292440	the law.
292440	295840	Liberals expose various views depending on their understanding of these principles, but
295840	300040	generally support private property, market economies, individual rights, including civil
300040	304280	rights and human rights, liberal democracy, secularism, rule of law, economic and political
304280	308200	freedom, freedom of speech, freedom of the press, freedom of assembly, freedom of religion,
308200	310240	constitutional government, and privacy rights.
310240	313240	As a liberal myself, that sounds pretty accurate to what I believe.
313240	317320	But most liberals in the modern day don't ask themselves why they believe it.
317320	320960	The answer is because they were raised in it, and liberalism is so successful that it's
320960	321960	simply become the norm.
321960	325320	It's the dominant ideology of the modern era, and as such, it doesn't really need
325320	327040	to justify its existence anymore.
327040	328480	It simply is.
