start	end	text
0	5820	10.
5820	10120	This might come as a surprise to you, but BreadTube doesn't understand economics.
10120	13480	More specifically, for our purposes today, they don't understand the housing crisis.
13480	16440	If you've been paying attention to the housing market right now, prices of homes everywhere
16440	19760	are skyrocketing, rents are up, and poor people are feeling the pinch.
19760	23440	Your favorite BreadTubers and online lefty commentators will tell you that capitalism
23440	27380	is to blame due to its inherently predatory nature, that landlords are parasitic entities
27380	30380	of evil that need to be guillotined, and that the housing market must be abolished
30380	31900	for the good of the working class.
31900	35540	To those of us who actually live in reality, there's certainly a housing bubble that's
35540	36540	inflating right now.
36540	40580	But maybe you and I can talk about it a bit more seriously than the champagne socialists do.
40580	45460	Let's start with PhilosophyTube, who has made some absolutely stupid housing takes before.
45460	48340	Yeah, this clip is gonna be starting off strong, but why not?
48340	53700	Thatcher's criterion for responsibility was owning property, and the problem there is
53700	58260	That is a thing that is mathematically impossible for everyone to do at the same time.
58260	63620	You cannot have a housing market and no homeless people.
63620	67780	Because if everybody has secure housing, you cannot sell them housing.
67780	73860	It is quite stunning how somebody can be this monumentally wrong and be this confident about it.
73860	76660	Demand for housing is not constant over a person's life.
76660	79860	The 18 year old looking for a dorm room, the 20 year old looking for their first apartment
79860	83620	off campus, the transient worker only in the city for a six month contract, the family
83620	87220	man with three kids who needs a yard and some space, and the retiree whose kids have
87220	89540	moved away all have different housing needs.
89540	93700	Moreover, the existence of the market mechanism to determine the value of housing isn't what
93700	95140	causes homelessness.
95140	97280	That is an incredibly one dimensional take.
97280	101100	If you just gave everybody housing through a state program, and then used state force
101100	105300	to ensure that housing couldn't be traded, what you're doing is simply assigning people
105300	108980	hovels at gunpoint, and nobody's going to have the option of living anywhere more in
108980	112540	line with their desires because they still cost labour and materials to make.
112540	115820	Only housing a right does not automatically generate infinite houses.
142540	157620	Let's apply Philosophy Tube's reasoning to other markets.
157620	160900	A capitalist market distributes things to people who can afford to buy them, but this
160900	164100	fact doesn't necessarily mean that some people will be excluded from that market.
164100	166940	If there's enough supply, and everyone can afford the item, then there's no exclusion
166940	167940	at all.
167940	170980	Philosophy Tube is acting like the market mechanism itself is the problem, and it's
170980	171980	not.
171980	174940	There's a market where everybody can afford the product, like say the cracker market.
174940	176780	Let's say you want to buy a box of crackers.
176780	179980	Cracker companies still make profits even though everybody can afford a box of crackers.
179980	184100	Even a homeless man who panhandles and only has a few bucks can buy a box of crackers.
184100	187360	Therefore exclusion from the market is not necessary to generate profits.
187360	191280	That being said, there are some pretty serious differences between crackers and housing,
191280	194980	and I think actually discussing the topic and not just grandstanding like Philosophy
194980	198340	Tube does might allow us to understand something about the housing crisis.
198340	202860	The first difference is that people don't buy crackers to store them away as an investment.
202860	206380	Crackers are a pretty poor unit of exchange, as they decay relatively quick.
206380	210420	There are some foodstuffs that have seen their value increase due to rarity and novelty,
210420	214140	like old crystal Pepsi or MREs or something, but those are exceptions to the rule.
214140	217980	To contrast, housing is often purchased as an investment, with the expectation the owner
217980	221980	will one day get money back, sometimes more, sometimes less, based on the market.
221980	225700	Housing is not a thing that is purchased to be wholly consumed and then taken off the
225700	228980	market as its consumption literally turns it into shit, like crackers.
228980	232740	It's meant to retain at least some value after you're done using it.
232740	236900	While crackers only have value in their use, housing has value as an asset.
236900	240300	The second difference is that crackers are a product of labor and materials, while houses
240300	242460	have another component, land.
242460	246220	Land is always going to be some form of natural monopoly, there's only so much land in any
246220	247220	given area.
247220	250660	When a location is popular to live in, like say a city, there is a fixed amount of land
250660	251660	there.
251660	255300	And unlike other types of property, labor cannot create more supply of land.
255300	259140	Labor can allow a single unit of land to be used by more people simultaneously, like
259140	262640	you build smaller houses or you construct an apartment building or whatever, but labor
262640	264940	cannot create more units of land.
264940	269380	Additionally, land is permanent, sinking coastal properties or expensive reclamation projects
269380	270380	notwithstanding.
270380	273840	This is why you can have two purely identical houses in all respects, where one is valued
273840	277780	significantly more in downtown LA and the other significantly less valued in the middle
277780	278780	of Tennessee.
278780	280380	Compare this with crackers.
280380	283080	Crackers can be continually produced with more labor and materials.
283080	286720	If for some reason, crackers suddenly became really trendy among rich people, companies
286720	290020	would create premium luxury crackers with fancy gold labels that make them feel more
290020	291200	exclusive or whatever.
291200	295440	The cracker market can provide ever increasing quality and quantity of crackers to people
295440	296600	who can afford to pay more.
296600	298380	But you can't do this with land.
298380	302720	The housing crisis is therefore less of a production crisis and more of a land crisis.
302720	307360	The third and biggest difference, in my opinion, is that crackers have functioning market feedback
307360	308760	while houses don't.
308760	312380	Consider that an avid consumer of crackers can buy a box of crackers every day.
312380	315420	Consider that there are many alternatives to crackers available, different brands, different
315420	321200	types of crackers, alternative snack foods like chips or ice cream or fruit, I guess.
321200	324980	Consider that crackers can be created, transported and stored relatively easily.
324980	328260	And consider that it's not too hard to tell a good cracker from a bad cracker, whether
328260	332040	that refers to your own personal taste in the cracker type or if the product is damaged
332040	333580	or rotten or something like that.
333580	337800	In this situation, the market feedback mechanisms of capitalism function very well because consumers
337800	340900	have the opportunity to change where they buy crackers, which crackers they buy and
340900	341900	how much they buy.
342420	344780	And the producers of crackers can respond to the sales data they receive in order to
344780	346180	maximize their business.
346180	349100	This is something that a socialist planned economy can't actually do.
349100	351500	Frederick Hayek described this as the calculation problem.
351500	355140	In a capitalist system, the average consumer doesn't need to be well informed of the
355140	359300	intricacies of the creation and distribution of five competing types of crackers, even
359300	362840	if that information between the five different brands is highly specialized.
362840	366900	Because all of that information shakes out in the price of the crackers, or more specifically,
366900	369320	the price to enjoyment ratio for each consumer.
369480	372040	Maybe you just want the cheapest cracker and you don't care about quality.
372040	373680	Maybe you want the highest quality cracker.
373680	376400	In that case, it's a reasonable bet that the highest priced crackers are the highest
376400	377400	quality.
377400	380800	Or maybe you have some specific taste that leads you to buy a niche product and you actually
380800	382840	prefer it over the more higher priced stuff.
382840	383840	I mean, who knows?
383840	387920	The point is, the pricing of an item serves to tell you information about the items generalized
387920	392040	quality, while the sales numbers of that item serves to tell the manufacturers the wishes
392040	393040	of their customers.
393040	397560	A moneyless communist economy has no way to provide feedback to the manufacturers of goods
397760	400100	and will therefore always be highly inefficient.
400100	403980	Even a market socialist economy will not be able to stimulate genuine competition, as
403980	408300	individuals with local knowledge of local trading practices and markets have no incentive
408300	410320	to share that knowledge with the central planners.
410320	414240	However, even though Hayek's observation of the calculation problem is completely correct,
414240	417300	this doesn't mean that it's functional in every market, and the housing market is
417300	419240	one time where it doesn't work.
419240	420560	Houses are different from crackers.
420560	424140	You may buy a box of crackers a day and then the price to enjoyment ratio will shake out
424140	427900	on its own, but nobody's really buying a house a day unless you're hyper-rich or
427900	428900	something.
428900	429900	The housing market is far more limited.
429900	433940	You're only really comparing highly non-standard products in a specific area that you want
433940	437740	to live, and even then only with the other houses on the market at that time.
437740	441060	Buying a house is complicated, both legally and financially, and a layman will probably
441060	442420	have to employ an agent.
442420	445540	Even standardized housing layouts are going to differ from each other in terms of finishings,
445540	447760	or age, or quality, or location.
447760	451040	Problems with houses are sometimes not easy to discover at the time of purchase, but only
451040	452260	pop up years later.
452260	455300	You cannot know if the experience of living in the house that you're about to buy is
455300	458500	comparable to the experience of living in other houses that are available for sale at
458500	459500	the same time.
459500	463300	In this market it's much harder for an individual on their own to make a rational, informed
463300	467460	decision about their purchase, necessitating housing inspectors, housing insurance, trust
467460	470800	in real estate agents, and if all else fails, government regulation.
