start	end	text
0	10780	Today is the day where I do a fun little video about a tiny drop of internet nonsense, like
10780	16000	my previous video about how progressives pushed the super inclusive term Latinx to the point
16000	20400	of making the Latino community absolutely hate progressivism, or about how the easily
20400	24600	triggered tend to use the star symbol to censor words on Twitter.
24600	28840	Not just slurs or swears, and remember kids, you can say the word fuck online, but going
28840	33500	so far as to censor people's names so that their public statements are harder to be discovered
33500	34600	outside of their friend group.
34600	36840	Yep, this is a silly little video like that.
36840	37840	Why?
37840	42240	Well, the main reason is because I'm currently juggling like four scripts in various stages
42240	45800	of completion, each of which are at least an hour long and involve tons of editing,
45800	50360	and I still want to at least try and stay on my one video a day streak, so today is
50360	51360	just going to have to be a gimme.
51360	53000	It's okay though, we'll still have some fun.
53000	57400	Here's another bit of terminology that terminally online progressive Twitter culture warriors
57400	61200	tend to regularly deploy, the word normalize.
61200	65360	Whenever you see this shit in a tweet, you know you're reading some garbage dumb fuck
65360	66360	nonsense.
66360	67960	Normalize is a pretty simple word.
67960	71520	Even if I don't give you the official definition, you probably understand, but it means bring
71520	75480	or return to a normal or standard condition or state.
75480	80760	So as a quick example, the normal internal human body temperature is 37 degrees Celsius.
80760	82900	That's 98.6 in freedom units.
82900	85500	If you have a fever, you're likely to be several degrees higher.
85500	90360	When your fever breaks and you return to normal, that is your fever normalizing.
90360	94180	Normalization is the process of taking an abnormal value and returning it to baseline.
94180	96840	However, that's not how progressives use the word.
96840	101280	When a progressive says normalization, they're describing the process of taking an abnormal
101280	103880	value and making it the new baseline.
103880	110240	For example, being trans is pretty rare, ranging from 0.1% to 0.6% of the world population.
110240	113660	The normal value of gender identity is being cis.
113660	118580	If we were to use normalize per the dictionary definition, the phrase normalize transness
118580	122840	means literally to make trans people cis, which is not what progressives want.
122840	127260	When they're saying normalize transness, they mean to say that being trans should be
127260	128360	considered normal.
128360	132820	It should be the default, the baseline, and we should work to make that situation a reality.
132820	136960	In some ways, to normalize something literally means to make it the new normal.
