start	end	text
0	4140	Hey guys, Dev here. I'm finally doing that Update Vlog I've been talking about on the
4140	7660	stream so much recently. I'm actually doing this just before I work out. I seem to wear
7660	12220	the same workout clothes every time I do a Vlog because I'm always doing it before or
12220	16420	after a workout. There are four topics that I want to cover in this Update Vlog, and those
16420	22420	are the main SFO channel, that's this channel, the NTG channel, that's our No Talent Gaming
22420	28340	Let's Play stuff, our other projects, and our new social media accounts which we're
28340	32460	starting out. Regarding SFO, Sharp at Otaku, this channel, the one that you're currently
32460	36980	watching this Vlog on, I know that we initially started as an anime review channel, but it's
36980	42140	become very obvious to you and to us that everyone's here for politics stuff. A lot
42140	47260	of you guys found us during Gamergate, and a lot of you guys stick around for political
47260	54260	videos. The political videos that we put up get, you know, 1000 or 2000 or 4000 views
55100	59740	in the first, say, week, and the other stuff that we do doesn't get near that. So there's
59740	63780	about 5000 people subscribed to this channel right now, and it's pretty obvious to me at
63780	68380	least that about 4 fifths of you are here for that type of content. And now that I'm
68380	73500	doing political videos regularly again, I'm going to make this channel, the main SFO channel,
73500	78960	the home for that project. I'm going to aim for one new video of this type a week. I'm
78960	82980	not sure if I'll hit it because, you know, real life sometimes gets in the way, but that
82980	87460	is the goal. Next week, I'm hoping around Monday or Tuesday I'm going to put out a video
87460	93660	on pedophilia. Right now, everyone seems to be talking about pedophilia and politics.
93660	100660	I wrote a script about pedophilia about 6 months ago that I just didn't put out. I just
101420	105020	got lazy basically and the script is still just sitting on my hard drive. There's still
105020	108860	a lot of good research and work that went into that script, so I'm going to retool it
108860	113380	and update it and make that next week's video. After that, I'm considering doing a video
113380	119000	on Justin Trudeau because I'm a Canadian, I know a lot of the domestic policies that
119000	125620	he's implemented, and I know that he's kind of a joke among, you know, the, I guess you
125620	131740	can call it the skeptic circle on YouTube, like for some of his ridiculousness, but he's
131740	136280	done some stuff here at home in Canada that is equally ridiculous that has not really
136520	141560	made the rounds outside of Canada. So I'm going to do a video on Trudeau. I think that
141560	145740	will be the one after the pedo video. So obviously you're here watching this on this channel
145740	149720	so you probably know this, but just in case you don't for some reason, the channel that
149720	155560	this all happens on is youtube.com slash short fat otaku. And if you're interested in supporting
155560	161760	me in doing this, the Patreon for that channel is patreon.com slash short fat otaku. And
161760	166000	I also have some news about that Patreon as well. For a long time we've used the short
166720	170600	fat otaku Patreon as a way to fund all of our projects and come March 1st we're going
170600	177280	to be stopping that. On March 1st the SFO Patreon will be used only to fund the political
177280	182840	videos and to reflect that change, rather than it being a monthly Patreon, it's going
182840	188080	to become a per article Patreon. And the rules that I'm setting for that will be that every
188080	193420	time a political video comes out on this channel that is at least 20 minutes in length, it's
193420	197940	going to cycle a payment on Patreon. So if you like the political videos that come out
197940	202660	around here and you feel like financially supporting the channel patreon.com slash short
202660	207740	fat otaku would be the place to go. Another thing that I'm going to do on March 1st is
207740	212940	remove the backlog of our let's play series No Talent Gaming that is currently on the
212940	217620	short fat otaku channel. For a long time we used the SFO channel as a place to upload
217620	221100	our let's plays and there's like a thousand let's play videos on there. And what I've
