start	end	text
0	3840	Hello my friends, this is another one of those thinking videos where
3840	8080	I just kind of mull over an idea with minimal sources because this is mostly
8080	11360	my own thoughts in the subject, my own musings
11360	14640	and what we're talking about. And today we're talking about the birth control
14640	17040	pill and my theory that birth control probably
17040	20960	caused third wave feminism and social justice and all of the
20960	24240	modern radical left BS we seem to be seeing today.
24240	28240	Now this is an idea that I might have spoken about on one of Sargon's streams
28240	31600	like a year ago and as soon as I brought it up he
31600	34240	laughed and thought it was kind of a funny idea but then he asked me to
34240	37920	unpack it to explain myself so I just didn't sound like some kind of
37920	42240	some kind of lunatic and I did and I think I did an okay job of doing it.
42240	44480	I don't remember the stream it's probably going to be hard to find
44480	47680	honestly at this point but I have been thinking about the theory on and off and
47680	52240	I think I have it a bit more refined. We figured out that from a biological
52240	54720	perspective the type of man that a woman finds
54720	58880	attractive does change somewhat depending on her fertility cycle.
58880	62960	So when a woman is more fertile she finds more masculine men attractive and
62960	66400	when a woman is less fertile she finds less masculine men
66400	68640	attractive. There was even a study done I hope I can
68640	72160	find it and splice it into the video where women judged their attractiveness
72160	75520	to various men based only on the width of the jaw so it
75520	79120	was like a picture where only you only saw how wide the man's jaw was
79120	83360	and the jaw width they preferred actually changed depending on what time
83360	85520	of the month it was. Now there's going to be a lot of red
85520	87680	pill types out there who talk about how this is
87680	91600	an obvious example of why all women are cheaters and it is in their biological
91600	94720	nature to be inherently unfaithful and how they're
94720	98240	always going to look for the alpha male to have sex with while
98240	101040	she's fertile and then try to find a beta male to
101040	104320	actually raise the kids. And maybe there's some biological truth
104320	106720	to that but I'm more inclined to believe that
106720	109760	shitty women who cheat will use that as a justification
109760	113360	and shitty men who cheat will use a very similar justification
113360	116400	you know the whole sowing your wild oats stuff.
116400	119840	Regardless of the biology we're still intelligent rational creatures
119840	122480	we're still in control of what we choose to do and we still have a
122480	124560	responsibility to those choices that we make
124560	128000	but from what I understand the birth control pill basically
128000	131760	freezes a woman's fertility cycle in that period where she's
131760	135360	not fertile so therefore she always finds the beta male attractive
135360	138400	and in fact there's been multiple cases where a woman who was consistently on
138480	141920	birth control for many years starts dating a guy and after she
141920	145600	decides to go off birth control so they can have children or whatever
145600	148960	she no longer finds him attractive she says he's not manly enough he's not
148960	152880	virile enough is it pronounced virile I don't know but this sort of thing
152880	155600	happens often I'm not saying it happens to all women I'm not even saying that it
155600	158240	happens reliably but it happens reliably enough that
158240	161680	statisticians and and sociologists and stuff have have taken notice.
161680	165440	So on the one hand you could take a purely biological deterministic approach
165440	168960	to this and believe that more beta males are
168960	172400	reproducing therefore the children that they're creating are also more beta than
172400	174240	they would have been maybe that's the case
174240	177920	but there's also the fact that the pill has given women control of when
177920	181600	and how many kids they have rather than having eight or ten throughout their
181600	185200	20s they're having one or two when they're
185200	188880	30 or 35 or 38 and yeah there's obvious problems with
188880	192720	that you know the the rates of deformity and various diseases and disorders you
192720	195120	know they all go up when you have a pregnancy in your 30s
195120	197440	instead of your 20s I think we all know that at this point
197440	201200	but even if the children are healthy you've also kind of put all your eggs in
201200	204480	one basket you know if you have eight kids throughout your 20s
204480	207760	you're not really raising them anymore they're they're raising each other
207760	211600	you don't have enough energy to to raise all them all the time
211600	214960	you do what you can then you rely on the older kids to help out the younger kids
