start	end	text
0	4700	We cannot prove that we cannot prove at all that there is some kind of political
4700	10020	motivation or some kind of concerted effort to, uh, to take down Alex Jones,
10200	13580	but we can be conspiracy theorists ourselves.
13640	18220	We can stay up until 3 AM with like coffee and cigarettes and pinning things
18220	21220	together on a board with tax and string like pictures.
21220	22700	And we can do that too.
22700	24380	We can be that crazy guy too.
24700	26260	So maybe we should indulge a little bit.
26300	26720	Okay.
27140	31140	So this is an article from December of 2020.
31860	33620	This is mostly regarding COVID stuff.
33980	36880	How should you talk to your friends and relatives who
36880	38280	believe in conspiracy theory?
38280	40140	There is, this is like a lifestyle article.
40140	42280	This is not a serious news piece.
42280	44320	It's a fluff piece, but let's just, let's check it out.
44320	44640	Okay.
45640	49680	You're dreading the moment as your uncle passes the roast potatoes.
49920	53920	He casually mentions that a coronavirus vaccine will be used to inject
53920	56080	microchips into our bodies to track us.
57000	60680	Or maybe it's the point when a friend after a couple of pints starts talking
60680	65220	about how COVID-19 doesn't exist or when, or when pudding is ruined as a long lost
65220	71440	cousin starts spinning lurid tales about QAnon and elite Satanists eating babies.
71740	72500	Oh my God.
73860	75860	So I think I recall this.
75860	80140	It was like 2018 or 2019 Lilith, and you posted a tweet that
80140	81560	inspired a video of mine.
82000	86540	And the tweet was, it was a trans person waving the, the, the, the, the
86540	90680	trans flag, and then having a turkey shoved on their hand in the other hand.
92760	93260	You remember that?
96840	98240	I don't remember that.
98240	98840	What was that?
99040	99300	Okay.
99300	99720	Hold on.
100720	101560	They have a turkey?
101880	102160	Okay.
102160	102960	So I can't find it.
102960	103280	Shit.
103680	109620	I did a video and the thumbnail of the video, there's a trans person with like
109620	114460	brown skin and short purple hair, and they're screeching and they're waving
114460	119980	a trans flag and they have a turkey shoved on their fist in the asshole of
119980	121740	the turkey on the other one.
122100	124860	And it was supposed to be like a trans Thanksgiving thing.
125860	126940	There was that picture.
127220	129460	And you posted that it was a drawing.
129460	130000	It was a drawing.
130280	131420	And someone took that.
132160	136680	No, you took that picture post on your Twitter and you said, this is what these
136680	142200	crazies want you to think trans people are, but we're not this, we're not this
142200	142800	fucking crazy.
142800	145120	I don't remember saying, I, I, sorry.
145120	148520	I, I, it was like four years ago, were you remembering somebody else?
148560	149760	Oh, no, it was, it was definitely you.
149800	152520	I'm trying, I'm trying to remember the turkey.
153640	154320	It was a cooked turkey.
154320	154960	It was a cooked turkey.
155640	160360	I don't, there's nothing like that in my mind, but you might be right.
161240	161440	Okay.
161440	165600	Can I, maybe if like I find a picture you'll know, Hey chat, can you guys
165600	166560	like find that video?
166720	167840	Oh, that one.
167880	168240	Yeah.
168880	172880	So you, you definitely took this and posted it on your Twitter back in the day.
173640	182280	And you were like, yeah, that's such a, but it's such a, okay.
182340	186960	So then the dream, why I feel like you've mentioned it.
187000	189720	I was, I thought it was like, was this a fever dream?
191040	191880	What the hell?
192240	195720	So this, this image, it looks like it's a meme.
195880	201320	It's a fucking joke, but it was used on ironically, it was used on ironically in
201320	206240	like a pro trans Thanksgiving article where it's like how to confront your racist
206240	211120	conservative uncle at Thanksgiving, how to shoot them down and it's like, chill
211120	212400	the fuck out guys, like Jesus.
213400	220080	Yeah, it was, it was used like, like why do you make, that's how you portray trans
220080	223160	people, a crazy pink haired person.
223760	224960	I mean, I'm sure some are.
224960	226960	Fisting a turkey for fuck's sake.
227200	228200	Fisting a turkey.
229840	234400	So why, why, why are they fisting a turkey because their, uh, relatives
234400	237880	drove them so crazy, I guess, but why?
238920	242600	So I'm bringing that up because this article kind of plays off of that, you
242600	248520	know, like how do you deal with crazies, crazies at the dinner table during
248520	251360	holidays, you know, the uncle you only see once a year or whatever.
251680	260120	Now, rather than this being about like LGBT stuff, this is about conspiracy
260120	260640	theories.
260880	264680	How do you deal with your uncle who thinks that a coronavirus vaccine will
264680	269560	inject microchips into your bodies or talking about how COVID doesn't exist or
269560	271400	QAnon or elite Satanists.
271520	276120	Now, first of all, the left itself, they're also, they're also, uh, very in
276120	277280	on the conspiracy theories.
277600	282200	They talk about the globalist bourgeoisie 1%, you know, they, they talk about Bill
282200	285560	Gates just as much like that's, it's not fucking pretend that there's not, this
285560	287520	isn't like a, like a bipartisan thing.
287520	288360	It certainly is.
288600	288960	All right.
289280	294440	But still, how do you talk about conspiracy theories, ruining your,
294440	295920	your family get together?
295960	296400	Okay.
296720	303360	So this, this article gives you like, it's a keep calm, don't be dismissive,
303600	309520	encourage critical thinking, ask questions, don't expect immediate results.
309560	310000	Okay.
310000	313040	So soy, soy, soy, soy, soy, soy.
313080	317000	So let's actually go, what you do is you play into it.
317320	317640	Yeah.
318120	319360	So you play into it.
319360	321880	You, you, you go, you go even crazier.
323720	326800	You go even crazier than, than your, than your relatives.
326800	332600	You go, if they think, if they think like a fucking, if they think that
332600	338480	nine 11 steel beams and shit, you just, just say the tower didn't even exist.
338600	339720	The tower never existed.
340640	341080	Tower.
341080	342520	It never existed.
342640	344320	I mean, has there been proof?
344320	349600	Has anybody, has anybody seen the towers for 20 years?
350080	350840	They vanished.
351280	351640	Okay.
351840	358320	So with Alex Jones being the primary conspiracy theorist peddler, we should
358320	359880	look into some of these conspiracy theories.
359880	360080	Okay.
360080	364120	So for example, this was a good one.
364120	366600	This was like, this is a surface level Alex Jonesery.
366640	367080	Okay.
367720	370440	Remember when Alex Jones said that whenever Silicon Valley gets called
370440	374640	out on their shit, they just throw some Indian out in front to act confused
374640	376320	and say that they don't think they're doing anything wrong.
376600	381360	And that is exactly what Twitter did on the, on the Joe Rogan show a few years
381360	387400	ago, where, uh, Jack showed up with, with this, this Indian woman who was like,
387640	388760	we're, I don't know what you mean.
388760	389640	We're, we're doing okay.
389640	392600	Aren't we like, I don't understand, you know, like that was the meme, you
392600	394400	know, three or four years ago, let's check this one out.
394400	395600	This is from 2019.
395600	395880	Okay.
395880	400520	So about three years ago, Alex Jones, Joe Rogan war leads
400520	402200	to conspiracy theory meltdown.
402600	407360	Infowars host says that babies are being harvested for their organs.
408600	409000	Okay.
410000	411040	It seems pretty crazy, right?
411040	412120	It seems pretty fucking crazy.
412360	412640	Yeah.
413120	418680	Sounds like sounds like Alex Jones, but then, but then.
420160	420760	But then hold on.
421760	425000	So after a recent feud, Jones has invited back on Joe Rogan's show while
425000	427360	speaking with martial arts instructor Eddie Bravo, an episode uploaded on
427360	431200	Wednesday, Jones began shouting about infanticide, I came here and I proved
431200	434320	they're keeping babies alive and they're taking their organs, the Senate voted
434320	438000	Monday to keep it legal, they fucking did it Bravo, and you can't fucking admit
438000	441120	they're, they're killing already born kids, so you're telling me it isn't real
441120	444960	when they had a fucking vote in the God, in the goddamn fucking Senate, that's
444960	449000	the conspiracy theory that Bravo responds, I am ready to beat your fucking ass.
449000	449680	Jones answers.
449680	450720	You think you're fucking tough.
450720	451360	You're about to get it.
451360	451920	Bullshit.
451920	453320	They're killing already born babies.
453480	454400	Stop fucking lying.
454400	455000	God fucking damn it.
455000	455680	I'm getting pissed.
455840	457920	So Jones is going off.
458280	459600	Jones is fucking got a hinge at this point.
459600	460600	I'll beat your fucking ass.
460640	462240	He's fucking crazy.
462600	465360	Um, when, when contact for comment and info wars representative sent
466040	468640	Newsweek articles about late term abortion, including a slate report
468640	471360	dating to 2012, I'm going to give you the benefit of the doubt and assume
471360	473320	that you're simply ignorant and not malicious, mentally challenged.
473360	473760	Okay.
474360	477200	So Alex Jones is ranting.
477520	480160	This is back in 2019, clear conspiracy theorist.
480640	484160	And this is going to be used to, uh, restrict, restrict abortion
484160	485160	rights and all this shit.
485480	489080	It's going to make people, you can already see the narrative unfold.
489120	491480	This is what a leftoid would say is that Alex Jones need to be
491480	494440	censors because he's going to make things worse for women.
494520	494960	Okay.
495160	497600	Well, what actually, what came out recently.
497760	501720	So this came out, this came out, um, about a year ago, two
501720	505120	years after this rant happened, federal government caught buying
505160	509600	fresh flesh of aborted babies who could have survived as preemies.
511320	515520	So the U S government has been buying and trafficking
515520	517400	fresh aborted baby body parts.
517400	521360	Now, if you, if you believe that if he is as a baby, then the whole,
521360	524760	they're killing babies for their body parts, that language makes sense here.
525280	530840	So, um, these body parts purchased by the U S food and drug administration
530840	535960	to humanize mice and test biologic drugs in scientific experiments came
535960	540040	from babies up to 24 weeks old in gestation, just weeks from being born.
541440	542400	Uh, okay.
543000	545280	That's kind of crazy.
548080	552560	So records indicate that ABR waste not want not.
553080	554240	Waste not want not.
554480	557480	So they were going to get aborted anyways.
557520	557720	Yeah.
558600	565640	Um, so the company, so there's a company called ABR that makes millions.
567400	570800	This company makes millions every year by harvesting organs, like lungs,
