start	end	text
0	3840	The pandemic has created an unusual situation.
3840	8120	Before everyone and everything was forced into lockdown, the bootstrap argument was
8120	9800	actually a reasonable one.
9800	14040	A poor kid, even in the United States, could conceivably work hard, graduate from high
14040	18920	school, get a student loan, get an education in a lucrative field, pay that loan off, and
18920	22300	wait until they're in a stable, long-term relationship before they have kids.
22300	26000	I'm not saying it's easy or fun, or that everybody would have chosen to do it.
26000	29960	What I am saying is that for those who did choose to do it, inevitably they saw their
29960	31460	lives improve.
31460	36520	But the pandemic has temporarily thrown that entire path forward out the window.
36520	39000	Schools are closed, or operating at reduced capacities.
39000	43260	Education, and for some, graduation, has been put off.
43260	45740	Businesses aren't allowed to function per usual.
45740	48400	Some businesses are downsizing or closing entirely.
48400	53160	Telling somebody to just get a job, Borisenko-style, made sense before the government forcibly
53160	57740	closed the doors of every small business, and placed extreme restrictions on larger
57740	59200	businesses and how they operate.
59200	62840	I'm not here to talk about whether or not those restrictions are correct, that's a topic
62840	63840	for a separate video.
63840	68200	But even if you are a die-hard believer that every single thing the state has done was
68200	72880	not only justified but necessary, you cannot deny the massive economic damage.
72880	76600	The socialists are pointing at the lockdowns and laughing about how capitalism just doesn't
76600	80840	work, and to them I would simply remind them of the old adage, capitalism occasionally
80840	84280	has bread lines, socialism occasionally has bread.
84280	88360	But all of this has a cascading effect, which brings us to the topic of today's video,
88360	89360	the landlord.
89360	93240	If you somehow don't know what we're talking about, a landlord is somebody who rents out
93240	97280	property for other people to live in, and collects rent for the service of doing so.
97280	101440	The tenant's responsibilities are, generally, to pay the rent on time and not destroy the
101440	106240	place, while the landlord's responsibilities are, generally, to make sure repairs and maintenance
106240	107440	are completed.
107440	111740	There may be extra responsibilities that the parties consent to in a lease, but this is
111740	113060	still the basic idea.
113060	116820	Of course, you can always have shitty landlords who refuse to do any maintenance or treat
116820	120560	their tenants like garbage, and you can also always have shitty tenants who destroy the
120560	121920	property and refuse to pay.
121920	126200	There's bad people everywhere, but the communist left has always vilified landlords.
126200	130480	I understood their position back during the era of serfdom because owning other humans
130480	135440	is always evil no matter who's doing it, but times have changed and so has their logic.
135440	139700	Now it's because they believe that being a landlord isn't a real job, and that whoever
139700	141800	lives in a house should simply own it.
141800	144560	Or sometimes they believe that houses should be communal property.
144560	146920	It changes, depends on which specific common you're talking to.
146920	148760	But their criticism is the same.
148760	152880	The landlord shouldn't own a house he doesn't live in, even though he paid for it.
152880	157000	I'm sure, if you're a reasonable person, you can see exactly what kind of problems
157000	161060	might arise when you have a shitty landlord or a shitty tenant, and I am very happy to
161060	165140	live in a country where there's a legal framework in place to deal with those situations.
165140	168740	If your country doesn't have that kind of a framework, I would probably be an advocate
168740	169880	for its creation.
169880	173620	But let's discuss a situation where the landlord is good, the tenant is good, and everybody
173620	174820	is generally happy.
174820	179300	For those who can't afford their own house, a landlord provides a valuable service, a
179300	182580	place to live that's quite cheap compared to buying a house and paying a mortgage in
182580	183620	the same area.
183620	187940	But even those who can afford their own house will often choose to rent because it may simply
187940	192320	be easier to have a landlord deal with all of the repairs and maintenance and taxes and
192320	196640	other red tape that comes with property ownership, especially if that tenant does a lot of travelling.
196640	198120	Here's my living situation.
198120	201600	My landlord is a working class guy who scraped enough money together in order to buy a second
201600	202600	house.
202600	205440	He's always here to fix problems whenever I need him, and I have no complaints.
205440	209320	I didn't pay for this house, I don't do any of the maintenance on it, I shouldn't own
209320	210320	it.
210320	214120	In this situation, being a landlord is actually a real job, because it does actually provide
214120	215120	a real service.
215120	219640	The socialist's reply is always that a sufficiently rich landlord can simply hire repairmen and
219640	223960	lawyers and whoever else to do all of the jobs that a landlord might do, and then the
223960	226200	landlord can simply sit back and take rent.
226200	230600	Yeah, fair enough, but a landlord can't hire somebody to take on the risk of the venture.
230600	234200	If a landlord buys an apartment building for a couple million dollars, and then a fire
234200	238400	burns it down the next day, not only is he down a couple million dollars, he may be on
238400	241800	the hook for the cost of all of his tenant's property if it turns out he's liable for the
241800	242800	fire.
242800	247240	What socialists don't understand is, taking on the risk of funding a venture is worthy
247240	251300	enough of receiving a share of the venture's profits, because otherwise, who would invest
251300	252300	in anything?
252300	256240	So yes, being a landlord is legitimate, but like I said at the start of the video, we
256240	259920	live in interesting times, and the lockdown has created a unique situation.
259920	263560	Within a normal capitalist economy, the higher the velocity of money, the wealthier everyone
263560	264560	is.
264560	265560	Let me explain.
265560	268520	Let's say you work at a job, and you get $50 for that day's work.
268520	270960	You take your $50 to a restaurant and you have a big meal.
270960	275500	The restaurant owner takes that $50 and buys produce from a local grocer in order to restock
275500	276500	his restaurant.
276500	280700	The local grocer takes the $50 and buys, let's say, window glass to repair a broken
280700	281700	store window.
281700	285760	Then the glacier, not needing anything at the moment, puts that $50 into the bank.
285760	291060	In this tiny economy, even though it was the same $50 the whole way through, $200 worth
291060	295020	of labour was performed as it was passed around, and more people's lives were impacted in a
295020	296020	positive manner.
296020	298900	The velocity of that $50 was therefore $200.
298900	302980	However, if times are tough, you might just take that $50 from your job and save it.
302980	306660	The restaurant doesn't get its produce, the grocer doesn't get his glass, and the glacier
306660	307820	doesn't save anything.
307820	312540	In this instance, the velocity of that $50 was only $50, and only you benefit from it.
312540	316740	I'm not saying that's bad, saving is a reasonable thing to do, obviously, but if an economic
316740	321540	situation is so bad that everybody saves, then that causes the economy to crash even
321540	322540	further.
