start	end	text
0	7040	Oh my god, you guys gotta see this. Bone smashing trend takes over TikTok. What is it?
7040	14720	According to Forbes, videos with the phrase bone smashing tutorial have already garnered over 267.7
14720	21920	million views on TikTok. However, there is no evidence that hitting your face with blunt objects
21920	27760	will do any good. What the, what the fuck am I looking at here? Are these people actually hitting
27760	34240	themselves in the head with hammers to get like Gigachad jaw lines? The strange trend that started
34240	39600	on TikTok has people hitting their faces with blunt objects like hammers, bottles, or massagers.
39600	44000	Oh my god, I feel like hitting my face right fucking now after reading that.
44000	49360	They're justifying this baffling practice by citing Wolff's law. Formulated by German
49360	54160	anatomist and surgeon Julius Wolff, it is based on the observation that you and your bones are
54160	60080	constantly undergoing remodeling with old or damaged bones continuously being resorbed and
60080	64640	replaced by new ones. According to the law, applying mechanical force or physical stress
64640	70160	to your bones can actually increase the rate that such remodeling occurs and in the process
70160	75200	results in stronger and thicker bones. There's no fucking way this is real, guys.
75200	77680	Okay, we're on TikTok. If you choose center first and-
77680	82720	Wait, shut up! Why is Taftage on my front page on TikTok? Bone smashing tutorial, let's go.
83440	88720	Glow up tips. No way people are doing this. Oh god, there's some music.
91600	97200	Okay, but it does seem like- I can't read this, but are people doing this? Someone in the comments
97200	102640	says these people are being genuine. I still don't know. I can't believe this, guys. I can't
102640	108480	fucking believe this. Nope, I'm doing it. I hate TikTok music, guys. Jesus. Okay, what are you
108480	113840	doing? Are you just punching your- Okay, these people have to be memeing. There's no way. How
113840	118080	about you, dude? How about you? Bone smashing tutorial, what are you doing? What are you doing?
121440	126080	I mean, he's lightly tapping himself with- was like a rock or something or some kind of brush?
126080	133120	I don't know. Okay, this is from an incel form from 2018. Serious. The serious tag is here,
133120	141120	guys. Bone smashing general. This dude right here got kicked max by a horse and he lived 20 more
141120	147280	years. Look at his growth. I'm not saying we should all horse kick max, but this level of
147280	153200	power can cause such swelling. Why not less power and more reasonable and controlled increments?
153200	158800	You know, more than anything else I've looked at on this channel, I think this might be the thing
158800	164080	that finally black pills me. Okay, according to Know Your Meme, this is the TikTok that kicked
164080	170800	it all off. Oh, they took it down. TikTok's already jumped on this trend. RIP. Yep, they've
170800	176400	all been taken down. They've all been taken down. Let's move on to something else, I guess. Welcome
176400	180320	to TikTok Tuesday, by the way. I hit the record button. I was getting everything together real
180320	184880	quick and then someone immediately DM'd me and I was like, Dev, you got to see this. I was like,
184880	190320	oh my God, I completely lost like all sense of what I was doing. Welcome to TikTok Tuesday.
193760	200720	The old man infiltrated the criminal syndicate and whipped its kingpin 5,000 times. Is he talking
200720	207120	in the actual elevator? He took control of the organization and launched an oppressive regime.
207120	214160	Dude, what are you doing? He had impermeable power that would only get stronger by the hour.
214160	230080	They were just like, what the fuck? All right, dude, if this is how you want to go viral,
230080	238560	I guess, I guess that's your way. Oh my God. Happy national plus size day, everyone. Finally a day
238560	244880	for me. Oh God, there's music. I'm muting it. All right. Jesus. Listen, there should be no
244880	249360	happy national plus size day. All right, guys, this isn't something to be proud of. The fact
249360	253200	that you allowed yourself to get that bad. Like I'm not even anywhere close to that, but I know
253200	257840	I'm fat guy, but like, no, like she weighs, I think like triple that I do. If you let anyone
257840	262160	get, like if you let yourself get that fucking bad, like no, there's no, there's no celebration
262160	266240	here. It should not be a national fucking holiday that your body looks like a stack of pancakes.
267120	273600	Oh my God. Stop with the music in your TikToks guys. Okay. The simplest way to remove excess
273600	281200	fat when cooking ground meat is, oh, you put tampons? Use two tampons in the ground meat.
282240	286320	They will absorb all the fat. I don't know how I feel about this. And I guess it works. They're
286320	290800	not used tampons, right? It's kind of weird though, isn't it? I mean, generally what I do,
290800	293840	like I know there are some assholes who just like pour the fat down the drain, which is like
293840	298480	terrible. I get like a, like a tin, like an old tin can or something that I've already used.
