start	end	text
0	7700	Oh boy, is this becoming the Jordan Peterson channel?
7700	10520	Because this is like the third video in a row that relies on one of his quotes to start
10520	11520	a conversation.
11520	14600	While I do like Jordan Peterson to a point, I also recognize that when he gets out of
14600	17280	his psychology wheelhouse, he's honestly a little bit shaky.
17280	21080	The psych stuff is 100% on point, but his career shifted away from psychology to being
21080	25040	a pop scientist years ago, and his non-psych takes are hit and miss.
25040	28540	But nonetheless, there's a few clips from his recent Andy Ngo video that have gone viral,
28540	32380	and one specific clip that the left has decided to repost and mock everywhere.
32380	35220	So I would like to analyze it, because I think it actually contains some wisdom.
35220	39740	What is the psychology of this mob violence?
39740	47980	When I see it, like I don't even recognize some of these, they seem animalistic is what
47980	48980	I mean.
48980	52500	No, they're worse than animals.
52500	56460	They're worse than animals, because animals, they just kill to eat, you know?
56460	59940	Human beings, they have a twist in them that makes them far worse than animals when they
59940	60940	really get going.
60940	64300	Well, I think it's, I think, you really want to know what I think?
64300	69820	I think it's revenge against God for the crime of being.
69820	72400	That's really what I think.
72400	74860	It's Cain and Cain and Abel.
74860	77340	It's like, oh, Abel's your, Abel's your guy, eh, God?
77340	80780	How about if I take him out in the field and beat him to death?
80780	82500	How do you feel about that?
82500	86820	All my sacrifices went unrewarded.
86820	90060	Now that actually does sound a bit too dramatic.
90060	93860	And boy, did Twitter not hesitate to point out exactly how dramatic it sounds.
93860	97900	I'll let these reactions scroll by on the screen while we talk about this.
97900	102380	Feel free to pause at any time and read these in detail, because this clip has like 3,000
102380	106280	quote tweets, and the vast majority of them are terminally online leftist activists with
106280	109900	pit crew avatars, flags and emojis representing their support of the current thing in their
109900	114500	name and comments that don't actually count as anything even resembling a real analysis.
114500	116180	Just making fun of the man because they don't like him.
116180	119980	And they find the idea that the foundation upon which their violent socialist activism
119980	121920	sits is a hatred of life itself.
121920	124820	How can that be, they say, or for the working class after all?
124820	128180	We want to ameliorate the material conditions of everybody.
128180	129180	We want freedom.
129180	133120	We want good ends and harm reduction and equality and every other buzzword you can think of
133120	136820	that the left likes to label itself with in an effort to claim the moral high ground.
136820	141060	But as Peterson said in that same interview, it's not any sort of moral high ground that
141060	166440	causes them to laugh at suffering.
166440	180480	Rather, it's that they've convinced themselves that their cause is so righteous that anybody
180480	184420	who opposes them must be ontologically evil by default, and they can do what they will
184420	185420	with them.
185420	186420	Or at least that's the reason they tell themselves.
186420	189820	No really, that's actually the text of a common meme right now that they love to use.
189820	193560	It's fitting that they chose Patrick Bateman, the American Psycho himself, as the pitcher
193560	194560	for that one.
194560	198680	Let's actually examine this idea, that the radical left is rebelling against God for
198680	199680	the crime of being.
199680	201320	We can take God out of it, frankly.
201320	202480	The analysis is the same.
202480	206200	There's multiple levels to go down until we reach the bottom, so let's start digging.
206200	208280	Level 1, where the socialist is simply self-interested.
224560	230920	Oh, have I used that clip too much recently?
230920	246960	Okay, how about this one instead?
246960	251180	It's not hard to find some conservative YouTube channel, like Crowder's Change My Mind thing
251180	255180	or Campus Reform, where the host interviews some dipshit university students and gets
255180	258420	them to admit the most basic hypocrisies about their socialist ideals.
258420	263040	The example on screen is about a GPA redistribution, where the left-leaning students are asked
263040	267700	why shouldn't we equalize the GPA of high-achieving students with low-achieving ones?
267700	270880	The students all give the same reply, because the low-achieving ones didn't work as hard
270880	271880	as they did.
271880	275980	When confronted with the very real possibility that high earners and low earners in society
275980	280860	function the same way, making income redistribution just as offensive as GPA distribution is,
280860	282740	almost all of their brains shut down.
282740	286340	This is a funny gotcha moment, sure, but it serves to show that a lot of young socialists
286340	290020	are either idiots who haven't thought enough about their ideas, or they're entirely unprincipled
290020	292700	and simply looking to do what benefits them.
292700	295260	Redistribution when they're on the bottom, rugged individualism when they're on the top.
295260	296900	Frankly, it's probably a bit of both.
296900	300900	Level 2, where the socialist directly sides with a foreign evil, because at least it is
300900	301900	not the familiar.
301900	306900	During the Vietnam War, we were actually the very first party in the US to stage a demonstration
306900	311380	against the Vietnam War, in like 1968, when most people just kind of thought the war was
311380	314380	whatever, you know, there wasn't a massive anti-war movement.
314380	319660	And I think, you know, obviously the Vietnamese people themselves fought a heroic battle and
319660	321960	gained their liberation from US imperialism.
321960	325540	It's not hard to find people on the left who worship the genocidal totalitarian regimes
325540	326820	of Lenin, Stalin, and Mao.
326820	330260	And I don't just mean the overt tankies, though obviously them.
330260	334340	Even the breadtubers, the so-called libertarian socialists, while they might criticize the
334340	338220	Soviet regime from time to time, especially during a debate with a non-socialist, where
338220	341980	they know that an audience outside of their own insular crowd might be watching, catch
341980	347220	them talking on their own, to their own communities, and you'll likely hear some variant of, well,
347220	351180	socialist regimes around the world were sabotaged by capitalists who refused to trade with them.
351180	355380	Because I guess socialism requires an outside capitalist society to keep trading with them,
355380	356700	if it's going to work?
