start	end	text
0	8360	Hello friends, sorry for the dearth of content.
8360	12280	I think I just need to come to terms with the fact that sometimes I just get pretty
12280	13560	bad writer's block.
13560	18380	I'm currently sitting on a half-finished analysis of market socialism, I've attempted to write
18380	20880	something on the don't say gay bill, it's just...
20880	25360	I've tried to do a lot of things and it just hasn't come out the greatest.
25360	31080	Maybe I just need like regular time off because I spend a lot of time trying to work.
31080	34480	Maybe I need to spend more time streaming video games or something.
34480	38200	Actually if you watch this on release I'll be streaming games right now, it's time for
38200	42400	the Saturday morning show so hey, make sure you drop by the gaming channel literally after
42400	44080	this video and come say hi.
44080	49760	But this morning when I was eating breakfast I was watching this stupid video, taking responsibility
49760	53840	for systemic racism, the problem with Jon Stewart, oh boy.
53840	60140	And I realized I kind of had to react to it because it got the old creative juices
60140	61220	flowing again.
61220	64640	I know there's at least a few creative types in my audience, you know how it is when you're
64640	68840	stuck in a rut for a while and then you see something and you're like oh my god and it
68840	71860	kind of kickstarts your brain again, that's what I feel like right now.
71860	73640	So let's check this nonsense out.
73640	79320	An episode about race, focusing on black issues, you'd want to connect with the Cornell West,
79320	107840	You know, I sometimes still don't mind Jon Stewart's humor, I have a feeling it's gonna
107840	111600	get a whole lot worse, but I mean that made me chuckle a little bit.
111600	117780	At La Salle University, he researches social inequality and race, Lisa Bond, the resident
117780	121560	white woman for Race to Dinner, a group that is trying to have better conversations about
121560	122840	race in America.
122840	126760	And joining remotely, longtime author and columnist Andrew Sullivan, editor of The Weekly
126760	127760	Dish.
127760	129880	Welcome everybody, thanks so much for joining us.
129880	137480	Here's what I think holds back our race conversation in America.
137480	145440	I think at its core, I think white people put blame on black people for the position
145440	146440	that they are in.
146440	152440	Hold on Jon, hold back the conversation on race in America.
152440	154580	What conversation is being held back?
154580	156960	We have these conversations all the time.
156960	161720	Our entire culture is inundated with these conversations right now Jon.
161720	167440	It's online, it's in schools, it's on the news, it's in our entertainment media, movies
167440	169240	games, shows, whatever it is.
169240	173400	At this point, the left, the progressives, they've won the culture war.
173400	178120	A significant amount of white people in the United States of America see race relations
178120	180320	through a colorblind lens.
180320	185160	And I don't mean that whites don't see race, they see someone that's black or Asian, but
185160	190680	they don't in any way attach any meaning to the color in affecting life chances.
190680	194800	And what that fundamentally means is that race doesn't matter in getting ahead.
194800	195800	It just doesn't matter.
195800	199160	We believe that we are in a race neutral environment.
199160	203880	The playing field has been leveled, and if you make it, or you don't-
203880	204880	It's a meritocracy.
204880	207680	It's a meritocracy, and it's a narrative also that does a lot of things.
207680	211760	It makes white privilege invisible, and it also-
211760	212760	Hold on, hold on.
212760	218040	So, first of all, that is in fact the attitude we should have, because that is in fact the
218040	220760	world that we should be striving towards.
220760	222880	Otherwise you are legitimately a racist.
222880	224920	And moreover, you're talking about white privilege.
225560	232120	The ideology of white privilege, academically, it's an ideology of the rich.
232120	235760	You know what kind of people are learning about this stuff and thinking this way?
235760	240320	The people who are bought into the white privilege narrative, these are university students.
240320	242480	These are upper class people, sometimes middle class people.
242480	246360	These are people who can afford to go to universities and be inculcated with this garbage.
246360	250600	The working class, like broke white people, they are the least likely to believe in the
250600	254760	concept of white privilege, because they are some of the people least likely to have privilege
254760	255760	at all.
255760	260720	Are you seriously going to sit here and yell and lecture at some working class Republican
260720	265800	guy who's never really left his hometown, who's making $25,000 a year at a menial job
265800	270200	that just got shipped overseas, and the only help he's getting from anybody is an oxy prescription
270200	271200	from his doctor?
271200	274060	Are you going to tell him that he's benefiting from white privilege?
274060	279160	This is a completely unrealistic way to look at the real lives of people.
279160	283140	When we talk about racism, we're talking about your character flaw.
283140	285820	If we say you're racist, it's a character flaw.
285820	286820	I'm bad.
286820	287820	I know I'm not bad.
287820	289380	I think I'm a good person.
289380	291260	I think I'm a nice person.
291260	294100	I know that I am racist.
