start	end	text
0	10640	Oh boy, it's time for the MrBeast discourse, because I don't value my remaining brain
10640	12320	cells enough apparently.
12320	18720	On January 28th, 2023, MrBeast, a YouTuber with 131 million subs, in case you don't
18720	24240	know who he is, put out this video, 1000 Blind People See For The First Time, and this video
24240	26120	is exactly what the title describes.
26120	31200	MrBeast found 1000 blind people with a specific type of blindness that can be cured by extracting
31200	34840	the clouded natural lens of the eye and replacing it with an artificial lens.
34840	38400	The video is full of feel-good moments that you'd expect to see from this sort of thing,
38400	43020	punctuated with that highly energetic effects and editing that ZoomerHumor is known for.
43020	47560	MrBeast often blows a ton of money on his videos, sometimes by giving away exorbitant
47560	51800	prizes, sometimes by going on extravagant trips, sometimes just by taking a big pile
51800	53220	of money and destroying it.
53220	55260	But he also regularly does charity work.
55260	58700	He's helped clean the oceans, plant trees, give away tons of food.
58700	63020	In fact, he has a side channel, Beast Philanthropy, where all he does is show where the money's
63020	64020	going.
64020	67180	And with these sort of view counts, where a few million hits is considered a failure
67180	71460	on the main channel, he's absolutely got truckloads of money coming in from AdSense.
71460	75780	MrBeast has gone on record multiple times, in tons of interviews, stating that all the
75780	78980	charity work he does is his way of giving back.
78980	84520	But despite all of MrBeast's previous philanthropy, this time the curing 1,000 cases of blindness
84520	87580	video, the leftoids on Twitter decided to lash out about it.
87580	92300	Normally, Lance has enough cancerous tumors strangling his brain stem that a coherent
92300	96340	thought can't actually make it from his mind down to his fingertips and keyboard,
96340	101160	but he did finally manage to pull it off a couple days ago, going viral with this garbage
101160	102160	take.
102160	104180	People are honestly praising MrBeast yet again.
104180	106660	The guy does poverty tourism for cash.
106660	111380	If he pays a person's medical bills lottery-style without informing anyone with his platform
111380	115660	that it's fucked he needs to do that, he's just profiting off of his ability to do so.
115660	120540	What makes this take exceptionally retarded is that hours before, MrBeast did exactly
120540	121540	this.
121540	123260	I don't understand why curable blindness is a thing.
123260	124900	Why don't governments step in and help?
124900	128100	Even if you're thinking purely from a financial standpoint, it's hard to see how they don't
128100	131700	get a return on investment on taxes from people being able to work again.
131700	136900	Lance got so much backlash for his stupidity that he actually caught the eye of MrBeast,
136900	138260	who replied to him with,
138260	141220	It did raise awareness and get tons of people talking.
141220	142620	Also, what profits?
142620	147080	The average MrBeast video lost $1.5 million last year lol.
147080	150620	This was enough for Lance to delete the tweet out of embarrassment, but not enough to know
150620	151620	when to quit.
151620	155660	His video about how he's paying for medical costs should have been focused on how government
155660	157100	should be funding healthcare.
157100	161260	His episode on prison should have been about how solitary confinement is torture, not renting
161300	163420	out an old one for his friends for the lulz.
163420	167020	Wait, are you literally just mad he's not doing politics videos?
