start	end	text
0	10480	When Rush Limbaugh was first rising to prominence, he started a trend among conservatives that
10480	14280	continues to this day, of conflating socialists with liberals.
14280	17540	I don't know if he actually believed that they were the same thing, but for the sake
17540	21620	of argument, let's assume that he wasn't that stupid and he was just being hyperbolic.
21620	26420	It's clear to anybody with a brain that the free speech, free market, rights and individualism
26420	31020	of liberalism is not the same thing as the proletariat revolution, communal ownership,
31020	34000	historic materialism and collectivism of socialism.
34000	38600	But to conflate a legitimate yet marginalized evil with those people who are, in the grand
38600	42700	scheme of things, just slightly to the left of you but constitute your largest opponent,
42700	44280	rhetorically makes a lot of sense.
44280	46180	The problem is, it isn't true.
46180	50980	And yet you see a lot of conservatives doing it to this day, from old style Fox News talking
50980	54380	heads to conservative and libertarian YouTubers.
54380	57060	Something's about all the bad stuff the libs are doing.
57060	61340	In the past couple of years, the socialists have tried to pull a similar linguistic sigh
61340	62340	off.
62340	65700	I'm sure you've noticed recently that all of the regressive lefty garbage that nearly
65700	69460	everybody hates is slowly being defined out of the left.
69460	75160	The feminists, the SJWs, the race grifters, they're no longer leftists but libs, or less
75160	76780	commonly rad libs.
76780	80860	And the TERFs, don't get me started on the TERFs, they've been redefined as right wing.
80860	85040	Which is ridiculous because TERFs are still feminists and there's no feminism on the right.
85040	89780	The idea is, though, that if the left is the only political tent that houses legitimate
89780	94160	progress, and the socialists wholeheartedly believe that to be the case, then all of that
94160	97220	regressive lefty garbage simply isn't lefty at all.
97220	100600	This idea is, of course, nonsense on the face of it.
100600	103900	Identity politics is not a toolkit in the classical liberal's belt.
103900	108660	It may be in the neo-liberals, but not out of any kind of racial or gender solidarity,
108660	111500	rather it's for exploitation and masking as representation.
111500	115020	And yes, that is very similar to the idpol of the left.
115020	118660	But the classical liberal position, not the conservative position or whatever else you
118660	123680	may take that statement to mean, I mean the original liberal position, the Lockean position,
123680	125560	is fundamentally colorblindness.
125560	130500	It is free speech, free markets, fairness before the eyes of the law, property and self-determination.
130500	133980	And before you say that the original liberal governments of the enlightenment weren't
133980	135880	this ideal, yes, I agree.
135880	137940	The problem with those is that they're not liberal enough.
137940	140640	The problem with our current governments is that they're not liberal enough.
140640	143800	The wordplay landscape looks a little something like this.
143800	147820	People on the right are incorrectly calling people on the left liberals.
147820	152040	And people on the left are also incorrectly calling other people on the left, those people
152040	154820	whom they specifically disapprove of, liberals.
154820	158980	Funnily enough, both the left and the right have recognized a cancerous growth within
158980	159980	the left.
