start	end	text
0	9080	Hiya everyone! Nice to meet ya! My name's Nyunjoom in this short, flat otaku! Welcome
9080	14800	to my VTuber debut! I'm going to be posting lots of fun, cool content to this channel
14800	19000	in the near future! Here's a sneak peek of what you can expect coming soon!
19000	27080	What? What? What do you mean? I don't know how to play this game! I'm not a boomer!
27080	34080	Are... are... are you supposed to jump? Oh god! I'm so bad at platformers! I don't...
34080	36080	I don't understand you guys!
39080	44080	Oh no! No no no no! No no no no no no no! It's gonna get me guys! It's gonna get me!
44080	46080	AHHH!
46080	52080	God dammit junk, you stupid bitch! Why would you fucking pop him upward and kill me?
52080	58080	Even though I made a stupid decision, fuck you! Fucking use that you stupid cunt!
58080	64080	I love how both tanks just walked the fuck away from me, even though it was another mercy,
64080	70080	I'm a mercy! So, and I can't aim, cause I'm a girl, and they just abandoned me because
70080	74080	they're STUPID!
74080	80080	Wow! That's a lot of cool stuff! If you want to post artwork of me on social media, make
80080	87080	sure to use these hashtags, shortflatotaku and shortflatotakulude! And don't worry about
87080	93080	the last one, I'm actually like an ancient demigoddess who is over 900 years old, locked
93080	96080	into the body of a video game loving loli!
96080	102080	Okay, this has been New Joomz signing off! Like, comment, and subscribe to see what adventures
102080	103080	I get up to!
