start	end	text
0	2720	I keep seeing posts like these ones floating around.
2720	4400	Housing is a human right.
4400	6040	Healthcare is a human right.
6040	8400	Healthcare is a human right, full stop.
8400	10880	Healthcare is a human right, not a privilege.
10880	12560	Asylum is a human right.
12560	16000	Yes, unconditional basic income is a human right.
16000	18280	I assume he means universal.
18280	20240	Climate justice is a human right.
20240	21880	Contraception is a human right.
21880	23720	Freedom of speech is a human right.
23720	25400	Housing is a human right.
25400	27880	Access to water is a human right.
27920	30160	Migration is a human right.
30160	32560	Good quality internet is a human right.
32560	34080	Tampax is a human right.
34080	36280	Not tampons, but that specific brand.
36280	37880	Protesting is a human right.
37880	39560	Basic income is a human right.
39560	41720	Access to public toilets is a human right.
41720	43480	Self-defense is a human right.
43480	45760	Jesus, it seems like you can declare anything
45760	48080	a human right nowadays with no real argumentation
48080	49720	behind any of it, especially on Twitter
49720	51600	where explaining your ideas in depth
51600	53560	is discouraged by the very nature of the format.
53560	55240	But what is a right?
55240	57360	Well, I'm not exactly sure.
57360	60440	It's been a long time since I read good old John Loki,
60440	62440	but maybe we can formulate a decent idea
62440	65200	of what a right is just by using our own common sense.
65200	66880	I'm not saying this is necessarily correct,
66880	68640	just what seems reasonable to me.
68640	70520	So you've got natural rights, right?
70520	72000	You've heard of that phrase before.
72000	73840	Well, from a layman's point of view,
73840	76240	a natural right seems to be something you're born with.
76240	77520	It's in nature.
77520	79080	Here's a good way to conceptualize it.
79080	80720	Imagine yourself on a deserted island
80720	81840	with nobody else around.
81840	83600	A natural right is anything that you can do
83600	84960	in that situation.
84960	86840	You have the right to speech, obviously.
86840	88200	You can say whatever you like,
88200	89720	unless you're mute or something,
89720	91320	but the exception doesn't discount the rule.
91320	92160	How about this?
92160	94560	The mute person can draw letters in the sand or something.
94560	96640	You have the right to articulate your statement.
96640	99200	Do you have the right to water or food?
99200	101800	No, but you have the right to go and get it.
101800	104920	You can fish or hunt an animal or collect plants to eat.
104920	107200	We could call this something like the right to labor.
107200	109240	You don't have the right to have a fish to eat
109240	111120	because if you did, the natural world
111120	112520	would have a fish fall into your lap
112520	113720	every time you were hungry.
113720	115160	But you do have the right to go out
115200	117520	and try to catch a fish using your own labor.
117520	119200	To me, it would seem that natural rights
119200	121800	include only the right to speak and the right to labor.
121800	123120	And it seems that the right to labor
123120	125560	includes most other possible actions.
125560	127600	The right to gather food, to create clothing,
127600	129200	to build a shelter, to defend yourself
129200	130360	from an attacking animal.
130360	132840	You have the right to do those things, which you can do.
132840	134800	You don't have the right to achieve a positive result
134800	136920	from those actions, but you do have the right
136920	138560	to try and reach that result.
138560	141240	But all of this stuff is a result of living in isolation.
141240	143400	When you add another person to the deserted island,
143440	145440	a person who has the same rights as you,
145440	147240	what do you do when your rights overlap?
147240	148960	Well, you both have the right to speak.
148960	149800	That hasn't changed.
149800	151920	You don't have the right to be heard by the other person,
151920	153800	but you do have the right to say anything you like.
153800	155360	You still have the right to labor,
155360	157600	but what stops the other guy from just rolling in
157600	159440	and stealing that fish after you've caught it?
