start	end	text
0	1920	So yesterday was Remembrance Day.
1920	4720	I think it's Veterans Day in the States, but it's Remembrance Day here.
4720	9000	In Canada, and I think in the rest of the Commonwealth as well, people wear red poppies
9000	10180	during Remembrance Day.
10180	14040	The holiday started off initially as a World War I commemoration day, because November
14040	17920	11th was the day that World War I ended, and the poppy became the holiday symbol throughout
17920	22620	the British Empire due to a poem written by a Canadian doctor in Belgium during the war.
22620	26380	As expected, Twitter was filled for the day with various Remembrance Day messages and
26380	29220	hashtags from public figures and brand accounts.
29220	32800	You know, the stuff that IRL is usually pretty meaningful, but when pushed around on social
32800	34600	media just seems a bit vapid.
34600	35600	Especially you, Trudeau.
35600	36600	Get out of here.
36600	39340	We already know exactly what you have to say about veterans.
39340	45180	You made the promise, and I'll quote it here, no veteran will be forced to fight their own
45180	48360	government for the support and compensation they have earned.
48360	56220	Yet you are still currently in a legal battle with veterans regarding equal support and
56220	58020	compensation to their peers.
58020	63560	Why are we still fighting against certain veterans groups in court?
63560	68540	Because they are asking for more than we are able to give right now.
68540	78620	They are asking for more than we, well, no, hang on, you're asking for honest answers.
78620	81680	The old veterans charter.
81680	86240	There was a non-traversity about a LGBT themed rainbow coloured poppy this year.
86240	89960	The initial story was that a student in Manitoba was suspended for opposing the introduction
89960	91740	of the rainbow poppy at her school.
91740	95200	The school refused to publicly comment on why she was suspended, but did make the claim
95200	97820	that they had no plans to introduce a rainbow poppy.
97820	102140	The student's side of the story was that her choir teacher wanted their choir to wear them,
102140	103140	and she refused.
103140	107420	She later began posting flyers around the school, the flyers pictured here, which the
107420	110540	school administration considered to contain hate speech.
110540	113880	And that is what actually earned her the suspension, not refusing the poppy.
113880	118280	The story was amplified by the student's aunt, who was a conservative candidate in the
118280	119820	recent Canadian election.
119820	123500	After this whole story went viral, the initial tweets were taken down, and an apology by
123500	124980	the aunt was posted.
124980	128220	Canada's media took this as a sign that the whole thing was just fake news, drummed up
128220	132060	by the student for attention, and by Rebel Media, the only news outlet that was actually
132060	133980	willing to interview the student herself.
133980	138740	But you know, I actually read that apology statement, and nothing in here says that the
138740	139740	student made it up.
139740	144620	Or even that she recants the message of her original flyer, just that her words were misconstrued
144620	149320	as anti-LGBT, when they were only meant to be pro-traditional poppy.
149320	153920	So maybe the kid lied, or maybe she had a different reason to put up those flyers.
153920	158360	Maybe it actually happened as she said, but the story got buried under the weight of cancel
158360	159360	culture.
159360	161320	Either way, it's not the first time that people have tried to make rainbow poppies
161320	162320	a thing.
162320	165320	You know, not everything needs to be about LGBT people.
165320	169200	There are other groups out there worthy of recognition, there are other causes to fight
169660	173940	But because this is Twitter we're talking about here, there's always that vocal minority
173940	178620	of brainlets who have to do that predictably subversive thing and talk about how bad the
178620	180920	soldiers are and how evil the west is.
180920	185260	Probably the best galaxy brain takes of the bunch are the ones where nations like Canada
185260	189760	and Australia are blamed as global imperialist colonialist powers.
189760	194580	Well alright my down under comrades, let the forcible exporting of maple syrup and kangaroos
194580	195580	commence.
195600	199680	The American variant of the holiday is Veterans Day, because America's gotta be special
199680	200680	like that.
200680	203840	And they've got even more of those loud idiots who think it's super cool to talk
203840	206240	about how much veterans suck on their own holiday.
206240	209760	This is the equivalent of me saying get back in the kitchen on International Women's
209760	210760	Day or something.
210760	213480	Probably the best take I've found so far is this one.
213480	215680	A coup in Bolivia for Veterans Day?
215680	218120	I guess that's on brand for the US.
218120	219480	Happy Imperialism Day!
219480	224580	Okay so very quickly, Bolivia recently had a referendum because its authoritarian leftist
224580	229920	president, Evo Morales of the Movement for Socialism party, wanted to extend presidential
229920	230920	term limits.
230920	233700	He'd already been president for two terms and his time was up.
233700	237920	When he lost the referendum on the subject, Bolivia's Supreme Court decided to extend
237920	239120	term limits anyway.
239120	242200	Morales subsequently ran again for president and won.
242200	246300	Independent Review revealed that the vote was essentially rigged, and the entire country
246300	247300	began to riot.
247300	251380	The military and police both withdrew their support from Morales, and he was forced to
251380	252380	step down.
252380	257280	As of just a few hours ago, Morales has received asylum in Mexico, while the remnants of Bolivia's
257280	259000	Senate is calling another election.
259000	262520	And every single Twitter socialist is calling this event a coup.
262520	266540	No, it only seems like a coup to you guys because you still don't believe that your
266540	269280	failed ideology is what destroyed Venezuela.
269280	270840	But we're way off topic.
270840	274080	Let's discuss the crown jewel of this year's Poppy Day.
274080	277980	Don Cherry Don Cherry is, frankly, a Canadian legend.
277980	282640	A former pro hockey player and coach, Don Cherry has hosted the Canadian show Coaches
