start	end	text
0	10520	A year ago, I did a video called The Identification with Evil, which on its surface was about
10520	15060	the new guy meme, while the actual meat of the video was about how the constant drive
15060	20000	towards equality that comes out of the left causes people to not only excuse evil, but
20000	25240	to become evil themselves, to advocate for and commit evil acts, because good and evil
25240	29700	are ideas that, when you boil it down, change depending on who's viewing the scene.
29700	33740	And there's no reason for them to privilege any one person's view over anybody else's.
33740	37860	Meaning, when your average person reads the original new guy comic, it seems like the
37860	42580	new guy is the good person in the situation, and the purple haired SJW midget is the evil
42580	43580	person.
43580	46760	When the new guy says, how would you like it if somebody stole from you, he's appealing
46760	48140	to a specific moral framework.
48140	52260	A society that values property rights will consider stealing immoral, no matter who's
52260	56140	doing the stealing and who the victim is, because you wouldn't want to be stolen from,
56140	57980	therefore you should not steal from other people.
57980	61700	Meanwhile the purple haired thinks it's okay to steal from Pewdiepie, yes the comic's reference
61700	66100	to when Pewdiepie's house got broken into, because he's rich, he's white, he's a gamer,
66100	67100	etc etc.
67100	71360	She has a moral system where these intrinsic qualities of the victim means that it's good
71360	72420	to steal from them.
72420	76220	The author of the comic herself is a social justice warrior, and she intended for the
76220	80420	new guy to come off as entirely unreasonable, the fact that the public's overwhelming reaction
80420	84900	to it was to side with the new guy, to the point that he became a meme, is a testament
84900	88760	to just how dislodged from reality the author actually was.
88760	90460	But what makes her wrong?
90460	94060	Why shouldn't we accept her position to be just as equal as his?
94060	96780	And no I'm not just bringing up an old meme for the fun of it.
96780	101460	If you spent any time on tumblr before the great migration from tumblr to twitter, you'll
101460	104960	notice that fandom communities are the most toxic things around.
104960	108820	If you like the wrong shows or movies, you're problematic and a bigot, if you play a video
108820	112780	game the wrong way, you're problematic and a bigot, ship the wrong characters together,
112780	117400	that is, believe that person X and person Y in the show or whatever would make a good
117400	120220	romantic couple, and you're problematic and a bigot.
120220	124160	Yesterday this thread went v- I knew you would lock your account, I was right to archive
124160	125160	this thread.
125160	129260	This thread went viral, and it's long and cancerous, but it's worth talking about.
129260	133780	This card does such a good job explaining why pro-shipping is bad holy shit, I am now
133780	138400	going to have to fill your brain with some absolutely useless information, I apologize
138400	139400	in advance.
139400	144880	Pro-shipping is when a person respects other people's fictional romantic pairings regardless
144880	147500	of their own personal feelings toward that pairing.
147500	153220	So for example, let's say you don't like the idea of Rey and Kylo Ren as a romantic pairing
153220	154760	in the Star Wars sequels.
154760	157720	Let's say personally you'd prefer that Rey get together with Finn.
157720	161240	Now let's say your friend prefers Rey and Kylo together.
161240	166160	If you're a pro-shipper, you are declaring that you will not harass your friend over
166160	171840	your difference of opinion regarding who Rey should get with.
171840	177380	This person is saying that pro-shipping, that lack of harassment over differences of opinion
177380	181320	regarding fictional romantic pairings, is a bad thing.
181320	186680	So this card does such a good job explaining why pro-shipping is bad, let's see their position.
186680	191120	I'm going to paraphrase it, because to be honest, my life is short enough already without
191120	194260	spending even more time reading all of this out to you.
194260	195640	Representation doesn't affect reality.
195640	198360	If that were true, representation wouldn't matter.
198360	203440	And if we accept representation in media matters, then representing, say, adults with children
203440	208520	like with loli art, normalizes pedophilic abuse and grants pedos platforms.
208520	212540	Therefore art actively harms victims and validates abusers.
212540	214180	People can ship who they want.
214180	216680	Why do you want to ship ancestor pedophilia?
216680	220660	Even if it's fictional, your ship of them says you justify those actions.
220660	226460	Letting people ship who they want justifies racist and LGBT-phobic caricatures.
226460	229820	And this is like people using memes to recruit kids to the alt-right.
229820	231640	I'm coping with my own trauma.
231640	234460	Then you should be sensitive of how your ship traumatizes others.
234460	235640	You're censoring us.
235640	240060	You dogpile creators and threaten them offline for making nessa and pokemon the wrong shade
240060	241060	of brown.
241060	245700	If you use your artistic expression to say bad things, it is only natural to deplatform
245700	246700	you.
246700	250900	Considering our righteous anger as abusive is an alt-right dogwhistle.
250900	255260	Because racists who commonly present their racism always claim the moral high ground
255260	258020	over bipoc people who are angry at their racism.
258020	260020	It's not my responsibility.
260020	264220	You expect traumatized people to jump through hoops to avoid being retraumatized?
264220	266180	No the onus is on you to self-censor.
266180	271140	I'm only ironically racist for the memes leads to it's only fictional pedophilia
271140	275940	and incest and rape leads to it's only online white supremacy.
275940	281340	Therefore we should stop it all at the source.
281340	286300	Maybe you noticed while I was going through all that but on some level both sides of this
286300	290660	argument are cancerous and the correct response to the whole thing is fuck off.
290660	295180	It's certainly weird when an artist draws loli and I don't approve personally but
295180	297300	I would never censor somebody who does it.
297300	298700	How did we get to this point though?
298700	303020	Where the types of art you consume or create are not only a barometer of whether or not
303020	307540	you're secretly a bigot but actually it's own vector of oppression like race or gender
307540	308540	or class.
308540	312300	Let's go back to the source, what is the philosophical underpinning for legal equality
312300	314140	between people of different races?
314140	318300	Well in the western liberal sense it's that being of another race, let's talk from
318300	322580	an American perspective and use black, it's that being black is an immutable characteristic
322580	325680	and doesn't directly affect the behavior of the individual.
325680	329280	So it would be immoral to treat white and black people differently as neither of them
329280	332980	can help what race they are and it doesn't actually matter in the end as long as they're
332980	334520	behavior is the same.
334520	339880	This same logic was used in my opinion correctly to advocate for gay marriage, again being
339880	344580	gay is an immutable characteristic and doesn't directly affect the behavior of the individual.
