start	end	text
0	9800	I've been too busy with E3 the past couple of days to notice that the hashtag I stand
9800	14080	with Scott has been trending on Twitter, and I'll just say, boy is it nice being off
14080	15080	Twitter.
15080	18280	Every time I step away from that place I realize exactly just how much of a shithole it is.
18280	20560	Maybe one day I'll make my departure permanent.
20560	24680	But this trending hashtag refers to indie game developer Scott Cawthon.
24680	28760	Cawthon has a long history of making games that nobody ever played or knows about, before
28760	33000	finally coming to prominence in 2014 for creating the cult hit Five Nights at Freddy's.
33000	36840	For those of you who don't know what Five Nights at Freddy's is, maybe you're a boomer
36840	40500	or you don't play video games or something, it's a horror game where you play as a night
40500	45220	shift security guard at a Chuck E. Cheese style pizzeria with playgrounds, party rooms
45220	47400	and animatronics used to entertain the kids.
47400	52000	But between midnight and 6am the animatronics come alive and slowly begin to make their
52000	53660	way towards the security booth.
53660	57760	You can't leave the office but you do have access to a tablet that displays various security
57760	62120	camera feeds, and you also have control of the lighting and locking mechanisms of the
62120	64060	office's two doors.
64060	68280	Using any of these tools, the camera, the lights, or keeping the door locked, will drain
68280	69280	your power.
69280	72200	And if you run out you're as good as dead, so you have to use the camera to see when
72200	73680	the animatronics are approaching.
73680	76480	Use the lights if you can't find one on the cameras and you think it might be down one
76480	80040	of the two visible hallways, and then lock the doors if they're close.
80040	84640	Once you strip away the horror and meme aspects of the game, it's ultimately a quasi-tower
84640	88520	defense resource manager, where you're unable to leave one location and only have a limited
88520	92260	amount of juice to fend off attacks, meaning the point of the game is learning how the
92260	95760	animatronics attack you and how to efficiently defend yourself.
95760	98340	Watching the clips I've included in the video, it's not hard to see how this game
98340	102080	garnered a cult following and basically made Cawthon's career, right?
102080	105360	The characters are simultaneously a little bit cute and extremely unnerving.
105360	108200	The premise is unique, or at least it was in 2014.
108200	112400	The horror is well done, and the amount of deep lore and hidden easter eggs buried in
112400	115800	the game helped spur interest long after the game's release.
115800	119120	And on the technical side of things, because the majority of the game's files are still
119120	124000	images, the game is tiny, cheap, and easy to run on even old computers.
124000	127560	It's no surprise that a full franchise came out of it, as fans fell in love with the game
127560	131600	and streamers and YouTubers made careers out of autistically dissecting everything Cawthon
131600	132600	released.
132600	134360	So, what's Scott Cawthon getting cancelled for?
134360	136320	Oh yeah, I didn't even mention this as a cancelling event.
136320	137520	Yeah, it's a cancelling event.
137520	139280	That's what the hashtag is all about.
139280	141740	His supporters are using it and the progs are trying to co-opt it.
141740	143140	But here, here it is.
143140	146100	Here is the gravest sin of Scott Cawthon.
146100	147580	He is a Republican.
147580	149020	Dun dun dun.
149020	153100	More specifically, he voted for Trump and donated to various other Republican politicians,
153100	156500	as well as Democrat Tulsi Gabbard, all of whom the left consider to be anti-LGBTQ.
156500	160680	I don't know why this information is coming out right now, because political donations
160680	161680	are a public record.
161680	163740	Maybe it's just that nobody'd thought to look up his name before?
163740	166900	In any case, the tweet is trending and people are outraged.
166900	168740	Including the usual bread tube suspects.
168740	173500	Listen guys, don't go feeding people that bullshit line that wokeness isn't leftism,
173500	175500	it's actually radical liberalism.
175500	178980	Here you are and you're not libs, you're a big reason why leftism is fucking cancer
178980	179980	right now.
179980	183980	And of course, there are a ton of brain dead twitter takes from people with rose emojis
183980	187540	or hammer and sickles in their bio that we could go over, but we're not doing that
187540	188540	this time.
188540	190900	I'm sure you can just imagine them in your head at this point and you'd probably be
190900	191900	largely accurate.
191900	195300	You know what these NPCs are saying before we even look at the hashtags, let's not even
195300	196300	bother.
196300	198140	This time, I'm going to take a slightly different approach.
198540	202340	Instead of looking at twitter cancer, let's look at tiktok cancer.
202340	207980	Please do not buy the BTS meal if you don't stand them, you're preventing actual BTS
207980	211820	fans who have waited for months for having the BTS meal experience.
211820	216220	Eating the sauces without understanding their significance is literally cultural appropriation
216220	217540	and it's not okay.
217540	222420	If you don't know what the fuck she's talking about, BTS or Bangtan Sun Young Den or Bangtan
222420	226780	Boys is a Korean boy band and McDonald's is currently having a promotion related to
226780	227780	their band.
228420	231340	I find the Korean boy band thing to be pure cancer.
231340	235660	But the important point here is that she called the consumption of the promotional material
235660	240660	cultural appropriation and by the widest definition of the Prague's own rules, she's technically
240660	241660	not wrong.
241660	246420	BTS stands are a subculture and if cultural appropriation is consuming a part of a culture
246420	250340	without fully understanding it, then eating the meal without liking BTS is definitely
250340	251600	cultural appropriation.
251600	255500	This is an idea I covered more fully in my consumption as identity video where the main
255500	259060	thesis was that there's been a subtle shift in how people approach collective identity.
259060	262700	Before if you identified as having an immutable characteristic, like if you were publicly
262700	267060	gay or something, the immutable characteristic was something that you could be discriminated
267060	271200	against for and shouldn't be because, well, it's an immutable characteristic.
271200	273180	It's not your fault you were born this way.
273180	277500	But nowadays, if you identify as having an immutable characteristic, it's the identification
277500	281340	not the immutable characteristic that is considered the linchpin for discrimination.
281340	284940	Eventually this became a demand for any identity at all, whether or not it had an associated
284940	289620	immutable characteristic, to become a protected class as long as that class contained a collective
289620	292020	of people with the proper political opinions.
292020	295780	Which is how you get ridiculous hypersensitive individuals demanding that you play choice
295780	300460	based video games according to their specific headcanon or only ship specific characters
300460	302700	in a fandom or else it's bigotry.
302700	306300	And of course, by this standard, eating the BTS McDonald's meal without being a fan
306300	307980	of BTS is oppression.
307980	312080	I'm bringing this up in the context of a video about Scott Cawthon to make a specific
312080	313080	point.
313080	315920	There are a handful of other games that are kind of like Five Nights at Freddy's, not
315920	319360	in that they're horror games but animatronics, but rather because they're all games that
319360	324200	heavily resonated with gamers, inspiring works of art or remixes of music, creating entire
324200	328100	communities generally centered around Twitter or Tumblr, and launching the careers of streamers
328100	330300	and YouTubers who obsessively play the game.
330300	335440	The other games with fandoms like this include, most recently, Among Us, but also Minecraft,
335440	340600	Undertale, Doki Doki Literature Club, and to a lesser extent, Hollow Knight and Stardew Valley.
340640	344640	These are all indie titles that didn't have the backing of any major publisher but ultimately
344640	349580	massively blew up, raking in millions of dollars, launching careers, and influencing the whole
349580	350620	of gaming.
350620	354780	These are all also games that have generated a specific type of toxic fandom, filled with
354780	359780	extremely left-leaning people who near universally support a wide range of both progressive and
359780	365820	socialist ideas, who are simultaneously also extremely sensitive, irritable, and entirely
365820	367660	insufferable to be around.
367780	371140	And these fandoms are filled with these types of people, specifically for the reason that
