start	end	text
0	2660	This is going to be one of those Dev Thinks videos.
2660	7100	No goofy TikToks, no ridiculous headlines, no Twitter morons, at least for the most part.
7100	10000	But we can start off with a bit of drama to get the ball rolling.
10000	29600	["The
30600	34000	This has led to many, many long hours of discussion on the topic.
34000	36200	Not all of it is necessarily worth watching, frankly.
36200	38800	No offense to either of these guys, but this is a lot of dead horse beating.
38800	43200	For the sake of brevity, I will give you the clip that I think encapsulates the situation perfectly.
43200	50000	So they'll be like this position, this position, this position, this position, this, this, this, this, this, this, this, this.
50000	55800	So these are like the political positions that people have, and these are the things that I'm most interested in arguing with.
55800	56800	This is what I want to fight about.
56800	60500	I want to fight about what you think about that, or what you think about this, or what you think about that.
60500	65700	But people seem more concerned with like, can we group all of these together and call them this?
65700	68700	The problem is that this is one definition of Nazi.
68700	70300	It might include these traits.
70300	72200	Here's another definition of Nazi.
72200	74000	It might include like these traits.
74000	76800	Here's another definition of Nazi.
76800	79000	It might include like these traits.
79000	80400	Here's another definition of Nazi.
80400	82300	Might include, eh, we'll say these traits.
82300	83800	Maybe it encompasses something else here.
83800	87000	And people are fighting over like, what's your definition of Nazi?
87000	89700	And this is, this is the entire conversation of the sub.
89700	90300	Is it this?
90300	90900	Is it that?
90900	91200	Where?
91200	92600	Why would you call him this if he meets it?
92600	94900	If he, well, he did this, he said that, and he did this, and he's like, okay, hold on.
96700	99000	I don't, I don't care about any of this.
99000	100700	I just want to focus on these things.
100700	101600	This is what I talk about.
101600	102700	This is what I do.
102700	107800	I'm not interested in like giving you a particular political label or assigning you or ascribing to you some shit.
107800	113600	I don't really care because the problem is that when I use this definition, let's say that I define Nazi like this.
113600	122100	Okay, what you really want is you want this and this thing right here is your moral condemnation.
122300	123700	That's what you're looking for.
124100	129200	People are looking for this thing, which is bad Nazi bad.
129400	130500	This is what you want.
130800	140500	And the problem that people are running into, you might not realize this, but the problem that you're running into is that I'll talk about this and I'll talk about that and I'll talk about this and I'm at and you're like, no, no, no, no, no.
140700	142100	I need you to call him a Nazi.
142600	146100	And when you call him a Nazi, you're pretending that it's because we'll look destiny.
146200	150000	He's got this and that and that and that is, you know, see, you don't care about that though.
150200	152400	What you really want is you want this.
153100	153700	That's what you want.
153700	155100	You want the moral condemnation.
155100	156300	That's all you're concerned about.
156300	159000	And this thing here is the last thing in the world.
159000	167000	I care about I don't give a fuck about this thing because to include this thing already excludes anybody that would consider themselves any of these things.
167100	169000	They're necessarily not going to see themselves as evil.
169100	171200	They're obviously because they are they believe these things.
171600	181400	But it's telling because we'll agree on this and we'll agree on that and we'll agree on this and we'll agree on that and then you'll get mad pretending that I'm not grouping these things together.
181400	182800	You're like, why would you just call him a thing?
182900	185500	It's like, well, who why do you care if I if we already agree on this shit?
185600	186900	Why do you care if I call him a thing or not?
187000	189600	And like because you're obfuscating because you're hiding what he really is.
189900	191000	Well, what am I hiding?
191100	195200	If I agree on this tell me for Nick Fuentes and this would be a challenge to the subreddit.
195300	200800	What am I hiding about Nick Fuentes when I'm calling him this this or this or this or this and the answer is like, well, you won't call a Nazi.
200800	207000	Why do you care if I don't call him a Nazi if I identify with this person and the real reason is because you want this you want this here.
207200	210100	This is what I'm hiding by not calling him a Nazi.
210200	212700	I'm not including that he is evil or bad part.
