start	end	text
0	7720	So, Naomi and I have recently been watching The Orville, yes, I know, and the episode
7720	9580	Majority Rule came up.
9580	14360	Majority Rule features a planet with a 21st century level of development, ruled by an
14360	16600	absolute democracy form of government.
16600	21660	In other words, every single bit of government action is decided on by referendum, and because
21660	26360	the entire planet consists of one nation state, every single person can cast their vote on
26360	27620	every single topic.
27620	31860	In their culture, the truth of a subject is whatever won the popular vote.
31860	35940	And just in case you really needed the cultural commentary hammered home, every single person
35940	41720	is legally required to wear a badge on their shirt consisting of upvote and downvote buttons
41720	59960	that other people can push if they've done something good or bad.
59960	64000	Politicians are seen on TVs in the back under the episode, hitting up talk shows in order
64000	65720	to pitch their ideas to the public.
65720	70400	However, this process governs not only the creation of law, but also its application.
70400	74920	A picture of two men on a bus not noticing that they should be giving up their spot to
74920	77720	a pregnant woman beside them goes viral.
77720	81160	These men subsequently receive over a million downvotes.
81160	84840	When they reach 10 million, one of the men is corrected.
84840	87360	The other decides to run and is shot instead.
87360	90360	Okay, so this is Seth MacFarlane's show here.
90360	94480	This isn't exactly the deepest examination of our social media centered culture.
94480	96640	I think we all understand what's going on here.
96640	100940	In fact, I was personally more reminded of China's social credit scheme, where people
100940	105660	who don't act like good citizens have their rights restricted, even if they haven't actually
105660	108620	broken any laws or done anything immoral.
108620	113560	The radical left seems to believe that a social credit type system is a needed component in
113560	117960	the West, which is a topic I've already covered, and is also probably why they regularly praise
117960	119400	China for implementing it.
119400	125880	It's also why their arguments always boil down to, it's not illegal, but, or it's free speech,
125880	129400	but they don't understand that we don't want the state legislating morality, not only
129400	133240	because of the subjective components of morality, but also because of what the government after
133240	135400	they leave office will do with that power.
135400	139720	There's a lot of things that are, and should be, both immoral and still legal.
139720	143620	Hell, there are things that are unhealthy, yet still legal, and should be.
143620	147600	But the ending shot of Majority Rule features a character, having changed her mind about
147600	151320	her planet's system of governance after her encounter with the Orville's crew, turning
151320	154580	her TV off and refusing to participate in the voting system.
154580	157880	And at the beginning of the episode, she was happy to do her part in sentencing the
157880	161460	two men for correction without even knowing their stories, admitting that she just did
161460	171260	it because they look creepy.
171260	173720	The parting message, to me, is obvious.
173720	175540	Social media is rotting all of our brains, sure.
175540	180060	But more importantly, that mob rule is a terrible way to run things, and never actually meets
180060	181060	out justice.
181060	185780	The truth isn't defined by majority opinion, or by the opinions of those in power, or even
