start	end	text
0	4960	What is a reactionary? That is the topic for today's video.
4960	7360	And it's something I've been mulling over for a couple of months.
7360	9200	I mean, not consistently, but you know what I mean.
9760	12960	Back in April, I did this video, the new counterculture.
12960	17360	It was basically a video about how punk, you know, the music, the aesthetic,
17360	20960	the scene was primarily about being irreverent
20960	23920	and therefore did not have any particular political slant.
23920	26960	You can be irreverent towards the left, you can be irreverent towards the right,
26960	28960	you can be irreverent towards anything.
28960	32720	If your goal is to make somebody who is overly sensitive clutch their pearls,
32720	35120	that is rather apolitical in the end.
35120	40480	And the video was basically about how there's been a lot of radical left astroturfing of punk,
40480	44400	conveniently forgetting that the 90s had a lot of Nazi punks in fact.
44400	48320	But this video led Vosch, who I guess he's a punk, I don't know,
48880	52640	to make a counter video to it, to be a reply girl in fact,
52640	56720	and call me a fascist, I think maybe also an alt writer or a Nazi, I'm not sure,
56720	59360	but definitely called me a reactionary, you know,
59360	61920	reactionary conservatism or something along those lines.
62560	64880	But basically the term reactionary was used quite a bit,
64880	67120	which made it all the more funny when he ended the video with,
67120	68800	you know, if this guy wants to come talk to me, it's fine.
69440	72640	Yeah, uh, when you poison the well that badly,
72640	75440	I don't know if that's really a conversation in good faith.
75440	78240	But my point is, as soon as Vosch made his video,
78240	81760	a whole bunch of his fans decided to start posting comments on mine,
81760	85520	and they all used the same terminology, reactionary.
85520	87200	Here's Master Adam 100,
87200	89680	we have a word for people who consider themselves punk,
89680	92960	but think it only means to offend people in general, posers.
93520	95840	Punks punch up, not down.
95840	99440	Reactionary conservatism is literally what punk stood against from the beginning.
100160	103440	I asked, what do you mean by reactionary, and they didn't reply.
103440	106800	But of course it's the whole punks punch up, not down thing,
106800	108800	because it's all about power politics to them.
108800	112240	It's all about one set of rules for thee and another for me.
112240	114480	No bad tactics, only bad targets.
114560	116400	As any good radical would say.
116400	120800	I feel as though the tone driven by this video is very reactionary.
120800	124640	I say that because for a while I would frequent KIA or other boards,
124640	128480	and genuinely I don't think of them as hotspots for incel extremism or whatever,
128480	131520	but they do complain in a similar way about people they have a problem with.
131520	134240	Hey look, more reactionary YouTube filth.
134240	136640	And it's always a treat when somebody hates you so much
136640	138560	that they bleed over into your other avenues.
138560	140720	This comment wasn't even left on that video,
140720	144320	but in fact was a reply to my playing Hollow Knight on my gaming channel,
144320	146320	calling me a dull reactionary.
146320	148880	He, of course, also refused to define the term.
148880	151520	Well I'm sorry that I didn't redistribute my geo, dude.
151520	153200	This guy ends his post with,
153200	156000	sorry this is a bit rambly but I'm high as shit right now,
156000	158960	and to that I say, yeah I think we can tell.
158960	161440	You seem to really misunderstand punk and its politics.
161440	164080	Firstly, you are describing liberals, not leftists.
164080	167200	Just because they are somewhat tolerant on social issues,
167200	171760	and might want a slightly increased welfare state, does not make them leftist.
171760	174480	I actually agree with that, which is why whenever the right says,
174480	178320	those damn liberals are, no, no, liberals are the center.
178320	183040	I suppose the internet right, the incels, the alt-right, the alt-light, etc,
183040	188240	could be considered counter-cultural, but only in the same way as the Nazi punks of the 80s.
188240	192560	Against the mainstream, but acting as reactionaries, not revolutionaries.
192560	195200	You seem to be seeing current social issues,
195200	198240	and instead of confronting them and going forward,
198240	201360	wanting to instead go backwards to a previous time,
201360	205040	where they were less present, but instead other issues were present instead.
205040	208240	And then to say we did manage to move society back to that time,
208240	212800	what is to say the same forces that led us to the present, won't act again, creating a cycle.
213360	217520	What I'm trying to say is, the main politics of punk was anarchism,
217520	223360	and that real anarchists still exist, and we need to organize to create the world we desire.
223360	226560	Okay, real anarchists need to organize.
226960	234560	I hope everyone else finds that as funny as I do, every single time I fucking read it.
235760	241200	But it's this comment that really shows off the problem behind the phrase reactionary,
241200	242720	especially how these people use it.
242720	248400	This guy characterizes politics as going forward or going backwards, assuming that there is a
248400	252080	correct political path for human advancement, when there actually isn't.
252080	255040	Left wing is not forward, right wing is not backward.
255040	258640	And even though time may be linear, politics isn't.
258640	261920	I mentioned this on a podcast that I was on a couple months ago,
261920	264720	and I'll be back on it again by the way, in a couple weeks.
264720	268240	It was British Knights podcast, if you know the YouTuber.
268240	273920	But basically, on that podcast I mentioned that a lot of these people have an oversimplified view of
274880	279120	human advancement, whether it's technological, political, philosophical, whatever.
279120	282000	They believe it works like a skill tree in civilization,
282000	285520	where you just level up and choose the next path and it's all kind of linear.
285520	287440	But that is absolutely not how it works.
287440	289760	In the same vein, he uses the phrase acting like
289760	292400	revolutionaries under the assumption that that is inherently good,
292960	296880	and acting like reactionaries under the assumption that's inherently bad,
296880	301280	when there are plenty of examples of bad revolutions and good reactions.
301280	302720	And I'll get into that in a little bit.
302720	305760	This is not a video about calling out shitty commenters, I swear.
305760	307200	I'm using these to illustrate a point.
307200	308400	And this is the last one.
308400	310640	I pinned this comment on the video for a reason.
310640	314000	I'm sorry, name the date we stopped bombing the shit out of the Middle East.
