start	end	text
0	2000	Mediator or menace?
6840	11960	Hello ladies and gentlemen, welcome to the right opinion the home of a twat with too much free time and dr. Phil
11960	16480	He's been making the YouTube rounds recently. Don't worry. I'm not going to go triggered Trone here
16480	21440	This will be the right opinion that you all know and love slash hate which quick PSA by the way
21440	23640	I'm the superior Tro no question
23640	24440	But anyhow
24440	30760	We're going to take a dive into the culture itself that yields the man who has been the subject of so many videos of interest
30760	33600	In the months of recent dr. Phil, dr
33600	40360	Phil is the American talk show created by none other than the great Oprah Winfrey and hosted by Phil McGraw it began airing in
40700	42440	2002 with the concept of dr
42440	49520	Phil talking about various topics and often drawing on individual experiences with the use of everyday people as their guest to illustrate that is still
49520	52440	Going strong to this day and with the recent trend of content made on it
52440	56480	I'm sure it's not going to die anytime soon. So he might as well get used to it now
56480	60360	I can't speak too much in depth about the old shows but looking into the current repertoire
60360	62720	What generally happens is that most of the time dr
62720	64520	Phil tends to have some very irrational
64520	71460	Individuals appearing out of very exceptional extreme cases and tries to make sense of their behavior. It is important to note the dr
71460	75000	Phil in spite of the criticism that he receives is a qualified clinical
75280	81800	Psychologist to my understanding and generally speaking does behave with enough decorum that you would expect someone of that stature to behave with with that
81800	85920	said the issues that have been presented on the show are quite black and white and although dr
85920	87300	Phil may attempt to make sense of them
87300	91820	He is a lot more upfront than many psychologists in the field typically would be generally though
91820	98340	Although there are certain preferred methods of counseling. There is no unanimous consensus as long as he acts within the ethical guidelines
98340	105200	He definitely has a few gotchas which probably don't endear the subject and he also has inclusions that enhance its entertainment value over
105200	109660	Welfare of the individual but at the end of the day given the fact that the individual may be behaving somewhat
109780	114980	Immorally those sorts of one-liners and comments can serve as a counterbalance in that scenario on top of that
114980	116660	It's probably what also kept it on air
116660	121260	I feel that many people don't watch beyond the base value that it can provide you don't really watch dr
121260	128020	Phil for its educational value with that said it does have a softer edge to it than I mean in England where our equivalent is
128020	134100	The Jeremy Kyle show which involves Jeremy Kyle calling people disgraceful and acting disgusted or some sexually frustrated
134380	136580	Fella with no front teeth is sat on the couch
136580	142940	It's not a show that enhances people's lives to say the least so comparatively dr. Phil probably does a better job there
