start	end	text
0	13860	Hello ladies and gentlemen, and welcome to Right Opinion, the home of a twat with too
13860	17660	much free time, and businesses on YouTube. Whether we like it or not, they're here
17660	22340	to stay, and in many cases, I try not to view their presence as a wholly negative one. It's
22340	26560	important to remember that one of our primary purposes as creators is to bring entertainment
26560	30300	to those who use the platform, and if a channel can do that, whoever it's run by, then we
30300	34580	can broadly agree that it's a net positive for audiences. Businesses will always occupy
34580	39020	a realm of YouTube, and I do believe there can be a peaceful coexistence. At the same
39020	42980	time, there will always be tension. To be honest, it's understandable why more grassroots
42980	47140	creators feel unnerved by their presence. Businesses have so much more power and resources
47140	51240	at their fingertips to outflank independent YouTubers in many aspects of quality control.
51240	54900	They can create high production pieces in a few days that would take an individual upwards
54900	58600	of a month, bombing the algorithm with a myriad of content that often gives what many
58600	63120	would perceive an unfair advantage to them against the humble creator. When market domination
63120	67120	comes from a few large corporations, the outcome for the consumer is generally not particularly
67120	70920	positive. It leads to less diversity in general, and more control of narratives by a select
70920	74560	few people, and in industries that are already prone enough to corruption, it's anything
74560	78380	but healthy. YouTube was built on the notion of allowing a person to broadcast themselves
78380	81840	without the necessary investment of a larger business so they didn't have to dance to
81840	85260	anyone's tunes, and many people would like to keep it that way. Fortunately, there will
85260	89060	always be people who will occupy these spaces regardless of their market success, but at
89060	93220	the same time, it's still good to have individual figures in influential positions who can represent
93220	97100	a human aspect to content creation, and although businesses have certainly made more inroads
97100	100140	on the platform than they used to, there will always be that window of authenticity that
100140	104620	seems to separate many of them from the personally driven passion projects. The truth is, one
104620	109340	thing that is hard to fabricate is that individual enthusiasm one has for a subject they cover,
109340	113480	and although not impossible, many large businesses simply don't see it as a required component
113480	118760	for success, and as channels like Looper, Minit Crafts, whatever they're called, and
118760	123080	the rest have shown, you really don't need that much framework on personality to succeed.
123080	126860	In fact, avoiding building any personal image ensures that they keep any components that
126860	131120	may change disposable, and that ultimately, control of the content is still centralised
131120	134960	on the people who run the channel, and not those they may outsource a variety of the
134960	138480	work to. This formula means that there is a boundary before more independent content
138480	142620	and more detached corporate presentations, however, just because there's a rule doesn't
142620	147360	mean that there aren't exceptions, particularly in the community we're focusing on today.
147360	151480	Commentary is genre that large corporations tend to avoid infiltrating, particularly given
151480	155880	the aforementioned paragraph. Having a personality is almost essential to the content you're
155880	159780	producing, even if you're merely presenting information, viewers expect at least a little
159780	163620	pizzazz. Audience members want to build a relationship based on trust with the person
163620	166680	they're listening to, how can you do that when you don't even know if there's a real
166680	170080	person behind the channel? However, this doesn't mean that there aren't some willing
170080	174720	to take the risk, and one subgenre of commentary knows this all too well, that being the Tea
174720	175720	community.
175720	181880	A popular YouTube channel is about to hit 1 million subscribers, they showed up, out
181880	186760	of nowhere, almost a year ago, and the people want to know, who is Spill?
186760	190600	A few years ago, there was a drama in the community that surrounded a channel called
190600	194880	Spill. Spill is a channel that hosts numerous videos with high production value and an astonishing
194880	199400	upload schedule given those said videos. They also hosted a syndicate of channels alongside
199400	204360	Spill, including Brew, Grill, and On The Hill. I'll speak more about them in the future,
204360	208600	but a video they uploaded covering their origin at the time had made them seem more homegrown
208600	209760	than they actually were.
209760	214680	Spill started out as a two-person passion project, one of us has a background in journalism,
214680	219100	the other has a background in illustration and video editing. We both love YouTube news
219100	223720	and drama, who doesn't? We wanted to create a channel that had a more journalistic approach
223720	229200	to YouTube drama, a thorough recap of all sides of a story with proper citations. On
229200	233900	top of that, we wanted to give something back to the community by contributing to the conversation
233900	238360	with an educational approach. And while a lot of people choose to do creative projects
238360	242960	while being self-employed, as soon as more than one person is working on a big project
242960	247000	together, it's legally the best option to register as a corporation.
247000	251360	The reality was that Spill and their accompanying channels were part of a larger company that
251360	255040	had branched out into the tea community, and although people involved with the channel
255040	258480	were actually quite interested in the stories that they covered, they weren't exactly
258480	262600	how they portrayed themselves, and that gave some in the community reason for pause.
262600	276360	Spill- So my question to you is pretty simple, who are you going to believe? Spill saying
