start	end	text
0	5560	Hello, ladies and gentlemen, and welcome to The Right Opinion, the home of a twat with
5560	10580	too much free time, and today we're going to my favourite genre of all, music.
10580	14280	Because your boy here, he loves the tunes, it's pretty much what I'm raised on.
14280	18040	As I write this script, I'm actually currently listening to Mary's Prayer by Danny Wilson,
18040	21880	wasn't sure about it at first, but I'll say, sophisticated pop songs do tend to grow
21880	22880	on you.
22880	27280	Unfortunately, today's topic won't be exactly focusing on my adoration for music, no, today
27280	31640	we will be talking about a person called Austin Jones, who decided to take advantage
31640	34560	of the clout given by such a blessed industry.
34560	38920	However, to open this, I will at least be discussing some media related elements, because
38920	43940	music is a unique industry for so many reasons, and it generates so much creative variety
43940	46460	that is out there, particularly in the last few years.
46460	50280	As the internet has become increasingly prevalent in the distribution of content, we've seen
50280	54980	a real wave of music become popular that otherwise wouldn't ever have the chance.
54980	58720	There is a lot of music that originates from YouTube, I've spoken about this before,
58720	63820	but you have some teen boy, swooshed hair, bent over his acoustic guitar, staring into
63820	68380	the camera, singing a sincere song about how much he wants to hold you, and suddenly their
68380	72420	subscriber count explodes, regardless of how good the music actually is.
72420	76500	But at the same time, you have to give credit to the musical achievements that YouTube has
76500	82060	provided, from the early days of Chocolate Rain, to repopularising that weird trollolol
82060	83060	song.
83060	88020	We haven't seen such a wave of unique music since the early 1990s in many ways, it's
88020	92440	just unlike then when we had music blasting onto the scene with great furor, the modern
92440	97060	wave has been mostly downbeat, and mostly pretty depressing, and therefore it's never
97060	101220	felt like a huge shock, more just like a musical cigarette.
101220	107300	This is where we introduce the subject of today's video, Austin Jones, the blonde haired,
107300	109940	blue eyed, dreamboat.
109940	114500	But no, he's not just a pretty face, he's also a predator, and we're not just talking
114500	118900	about allegations here, he's pleaded guilty in court, this is all fairly certain at this
118900	119900	point.
119900	123780	Austin Jones himself is a 26 year old musician, fresh out of Illinois.
123780	128300	He wasn't the most identifiable of personalities, but he was clearly popular enough to amass
128300	133380	well over 500,000 subscribers, we don't know the exact amount as his channel was terminated
133380	137460	recently following his court case, but it was enough to make him matter.
137460	141940	Predominately he was a musician who typically focused on covers, original music, and also
141940	146820	acapellas, and making a fairly hefty career out of it, which we'll talk about later.
146820	152220	However he also did certain videos that I assume were to create a bond with his audience,
152220	156140	most of which are now unfortunately lost to the vaults of time, but nonetheless I think
156140	161500	we can take the remains and put the pieces back together and create some sort of picture,
161500	164500	and discuss that bond and how he exploited it.
164540	169340	Austin started his career in 2007, and although it certainly took a while to gain traction,
169340	174020	his continuous run of constant uploads and running off the popular genre paid its dues,
174020	176160	and gradually his videos gained traction.
176160	181160	This gave him more leverage to experiment with, and at some point he did these acapellas,
181160	185600	which were what really bolstered his career, and eventually his content ended up amassing
185600	191100	over 33 million views in total, alongside the sub count we discussed earlier.
191100	195720	Much in lieu of my other video on the TikTok predator the budday, this video will be unpacking
195720	199540	some of the build up, the abuse of power, and the subsequent moves he pulled out to
199540	204620	evade backlash, and indeed pull an almost unbelievable turnaround after a situation
204620	208700	that really could have finished his career, in fact the only thing that stopped him in
208700	211140	the end was the heavy hand of the law.
211140	216180	I remember when I first heard about this situation a couple years back in 2017, I wasn't making
216180	221100	content that remotely resembled the work I was doing today, but either way, I dismissed
221100	222100	him.
222100	225700	You know, he's gonna get what he deserves, I'm thankful that actually he's not gonna
225700	230620	be around, and to an extent that's true, he was a disgusting twat, but that was not the
230620	235860	end of it, no, and now with these new developments, we're about to find out why, and investigate
235860	237880	some deeper discussions beyond that.
237880	241700	You see, although the attention on him has been widely pursued in the last two years,
241700	246020	there have been people trying to bring attention to his behaviour since 2015.
246020	250640	Many of these attempts to no avail at all, with the most being a non-apology in which
250640	255580	Austin only demonstrates more of his manipulative tendencies, the years after were not just
255580	260260	successful for Austin, they were his most successful, and that's what I find deeply
260260	265860	troubling, and I think it's time we understand how exactly that happened, and how he loved
265860	267980	to abuse his power.
267980	273060	So without further ado, I suggest we pursue the curious case of Austin Jones.
297980	322880	In many ways, what we see with Austin Jones is a classic ascension to power.
322880	327880	He is the epitome of a teenage heartthrob, in that he represents the sort of lovely accessible
327880	331540	idol who is there for you, who understands how you feel.
331540	335320	Now unfortunately, or fortunately depending on your perspective, as his channel is no
335320	339340	longer in existence, we have to take what little archive knowledge we can obtain, but
339340	344380	I don't think it's too difficult to completely break down exactly why he found himself in
344380	345900	a position of power.
345900	350860	Firstly he was a YouTube OG, he set up his channel in 2007, he was allowed to excel on
350860	355900	a platform with less competition, and he was also ahead of the curve in many aspects.
355900	360820	YouTube exploded as a platform for actual professional musicians a few years after,
360820	363380	and Austin Jones was already there putting up covers.
363380	367960	Now his covers typically did well, appearing to exceed the number of views to the subscribers
367960	372240	he had fairly impressively, but as we well know, typically making covers isn't the
372240	374600	only way to hold on to the audience you have.
374600	380120	But you see, Austin Jones had the looks, and he also had the eye contact, and he also had
380120	381720	the choice for songs.
381720	382720	What do I mean?
382720	388180	But let's talk about One Direction, one of the most prolific boy bands of the 2010s.
388180	390160	Why were they so successful?
390160	394040	Well because of the young, impressionable teenage girls, but also because of how they
394040	395200	marketed to them.
395200	399060	Now one of the things that you become extremely aware of if you've listened to music in
