start	end	text
0	16000	Hello ladies and gentlemen, and welcome to The Right Opinion, the home of a twat with
16000	20360	too much free time, and honestly, weight is not something I've touched on that often,
20360	23840	despite it being a pretty common topic in discussion all over the internet, because
23840	27540	in case it hasn't been apparent, the whole concern surrounding obesity has been one of
27540	32300	the problems arising over the last few decades. With a shift in culture made by many people,
32300	36380	it appears that access to consumption and sedentary lifestyle has created what many
36380	41620	view as an epidemic, particularly in countries like the US where obesity has ballooned. There
41620	45900	are many reasons for why this is considered to have happened, and there are many hypotheses,
45900	51700	but at the end of the day, what we can confirm is that obesity exists, and with the existence
51700	57380	of fat people comes the existence of fat YouTubers. Obese, overweight YouTubers are nothing
57380	61040	particularly new. You're dealing with a platform that is based online, many people
61040	64940	on the platform aren't the most active, and some people might even find appeal within
64940	74580	their great weight. However, from this transpired a new genre, this mainly revolved around weight
74580	78780	loss. The reasons should be fairly obvious, we as viewers typically look for some element
78780	82260	of ourselves in the creator, whether that's something we currently have, or whether that's
82260	86500	something we aspire to be. Now, when you have a weight loss YouTuber, this is someone that
86500	91140	we should follow their journey with, we find inspiration in their progress, maybe you're
91140	95120	an overweight person yourself, but at the same time you're an introvert or an agoraphobe,
95120	98680	and you don't want to show your body at a Weight Watchers meeting. Maybe those people
98680	103180	online can give some advice on how to lose weight from the realms off the screen. Although
103180	107980	it may not be sufficient to make you lose weight on its own, they may provide that inspiration,
107980	111820	may provide you with that extra motivation, and then you can maybe document your journey
111820	115900	online too, and inspire other people to come along with you. The problem is that this vision
115940	120020	doesn't always happen, and sometimes people themselves aren't strong enough to create
120020	124100	that arc through their own volition, and thus the story changes very significantly, and
124100	128580	because they're documenting all of it on YouTube, suddenly this augments into something much
128580	134100	uglier and we can see a bigger, scarier picture. This is where we reach today's creator, the
134100	138300	creator known as Amblin Reed. It was a late evening, and I had worked on a video only
138300	142340	to make the decision that actually, although I wasn't a fan of the creator's content, there
142340	146240	wasn't enough to follow through on it, so I decided to watch a few videos. I knew one
146240	150340	of my fellow creators known as Danaki had released a couple of uploads on these YouTubers
150340	154340	who were rather notorious for the handling of their weight on the platform, and so in
154340	158380	my crisis I decided to sit down and watch them, and although he was a tad too insulting
158380	162580	for my rather polite demeanour, he touched on some very important points that I definitely
162580	167180	feel could be expanded on in a right opinion video. His content definitely does a great
167180	171500	job at individually calling out the YouTubers in question, but what is there beneath the
171500	172500	surface?
172500	176900	Let's talk about the YouTuber of the day. This is Amblin Reed. She is a 28-year-old
176900	181340	YouTuber from the United States of America. She recently became a target for a lot of
181340	186500	YouTubers for a multitude of reasons. Typically, the cycle consists of her doing something,
186500	190500	people reacting, people noting her rather counterproductive efforts to lose weight,
190500	194500	people noting various other negative traits such as her apparent compulsion to lie and
194500	198820	deceive her audience, and alleged manipulation of certain situations. Hell, there is a whole
198820	204140	channel dedicated to exposing Amblin. That is some spicy commitment, considering that
204140	208340	many of these videos receive more views than Amber's videos themselves.
208340	212120	Amblin appears to be a dubious character for more reasons than just her weight, and although
212120	215840	I do consider many of them valid criticisms and would definitely implore people to look
215840	219400	into them, that will typically be a secondary narrative of this video, because although
219400	222940	I will definitely touch on that, there's a lot of detail to these stories that I think
222940	228040	you can only really see from the testimonies, and I don't plan on addressing all of those,
228040	231900	although if you are interested, I'll definitely reference and link some of the more controversial
231900	235880	incidents sooner or later on in the video, because there is a lot to cover.
235880	241260	One term that I saw thrown around a lot was the word lolcow. This is a strange word, and
241260	245360	one that I have only encountered rather recently, but rather often relating to this specific
245360	249000	case. I thought it might be a derogatory term relating to her size, but in fact, it's
249000	253120	a catch-all phrase that explains an individual whose behaviour is being mocked and yet is
253120	257360	completely oblivious to it, and they continue to behave in this way, but I'm not sure
257360	261800	that's completely the case. In the past few months, Amblin's channel has grown significantly,
261800	265600	and this has essentially snowballed, which has brought her the attention of many commentators
265600	269120	who have decided to call her out, and yet in spite of this, she has persisted, paying
269120	273360	little attention, or just doing the classic YouTuber blocking out the haters technique.
273360	277080	However, none of these antics are particularly new, and anyone who's been along for the
277080	281720	ride will be aware of that. However, how long has it really been going on for?
281720	286200	Today's video will discuss the rise of Amblin Reed, and why her appeal is rather different
286200	291360	than many others, and explain what this means for both her, and many of her peers. From
291360	294880	what I've seen, a lot of the videos so far is that they do a great job at presenting
294880	299000	these various incidents that, in a way, don't seem too connected, but I'd argue there
299000	303760	is a connection that we can put together, so join me in the right opinion as we take
303760	310960	a dive into the very twisted reality of Amblin Reed. Let's go.
310960	316560	Amblin Reed opened her channel on YouTube on the 17th of September 2011. However, she
316560	322360	didn't start posting until two years later, the 17th of November 2013. This first video
322360	326600	was an interesting one, because it showed Amblin without a cause, exactly.
327240	335360	I think making these YouTube videos, it might make me accountable. I just think it would
335360	346520	really help me. I watch so many people who make videos, and they're so inspirational.
346520	352420	Maybe I could be an inspiration for somebody. I don't know. I'm not really doing this
352420	356520	for other people, and more so doing it for myself, but if I can help somebody along the
356520	360800	way, then that's even better.
360800	364880	When we open our YouTube channels, it's fairly typical that we don't know how to
364880	369200	provide an introduction, and yet in this video, in many ways, you could see how things might
369200	374360	take shape in a positive direction. Weight loss creators, in many ways, are very polished,
374360	379120	well-produced individuals with a clear plan, and it sells in a way. You throw in some inspirational
379120	383480	music, a riling speech, and you might end up with a Fousey-esque sort of video, which
383480	387640	even though isn't my cup of tea, it is a lot of people's, especially the internet
387640	388640	casuals.
388640	399280	To understand where I'm at, you have to understand where I started from. A couple
399280	407040	of years ago, I was in the best shape of my life. Mentally, physically, and spiritually.
407040	411440	Never mind, we've already got that. The thing is, that in spite of all this, I can
411440	416560	see the appeal of the more insecure individual, putting their story up on websites for the
416560	421120	world to see, and I think that it's important that people like that are represented. That's
421120	425680	the most real you're gonna get. And that's the thing, what you see right here is a different
425680	430480	person, the whole mentality, how she thinks of herself. There is no real agenda here,
430480	435440	no real plot right now, it's just a person documenting their life. That is classic YouTube.
435440	439360	In fact, although I wouldn't necessarily say that her videos are exactly the epitome
439360	443840	of a vlog, she brands herself as a vlogging channel, and they're characterised by that
443840	448560	sort of journey, but never having too much of a purpose, just having a little arc inside
448560	449560	the video.
449560	452880	And this is the thing, although it's very niche and not exactly something that masses
452880	457480	of audiences are gonna see in YouTube trending because it isn't done up all nicely, I can
457480	461760	see how this content would be important for some people, and judging by a couple of the
461760	466120	comments, it clearly was. One of the biggest problems is that people often feel like they're
466120	469960	alone in their experiences, and therefore it's important that people who do have the
469960	474240	courage to speak about them maybe should, although of course it's their own discretion.
474240	478200	And although Anne Boleyn's channel was inherently bleak in its tone, when you talk about your
478200	482440	quote past, it comes with the implication that it's in the past, and there is this notion
482440	486700	of being able to move forward. Now I'm going to discuss why eventually Anne Boleyn's decision
486700	491320	of her channel direction would soon show these videos in a problematic light, but honestly,
491320	495760	videos like An Emotional Look Into My Past back then without the turn in her content
495800	498680	would've been powerful videos for some people at the time.
498680	506080	So this video is going to be about my childhood and what led me up to where I am now, and
506080	507880	I hope you stick around to watch it.
507880	511580	While she was doing this, she'd do like this weekly weigh in where she would keep her subscribers
511580	515540	up to date with exactly how her weight was heading. Now it seems that typically when
515540	520720	she started a channel, it fluctuated around the 360s, pounds that is, which for any of
520720	526880	you metric lads is around 160kg. Sometimes these weigh ins went well, other times they
526880	527880	didn't.
527880	531980	But the only person I can really blame it on is me. I put the food on the fork and put
531980	535660	it in my mouth. It's that simple. It is that simple completely.
535660	539860	And with her earlier channel days, her response seemed genuine, and it seemed genuine in a
539860	544480	way that it didn't have to gain anything from its audience. There wasn't any overwhelming
544480	548380	success and when she did put on weight, she held her hands up and said that she could
548380	552400	do better. She'd talk about the time when she'd lose weight, 89 pounds to be exact,
552400	572180	to give that hope and motivation.
572180	577280	None of it seemed like the content that people are observing today. It seems completely different.
577280	581540	Her diet was very back and forth, but a lot of the time, the food she did present was
581540	587800	alright if we can date the start of the channel at around 2013. By April 2014, her weight
587800	603800	was pretty similar.
603800	608340	I make this observation, I say it's important, because I think it's necessary to understand
608340	613040	the context and present to you the dilemma. It seems apparent to me that unless she is
613040	617300	one of the most calculated creators in the history of YouTube, she didn't start the
617300	622000	channel with the intent of amassing the weight she has now. In fact, honestly, very little
622000	626420	change in weight is one of the very common outcomes for many people trying to lose weight.
626420	631280	The content was not dramatic, the content was not created with the antagonistic intent
631280	635680	that we'll witness later. That means something has happened in her life that has changed
635680	640060	her mentality towards this career path. And listen, she's lousy at keeping to goals,
640060	643900	and clearly incompetent at points, without a doubt, and the cycle that people talk about
643900	648920	is still here, but she seems to believe what she says even if it's just in the moment.
