start	end	text
0	10240	Hello ladies and gentlemen, and welcome to The Right Opinion, the home of a twat with too much free time,
10240	16960	and Autumn, it's not far away now, and soon I'm sure that we will be basking in the Autumn leaves like the outdoorsy people we are.
16960	22000	However, for the moments you've probably chosen to delay your joyous pastimes and watch this video,
22000	27960	in which we will discuss a curious comment that was brought to my attention recently, and the interesting rabbit hole it can take us down.
28120	34200	Security online is something that a lot of us value as a personal liberty for our privacy and our safety.
34200	40640	In the last decade, security online has taken multiple steps forward, but as large platforms are taking steps to protect their users,
40640	46640	hackers are never too far behind, always looking for methods to stir up trouble, whether that's attempting to obtain user data,
46640	49400	or merely hijack someone's account for comedic purposes.
49400	54640	Plenty of sites have encountered data breaches, and it's an unfortunate hazard that some are clearly ill-prepared for.
54680	59960	However, as much as hackers obtaining user data justifiably causes concern on a macro basis,
59960	63680	I think people are much more protective over the possession of their personal accounts,
63680	69920	because our personal accounts, regardless of size or influence, often pertain great personal value to us,
69920	74360	as a platform that can represent our thoughts, feelings, and even our creative ventures.
74360	79200	It's a piece of us. That sort of thing can definitely be exemplified with one's YouTube account.
79240	84640	Now, of course, many people merely create YouTube accounts for the purposes of commenting, subscribing, and following content,
84640	88280	however, for many people, a YouTube account allows us to express ourselves,
88280	94000	and even if we're projecting our content towards a large audience, it's still a product which feels deeply intimate to us,
94000	99600	which is why people care about others when they have their channels unnecessarily terminated or restricted.
99600	105040	We like to think that all in all, YouTube, in spite of their flaws, have a grip on keeping their accounts secure,
105040	108720	however, when you look at their track record, this could be called into contention.
108720	114720	I understand why you're wondering that the investigation resulted that no hijacking activity happened on the channel,
114720	120960	however, I can assure you that our internal team carefully investigated this, and didn't found any.
124800	127360	Didn't. Found. Any.
127360	133040	Over the last few years, many creators have reported their channel stolen, and subsequently used for less than dignified purposes,
133040	136960	in fact, it seems to be an overwhelmingly common occurrence for many users.
136960	142800	Now, when you have so many channels on a website like YouTube, it seems inevitable that some accounts will be hacked or stolen,
142800	148800	but today we're looking at an issue that transcends a few occurrences, and outlines a trend which appears pervasive on the platform,
148800	152160	and encompassed by one account, which went by the name of Logan.
152160	158000	If you follow any smaller creators, you'll have almost definitely seen this line of text in their comment section,
158000	165120	I can without a doubt say it's the widest spread comment I've ever seen, but it's so much more malicious than it seems on the surface.
165120	170160	In the small YouTuber world, attention and friends can be hard to come by, so when you're uploading content,
170160	176080	it's easy to be particularly receptive to anybody who may provide you with attention, especially larger channels.
176080	181280	However, for anyone who does have experience with being a smaller creator, you'll know that you have to regularly deal with comments
181280	188240	that from a cursory perspective seem fairly friendly, but often just reflect a veiled attempt to gain subscribers from inexperienced users.
188240	193120	Now, those who have familiarity with YouTube will tell you that this technique is rather redundant,
193120	199920	and most creators partaking in this will breed no longevity on their content, because you're just cultivating a load of dormant subscribers,
199920	204640	numbers really aren't everything on that front. Nonetheless, this doesn't stop people from trying,
204640	210800	and over the years, desperate creators have manufactured various automated techniques in an attempt to garner likes, views, and subs,
210800	216000	and eventually monetization. On the surface, this is what appears to be the case with the account named Logan,
216000	222560	a creator commenting on numerous uploads by smaller creators, with a simple three-word proposition, wannabe friends.
222560	227040	And with such an enticing offer, who wouldn't want to be friends with this lovely gent?
227040	231920	In times like these, we could use a good friend, like the lovely fellow Logan here.
231920	238960	However, as many of you have predicted, this comment was made by a bot, likely incapable of developing a meaningful friendship,
238960	243440	and Logan himself was merely publishing substandard content on how to grow your channel.
243440	248480	So what was the point? Was it merely farming views, or was it something a little more sinister?
248480	256880	Yeah, the real way he growed his channel so large was using bots, they're all bots, but bots using real accounts, your accounts actually.
256880	263360	Well, on the 13th of May, a YouTuber by the name of evans111 uploaded a video with the subtitle,
263360	269120	The Most Dangerous Comment on YouTube, referring to Logan's comment in question. How could such a comment be dangerous?
269120	274240	Well, according to Evan, it appears that creators who interact with this comment risk having their channel stolen,
274240	278560	and subsequently used in Logan's view farming ploy to boost his own YouTube channel.
278560	285040	Go on to his videos, and there were a plethora of generic, vague comments which appear to barely interact with the video at all,
285040	290000	and only lend credence to the idea that something is not quite right with the project that Logan is running.
290000	291280	Wanna be friends?
291280	299680	Somehow, this guy developed a way of hacking people's channels solely by having them subscribe to him, and this is incredibly alarming.
299680	307120	All these accounts posting these fake comments are real accounts, so this plague can go unnoticed by YouTube,
307120	312640	and his channel can thrive with nobody knowing how. This is not okay.
312640	319280	Evan postulates that this Logan character has created a bot which can take control of accounts who interact with its initial comment.
319280	325680	He warns people to not respond or react in any way. If this was true, it would be a huge breach in YouTube security,
325680	333360	and not one that can be ignored, and it wasn't. In barely any time at all, Logan's account vanished, and he became another YouTube relic.
333360	340880	All's well that ends well, right? Well, not entirely. The fact is that the perception of Logan presented may not be the entire truth,
340880	348320	and I'll explain why very soon. In spite of all the comments disappearing, Logan's channel was very much alive, it had merely shapeshifted a little.
348320	353520	So why aren't people doing more about this hacker? Well, probably because he may well not be a hacker.
353520	361760	However, take a look at the evidence today, and you'll find a truth perhaps more alarming, and one that should encourage awareness from YouTubers and YouTube alike.
373760	382080	So, to commence this interesting tale, we need to go back a few months, to a time when your boy Tro was a wide-eyed nipper who could still leave his house for leisure purposes.
382080	390960	Yes, in early 2020, I was dealing with an issue that I considered mostly internal at the time, however, this led me to investigate channels which I considered compromised.
390960	398800	However, one comment that appeared on multiple uploads was a comment by a channel named Tem, if you're wondering this character's relevance, all will be revealed.
398800	407440	When I clicked on Tem's channel, I was greeted by a similar video to that which was documented by Evans, in fact, the format was identical, the only thing different was the name.
407520	414480	Yo, what is going on, guys? My name is Tem R, and in this video, I'm gonna be showing you guys how to grow your YouTube channel just like I did.
414480	418720	So as you can see, I have gained a lot of subs for the past few days, and the pa-
418720	424960	The uploads that I was greeted by at the time were extremely bland uploads about how you could gain subscribers' views and traffic.
424960	435360	After all, this Tem guy was an expert, anyone who can secure tens of thousands of views on content with the personality of a grapefruit must be pulling off some impressive algorithmic massaging.
435440	444160	However, there was an additional parallel that could be drawn between these two channels, the comments section, which was also predominantly occupied with rote responses from small channels.
444160	455040	The only real difference is that some of these comments seem a bit more fleshed out, although many still represent a similar level of mental vacancy, however, there may be a reason for this which I'll soon divulge.
455040	465280	At this point, you're probably coming to the conclusion that Tem and Logan have both been drawing from the same framework, however, it goes one step further than that, because Tem and Logan are in fact the same person.
465760	467920	I'll give you a moment to let that sink in.
470800	477040	The voices were identical, and so was the format of the content, and now this isn't a huge surprise.
477040	482240	So Tem and Logan are the same person, big deal, but there are a couple more curious observations that we can make.
482240	491360	Firstly, this isn't the only channel, in fact, his highly successful Tips and Tricks channel was launched off the back of another channel which was at that point going by the same name.
491440	506880	So if you click on Tem, you'll see, oh wow, this channel has like 500,000 subscribers, that's crazy, usually people will go and see what videos they uploaded, but these aren't Tem's videos, you can see that this channel has no videos uploaded.
506880	514720	It was an interesting setup, basically, he had a playlist of his content, but it was being promoted through a different channel, why on earth would he be doing that?
514720	522800	Well, probably to loophole the YouTube guidelines, you see, his first channel here had obtained subscribers fairly fraudulently, but barely had any videos.
522800	534240	This is MrBeast, and this isn't MrBeast, but why isn't it? To the passive viewer, it appears to be his channel, it has his videos accordingly located, with the complementary view counts,
534240	542560	however, this is a classic trick used by the charlatans, they create a playlist, call it uploaded videos, and then position it at the forefront of the channel.
542560	548640	You can typically identify these channels by a lack of featured video, and the concealed subscriber count, often, I must add.
548640	558400	However, for the casual user, they may not notice, and come to the conclusion that they've been unsubscribed by YouTube's eternally faulty system, an understandable assumption, but an incorrect one.
558400	570480	Tem, or Logan, or Tom, or Todd, or fake MrBeast would then implement his bot to comment on smaller YouTubers who may find themselves starstruck in the moment, and not think to question the legitimacy of this account.
570480	578000	He pulled this off for a while, and ended up with over 100,000 subscribers, however, if you go back further, you'll realise that this wasn't even the case,
578000	586080	and that he was previously an account known as Trap Town, who was also notorious amongst communities, for guess what, doing exactly the same thing.
586160	593920	If you've got a YouTube channel, they'll send you a nice little message saying that they like your video, and they'll ask you, hey do you want to be a YouTube friend?
