start	end	text
0	14280	I've made a lot of mistakes. There are many things I wish I could take back. But I cannot
14280	24280	grow if I refuse to see myself for who I truly am.
24280	27560	Hello ladies and gentlemen, and welcome to The Right Opinion, the home of a twat with
27560	31480	too much free time, and my free time has been delightfully occupied by what will be
31480	37080	the person at the centre of today's final video. It is not necessarily something I've
37080	41600	found myself enjoying too much, but one must finish what he hath started, and I have to
41600	46520	admit, in spite of everything, all the other videos, and all the information, I definitely
46520	50960	underestimated the undertaking this topic would require, and even then I will be undoubtedly
50960	55280	disappointed that I have not been able to cover every single corner, look at every one
55280	60720	of his crap films, look at his books, see what's between the lines, maybe one day I
60720	67480	will return, but that day is not today. Even with every private video, every deleted tweet,
67480	72680	every single redacted statement, Onision has given me more than enough to work with, more
72680	77800	than I'd like, to be honest, and today we shall be closing that off in style. Although
77800	82600	not a requirement, I would recommend watching the previous videos to have a contextual grip
82600	85560	of what we lead into today.
85560	90560	A lot of what we've observed is, on the surface, the product of putting your life online. Onision
90560	95120	has, in a way, created his own story through the medium of YouTube, and I've often wondered
95120	100120	if Greg himself sees his life like a movie, one where he plays the main character, one
100120	104680	where he can be this role model to other people, this tortured individual, always on the line
104680	109120	between good and evil. I mean, we saw that in his little cult project, he had this dark
109120	114020	and light theme, and this sort of line between them, but the thing is, you can't easily manufacture
114020	119240	such a character unless you're a real artist, and the problem was that Greg clearly integrated
119240	123620	a lot of his own personal investments into this character, a lot of strange desires that
123620	128480	didn't merely involve him, and ultimately led to many people being hurt. Movies are
128480	132760	often movies for a reason, we may idolise some characters, we may even see parts of
132760	137840	ourselves in the worst people, but self control is a necessary constituent that should be
137840	142460	exercised, especially when you're a public figure with great responsibility.
142460	146720	The way that Onision had cultivated his audience gave him an even greater responsibility than
146720	151320	many creators, because his audience were highly committed to him as a personality, and would
151320	156160	likely be heavily influenced by his behaviour. He had carved out this corner on the internet
156160	161360	that was relatively isolated from reality. Onision was never interested in responsibility
161360	165520	though, and over time, he had managed to isolate various people who bought into his doctrine
165520	170280	more closely, and did for a significant amount of time, whether by luck or by judgement,
170280	175240	get away with it. As mentioned at the end of last video, by September 2019, the tides
175240	179280	were beginning to turn, instigated by many people, but brought forward by a person named
179280	184640	Sarah primarily, arguably the most concerning example of the people he involved in his life.
184640	188540	A lot of people at this point had already been dunking on Onision, he was a popular
188540	193120	target that accumulated views, but this was what finally pushed many people over the top
193120	199000	with their criticisms, and it went from look at this dude to look at this dude. These criticisms
199000	203300	have mostly amounted to focusing on his predatory behaviour, although there are many actions
203300	207680	that shouldn't be ignored either. Regardless of what he says, Onision pays close attention
207680	211320	to the drum that revolves around him, pays close attention to the videos being made on
211320	215560	him and knows what's being said about him, and this often leads to questions being asked
215560	219520	of him by his fans, and he has often responded to them. As noted, some of these responses
219520	223160	are for the better, sometimes these responses are for the worse. One of the things that
223160	226800	you will hear on a fairly repetitive basis is how honest he is.
226800	232400	There's a reason people call me the most brutally honest YouTuber, it's because I f***ing am,
232400	236960	I'm the most brutally honest popular YouTuber, hundreds of thousands if not millions of people
236960	240520	know me to be the most brutally honest YouTuber.
240520	245240	Now if that isn't a guy you can trust, I don't know who is. He'll have this assured tone
245240	249380	in the way he speaks, and he'll often speak about setting the record straight, he'll express
249380	253300	a confidence that will likely soften those who are willing to give him the benefit of
253300	258340	the doubt. He also often uses words and phrases that portray his honesty in an exceptional
258340	263420	light. Yeah guys, I'm an honest YouTuber, must be a surprise round here. Those sorts
263420	266760	of narratives are not just designed to show himself in a positive light, but show his
266760	271300	critics in a negative one. After all, if he's really the person telling the truth and laying
