start	end	text
0	8360	Cut the head in half have your halves cut these pieces into smaller pieces
30000	47000	Hello ladies and gentlemen, and welcome to the right minion, haha, the home of an epic gamer with too much free time.
47000	55000	I'm running on like 4 hours of sleep and my life is misery, how are you today? That was a rhetorical question, you can't answer it because this is pre-recorded,
55000	58000	though obviously you can comment it so I wasn't thinking that far ahead.
58000	65000	Some of you may be asking, but Trove, James, my mate, why is your life misery? Well a multitude of reasons,
65000	72000	but I tell you recently, all this drama has had my brain fried, so much going on in the world that I need to catch up on,
72000	80000	which honestly, with all my other commitments, does not electrify me with enthusiasm. It drove me insane to the point where I decided to relax by playing a video game,
80000	85000	but in the end I just stayed up until 8am, letting my sanity further deteriorates.
85000	92000	Though I did complete the game, so you know what? I thought, who needs trending topics anyway? How about we do something a bit more out of left field,
92000	100000	a bit more fun? Hey, I like fun, that's the sort of thing that gets me up in the morning on top of my parents' crippling expectations.
100000	108000	Haha, now many of you may be wondering why I'm in such a hilarious mood today, well it's because we're going to the ever hilarious genre of pranksters.
108000	117000	Pranksters are a legendary genre on YouTube, if you are not at least familiar with one prankster out of the countless controversies that they have brought us,
117000	124000	then you're either not looking hard enough, or you might even have a life. But either way, they reigned supreme for a few years throughout the mid 2010s,
124000	132000	and there are many still going to this day. The thing is that although the golden era may be long behind us, those pranksters still made a lot of money,
132000	140000	and we're not talking about loose change here, some of the most viewed videos have over 100 million views. It was repulsive in a way, but that's what people wanted.
140000	147000	Now being a YouTuber isn't just about creating videos, for some of us it is, because we get turned off by all the additional business work,
147000	156000	I know it's always a gruel for me, but when you're a prankster, there is a very fine craft. You see, although these videos may get you millions on top of millions,
156000	163000	and in some instances even billions of views while you're making it big in the game, there is basically no longevity.
163000	170000	Eventually, once you've milked every single idea dry, people will begin to see that there's nothing really to stick around for.
170000	178000	And on principle, this isn't inherently true, just because someone makes prank videos doesn't mean they suddenly have an inability to make videos in other genres,
178000	187000	I mean someone who did manage to sensationally transfer their skill set was Roman Atwood, a person who really did incredibly well considering how moronic much of his content was.
187000	195000	However, that's the thing, prank videos didn't blow off the real connection between the audience and the prankster, the closest you might have got was FusiTube maybe,
195000	202000	but that's only because he loaded his content with ham-fisted social messages that won over audiences with fairly low bars of expectation.
202000	210000	Most other pranksters either became extremely infamous very quickly and then quickly lost it, or were mostly invisible behind their inane pranks.
210000	214000	This is likely because some of them don't really have much going for them otherwise.
214000	222000	Make no mistake, I almost do have a grudging respect for how much they put themselves through to turn out content for the sake of views,
222000	228000	you need to have an incredible amount of drive to do that. But that's all it is a lot of the time, drive,
228000	232000	and the ability to pick out the most provocative topics that will interest people.
232000	236000	One of the people who certainly embodies this idea is Joey Salads.
236000	241000	Joey Salads, or Joey Saladino, is one of the more politically charged pranksters.
241000	246000	His pranks, or quote social experiments, have caused him controversy over time.
246000	251000	He's been on and off the grid for a while, you probably know him for his multiple run-ins with H3.
251000	256000	However, he is more than just a prankster, he is now a politician in waiting.
256000	262000	Now some of my friends interacted with Joey at last year's VidCon, which I was at, but I never got the chance to have a conversation.
262000	268000	But either way, they received the big Joey Salads follow, and since then, they have been keeping up with what he's doing,
268000	274000	and obviously this little stunt being one of the newest, most interesting developments to be going on in his life.
274000	280000	Also, for the record, I will again be at VidCon this year, July the 10th to the 13th, definitely recommend coming.
280000	285000	You see, as a prankster, as long as you didn't do anything too criminal, you should be able to rebrand.
285000	291000	But the problem is, although you may have made a fat stack of dollar, you're somewhat limited in your scope,
291000	295000	particularly when it was established that most pranks were completely fabricated.
295000	303000	With social experiments, that was an important revelation, because a lot of the points that could be drawn from those videos had genuine social repercussions.
303000	308000	Therefore, it made sense for a lot of pranksters to take three routes, either move into a different genre,
308000	318000	one not heavily reputation-based like Roman Atwood did with his family blogging, smile more, oh yeah be happy, be nice, do pranks in the hood,
318000	321000	actually scratch that part, I'll save that for another time.
321000	327000	The other option is to milk the pranks dry and run them into the ground, a perfect example of this would be someone like Prank Invasion,
327000	333000	who has recently taken to pranks that are basically incestuous and questionable in whether they're even pranks.
333000	342000	It basically boils down YouTube pranks to what they are, their core essence, clickbait, and all other considerations for what even qualifies as a prank can go out the window,
342000	347000	some people just like weird stuff and branding it under a prank makes them feel better about it.
347000	357000	The third option is just to carry on hustling but out of the public eye, maybe you'd go into some business, maybe you'll invest your money into Bitcoin and turn 2 million into 35,
357000	363000	buy a nice mansion in LA and settle down with a lovely lady or gentleman depending on who you are and what you like of course.
363000	366000	Or the fourth option of course, be FouseyTube.
376000	385000	However, one option that we don't see touched on is public service, in the internet age it's difficult to go from the public internet platform into politics,
385000	389000	because of all the history you leave on it, as shown by people like Sargon.
389000	396000	When you're online you have a mindset that many of the things you say and do are much less consequential than they might be in real life,
396000	401000	and they are to an extent, but at the same time you can still break it down to its individual conduct,
401000	406000	and when you go into politics one of the hard truths is that the media will completely be at your throats,
406000	413000	regardless of how virtuous you truly are, the media love drama and anything they can twist their way they will,
413000	419000	so it seems bonkers that a prankster would run for Congress, but that is what Joey Salads has chosen to do,
419000	421000	with his announcement coming in late April.
421000	427000	So what exactly is Joey doing? Does he have a chance? How might his past affect his campaign?
427000	433000	And should it affect his campaign? And will he receive an endorsement from the mighty right opinion?
433000	438000	These are all questions that I plan to answer over the process of the next half an hour to an ample degree.
438000	440000	I hope you'll accompany me for this journey.
444000	453000	So yeah, this is Joey Saladino. As said, many people probably know him for his pranks, but we'll be discussing them very soon.
453000	459000	Let's lay down the basic facts, let's have a look at his biography, and see if we can get to know him as a person,
459000	461000	because that's what matters isn't it?
461000	468000	Now looking at his bios, it's clear that either the authors of the pages have a deep adoration for our macho hero here,
468000	471000	or that he might just have had a hand in creating these bios.
471000	478000	Famous birthdays credit him as the video creating phenomenon on YouTube who is known for creating funny prank videos.
