start	end	text
0	18420	Hello ladies and gentlemen, and welcome to The Right Opinion, the home of a twat with too much free time.
18420	24680	A mainstream TV, a contraption that, contrary to release held by many netizens, people do actually still watch.
24680	31040	Sharks, advanced sports technology is at the forefront of a new sport that's sweeping the entire nation like a tidal wave.
31040	35640	Sharks, this is the National Association of Bubble Soccer.
35640	50040	It's not a necessity in modern day society, with the rise of online content and streaming platforms,
50040	53160	you can obtain your daily dose of entertainment from a variety of sources.
53160	57880	Yet, although audiences have certainly been spoiled with an abundance of TV series and films,
57880	63280	many live shows have still predominantly remained on broadcast television, well, at least more than others.
63280	70120	These include game shows, news programs, and of course, today's genre that has launched so many successful careers, talk shows.
84040	90680	Now, this isn't to say they don't have their online counterparts, but I think like other shows that retain most of their audience from live TV broadcast,
90680	98320	there is something about watching that sort of content in the moment, as it often operates within a very brief window into the spirit of that specific era.
98320	104120	If you went back and tried to watch an episode of Oprah from 1992, you'd probably find it hasn't dated the best.
104120	107360	I mean, sometimes these episodes are dated by the time they're released.
113160	120400	I digress though, to give them their credit, they have fought hard for their place on the TV Guide,
120400	127520	and they do provide people with content that can keep them in touch with the world around them through a medium that may be more digestible than the traditional outlets.
127520	131400	With this in mind, there aren't too many set rules for creating a successful talk show.
131400	136560	The first rule is that there needs to be some talking, that kind of goes without saying, or with saying I suppose,
136560	142520	but it's also important that the person talking is relatively interesting, and has a personality to present those viewing.
142520	148040	The second rule is that there needs to be people to talk to, otherwise the host is just rambling into the void.
148040	156280	Therefore, they'll either talk to you, the viewer, directly, or there's a live audience drafted into cheer, jeer, or appear as part of the host's wacky shenanigans.
156280	165920	With such a broad church of TV encompassed by these couple tenets, it's no surprise that a plethora of shows have garnered success of the very diverse interpretations of these couple key tenets,
165920	171480	from the preppy positivity of Ellen, to the necessary conflict and consequent chaos of a show like The View.
171480	175960	We just said we don't scream at each other, right? Or is it just you that gets to scream?
175960	176960	Okay, no, no, I agree.
176960	184160	Okay, then lower your voice, because we are very close to each other, and I know you come here to sell a book and try to pick a fight, but we're not going to do it today.
184160	191600	Nevertheless, it follows that such a wide-reaching genre would spawn numerous sub-genres, many of whom have their own means of engagement and corresponding audiences.
191600	200360	While the most significant that arose during the 90s was a star called tabloid talk shows, a controversial and divisive genre that utilized the concept of guest involvement to the maximum.
200400	207440	It soon dawned on TV producers that hosts weren't the only people who could be interesting, and that could serve a purpose as well.
207440	212240	Can you say this, you dumb bitch? Can you read the f***ing line, you stupid bitch?
214240	216240	What are you talking about? What is this?
216240	218240	What do you mean you can replace, bitch?
218240	226680	In the years following, a lot of these shows cropped up that broadcast what would normally be extremely personal disputes, and the explosive confrontations that would follow from them.
226720	233280	Add in many people's desire for their five minutes for fame, and orchestration designed to heighten tension between the parties involved,
233280	238320	and you were often left with highly theatrical, yet extremely real coverage of interpersonal troubles.
238320	241680	For some it was entertaining, but for others it was unwatchable.
241680	251400	Enter stage left Oprah Winfrey, the queen of TV talk shows, who some argue made the industry more accessible to tabloid shows due to the intimate nature of her own.
251440	257320	Her often very personal statements and opinions through the guise of a large media personality caught a lot of people's attention.
257320	268240	With that said, Oprah was also thought to not be entirely comfortable with that presentation, and sought to retain a more conventional and professional structure that wouldn't conflate her with an often turbulent genre.
268240	275400	One of these measures undertaken was to involve experts in certain segments, and provide an extra veneer of credibility for the discourse at hand.
275400	280760	One of these experts was an individual by the name of Phil McGraw, who held a PhD in clinical psychology.
280800	289960	Oprah had met Phil a few years prior while working with his trial consultancy firm CSI, after being sued for statements she had made on her show relating to mad cow disease.
289960	299240	After that beef was settled, she offered McGraw a visiting spot on Oprah, where he would be brought on to discuss questions surrounding relationships and general life hardships with her guests.
299240	305480	With their focus being on the host, a lot of shows experimented with different styles, and not too soon after, we were asking the question,
305480	312240	what if we had an expert in subject X or subject Y as a host, and how would that influence how they interact with their guests?
312240	315400	Dr Phil seemed to serve as the answer to this question.
315400	320000	The only person in the world I've ever wanted to cheer for me was him.
320000	321000	Look at him.
321000	323000	The only person in the world...
323000	324000	Stand up.
328000	333000	You're hiding from him. I want you to look at him, and let me tell you something, I want you to listen.
333240	336480	I don't want you to go off and think about what you're going to say in response.
336480	341200	I want you to listen and look her in the eye and hear what she's saying.
341200	346640	These segments proved to be extremely popular, with Oprah giving them an increasingly regular presence on her program.
346640	354440	As this popularity persisted, Winfrey, being the business person that she is, decided that Dr Phil McGraw's sections had the potential to be its own TV series.
354440	362520	So in 2002, four years after our visiting expert made his debut appearance on Oprah, Dr Phil was launched to impressive ratings that had maintained themselves
362560	370280	during the show's long and illustrious lifespan, receiving multiple Daytime Emmy nominations, and praise from viewers who feel that Dr Phil's more measured approach to his guests
370280	372960	allows them to be viewed through a more human lens.
372960	377800	However, as we've seen with other talk show hosts, what is presented is never quite the full picture.
377800	385280	It should go without saying that TV is very selective, even more so than other mediums, and over time, Dr Phil's show garnered more and more critics,
385280	389160	who questioned the professionalism and ethics behind the treatment of the guests involved,
389160	395880	also culminating in a flurry of allegations made by former employees and guests towards the show's producers, and of course the man himself,
395880	400200	leading many to question whether the show was really a force for good.
400200	407000	Well, ladies, gentlemen, and all complementary variations, today we'll delve into Dr Phil, the rise and success of the show,
407000	416680	alongside its notable social media renaissance, we'll also investigate the controversy and the concomitant ethical questions of our beloved TV title at the centre of today's video.
