start	end	text
0	24900	Hello ladies and gentlemen, and welcome to The Right Opinion, the home of a twat with
24900	29320	too much free time, and Lil Tay. I don't normally go into such topics, I think it's best to
29320	33080	leave the reaction commentator to their own devices, but every now and then something
33080	38160	deeply disconcerting comes along, something that drives me to action, and today that person
38160	43240	is Lil Tay. Lil Tay is a child, 9 years old to be specific, she likes to make that very
43240	57440	clear in her videos, in case you hadn't fucking noticed.
57440	61920	She's an instagram star and basically posts a lot of videos of her gloating over her fortune,
61920	66400	and boy, everyone just eats that shit up. She socialises with rap virtuosos such as
66400	71060	Chief Keef. In case you didn't know, Lil Tay has a load of houses, and a load of cars,
71060	75800	and a load of money. More money than you, the viewer, yes, she be flexing, constantly
75800	78860	there to remind you of how inadequate your own life is.
78860	82840	On the surface it seems like another embarrassing new low for social media, but when I sat down
82840	86360	to think about it, many questions came into my head, many things that I couldn't shake,
86360	89480	things that I had to find out for myself, most people just point and laugh at their
89480	92920	antics, but that's underselling what's going on here, isn't it?
92920	97080	Today I will tell you a different story, maybe one of tragedy, maybe one of exploitation,
97080	101100	that many men dare not to go. When I started this script it was a simple concept, observe
101100	105060	and dissect the Lil Tay situation, however as I researched more and more, the truth became
105060	108760	warringly clear to me. Am I going mad? There is a 9 year old behaving like a stripper who
108760	113940	just cashed her first paycheck and people are going, huh, that's weird. You know what,
113940	117900	it is fucking weird. And today we're going to go into Lil Tay's mind.
117900	125340	Back a few months ago I did a video covering Wobe Vicky and Martina Big, basically explaining
125340	129540	why being transracial makes no sense, and much less sense in comparison to being something
129540	133260	like transgender. I gave Victoria here quite a roasting, and to be honest, she deserved
133260	136940	it. However that did not dissuade her, and 8 months on she's still wreaking havoc on
136940	139940	the world as we know it. I hoped it was a fad that would fade into irrelevance, but
139940	144140	given the fact that her and Danielle Bregoli have become the darlings of reaction commentary,
144140	145700	they have only grown in prominence.
145700	149660	Speaking of Danielle Bregoli, that is someone else I also covered, albeit briefly in my
149660	153780	video The Dr Phil Problem, in which I laid out the problem of using children's legitimate
153780	157940	problems for entertainment and posed the question asking if this is really good for them, and
157940	161460	like Wobe Vicky, she has continued to cause a nuisance wherever she decided to drag her
161460	165100	exasperating persona. Now I really should have put two and two together and realised
165100	168400	that these two young bucks were on a collision course, but honestly I just wanted to block
168400	172200	it out of my mind and never speak of these simpletons again. The gods however have no
172200	176720	mercy on my soul, and in April 2018, Wobe Vicky and Danielle Bregoli decided to have
176720	181080	a good bout of fisticuffs. This meant multiple orgasms from the reaction commentators who
181080	184880	couldn't reach for their microphones fast enough. These two females are desperate for
184880	188640	attention, and they will continue to get it, and you know what, I do not blame the people
188640	192120	who give them it. At the end of the day, reaction commentators, news channels, they gotta cover
192120	195480	what's interesting, and what people want to hear, and if they don't cover it, someone
195480	198440	else will. That's the name of the game, and really, although they played a component
198440	202240	in promoting the ridiculous behaviour, there's nothing new about that, they're just a response
202240	206360	rather than a cause. In making a video I have to accept that I might give them attention
206360	209760	too, I just have to try and make sure it's not the sort that they desire. The thing about
209760	213400	the culture that people like Wobe Vicky and Danielle Bregoli have created is nothing short
213400	217360	of a simple shock value concept, essentially human clickbait. If you were to have never
217360	221120	heard of these people, you would inevitably be as intrigued as you would be disturbed.
221120	225560	How can someone like Wobe Vicky claim to be black? How can Danielle Bregoli be so trashy
225560	230200	at her age? These are simple questions, but questions that draw in an audience. However,
230200	233700	when these simple questions are answered, people begin to lose interest, and therefore
233700	237280	these characters create new questions, and new ways to shock their audience that will
237280	240780	keep them invested. This has definitely been aided by commentators who find new ways to
240780	244640	spin these people's existence, whether it's finding out what Wobe Vicky sounds like normally,
244640	248560	or whether it's the influx of Danielle Bregoli clones that fuel the juicy titles for these
248560	252960	creators. These sorts of people are on a lifespan of fame, therefore it is necessary
252960	256520	that they slowly escalate their antics, and Wobe Vicky and Danielle Bregoli's fight
256520	260880	appears to be a climax in both their careers, however if you can't top that then your
260880	265080	career may quickly nosedive, and you'll be running on empty in no time at all. And
