start	end	text
0	5360	One day, a 42-year-old adult comes along and says that while he was 10 years old,
5360	10720	he had a perfectly consensual sexual relationship with a 30-year-old adult.
10720	17200	The relationship was perfectly fine and consensual, and both of them enjoyed the sexual relationship.
18000	18800	Are you alright, mate?
24320	28160	Hello ladies and gentlemen, welcome to The Right Opinion, the home of a twat with too much free
28160	34480	time and Amos Yee, someone who was under the radar for a while. Yes, this man is apparently quite
34480	39520	notorious. I noticed a few people saying that he was an advocate for pedophilia, and I, being my
39520	44080	naive self, at first assumed it was some sort of soft-advocation, just the avocation of their
44080	51840	existence or legitimization or something like that, and oh my, was I wrong. Yes, in a lovely
51840	56560	video, quaintly named pedophilia is alright, he argues that not just pedophilia is alright,
56560	61280	but the sexual encounters with children is fine as long as they consent. Now, a lot of people
61280	65360	have been speaking about the general morality of the issue, which I'll definitely integrate,
65360	69280	but I also like to try and bring a different spin on my channel, so I'll be looking to integrate
69280	74800	more pragmatic points as well. Let us get right into the video, because I just cannot wait to
74800	81040	taste the spiciness of his points. He begins with a very pleasant anecdote in his preamble, in which
81040	85600	he presents the story of a 42-year-old man who reveals that he had a healthy sexual relationship
85600	90800	when he was a child with a 30-year-old adult, and it was alright, because he personally was
90800	96160	not traumatized as a child at all. So it's all good, happy days, who cares about anyone else?
96160	100240	We have one counterexample and that's what matters. He then states that the treatment of
100240	105520	pedophiles by society has been horrendous, saying that pedophilia is merely the attraction and not
105520	109600	someone who is going to act on them, and following that statement by arguing that a pedophile should
109600	114240	be allowed to act on those feelings anyway to a consenting child, so yeah, strange point.
114240	118720	He also refers to pedophilia as a sexual orientation. It's not. In its most pragmatic
118720	122400	terms, it's a preference. An inappropriate preference, but a preference nonetheless.
122400	126720	If you're attracted to old people, for example, that's not an orientation. Let's get that clear.
126720	130800	Once again, I cannot comment on the asserted solidified nature of pedophilia, but it is one
130800	134880	of those things that is not right to be exposed to a child. Children are unique in that way. They're
134880	138240	not the same as adults, they're old enough to understand, but they're young enough to still
138240	142720	have it negatively influence their development. If you have a sexual attraction to children,
142720	145680	so be it. But keep it to yourself, thanks. End of.
145680	149760	I also don't appreciate that he's grouping pedophiles into the LGBT community. I'm
149760	155040	putting my foot down here. Pedophilia is not a sexuality, okay? Sexuality for me is what
155040	160000	sexual organs you enjoy. Dick or vag or both. Whatever floats your boat. Is that clear enough?
160000	164400	He also carries on grouping pedophiles with genuine child molesters and asking why people
164400	168080	believe they should be jailed. And once again, to clarify, you're only going to be jailed if
168080	173920	you act on those urges. He also references statistics to do with suicide, listed as 30-150,
173920	178240	which is so incredibly broad that it's hardly verifiable, and he doesn't even reference it
178240	183360	below. So that's pretty useless, isn't it? He also uses the classic look at the terrible stigma
183360	187200	these people are getting, so here's why we don't need age of consent. They're completely different
187200	190640	and bizarre points, and the fact that he's trying to emote sympathy through telling people these
190640	194800	horrible stories of electroshock therapy, and then to go on and say, but sexual encounters with
194800	198960	children are right, must be intentionally missing the point. And I know this is split into different
198960	203120	parts, but this whole section seems like a red herring and completely irrelevant to what he's
203120	208160	trying to argue. And then he talks about child porn. Now I could go off on any one of these guys
208160	212400	explaining how children are too young to consent, which I think is almost ubiquitously understood.
212400	216960	I think it's kind of amusing and worrying at the same time how genuinely morally black and white
