start	end	text
0	9360	Hello ladies and gentlemen, and welcome to The Right Opinion, the home of a twat with
9360	10360	too much free time.
10360	15360	And boy, don't we have a topic that everyone was anticipating me to cover.
15360	17240	Well looky here, now you get your wish.
17240	21080	I had a few topics to pick out of the hat, but I found such a fascinating one today that
21080	25160	I couldn't possibly ignore it, and it's obviously in part about the titular character,
25160	26560	Mr Shane Dawson here.
26560	30320	Shane Dawson, like a lot of people we talk about on this channel, is a YouTuber, I'm
30320	34000	sure many of you are already aware of this, but if you somehow just discovered this platform
34000	37480	and you've had the pleasure of this beautiful accent introducing you, that's what he is,
37480	38480	a YouTuber.
38480	42280	But he's not just any old YouTuber, he's not a geek off the street, he is one of the first
42280	44580	YouTubers to gain prominence on the platform.
44580	48160	This was mainly through his channel, Shane Dawson TV, the TV there clearly making it
48160	49540	sound nice and professional.
49540	53700	He uploaded these comedy sketch star videos, an iconic classic being Fred is Dead, in which
53700	57500	Shane Dawson appropriately kills Fred so he can establish himself as the most popular
57500	60980	YouTuber on the platform, which you know, I'm not complaining about.
60980	65380	Anyhow that was a simpler time, but as a creator it is necessary that you evolve with the times,
65380	68840	so as charming as these sketches and short films were, it appears that they were brought
68840	72320	to an end on that channel at the close of 2016.
72320	73620	What took its place though?
73620	77820	Well his third channel, Shane, yes he had three channels, busy bloke.
77820	81640	Now Shane was originally set up as a vlog channel, in the day it was almost like a back
81640	85440	up for him letting his followers know what's up and what's going down, with little jokes
85440	86440	and memes.
86440	90200	Nonetheless still with some pretty saucy clickbait, there was no throwaway thumbnail to Shane
90200	91200	it seems.
91200	94440	Anyhow in case you haven't noticed, with the increasing accessibility to high quality
94440	98460	equipment, vlogging has emerged in the past few years as a huge genre, along with this
98460	103720	other genres that crept into the public eye are mystery genres, list genres, and commentary.
103720	107580	Therefore Shane did what any person with a level head would do in those situations, and
107580	112360	made this Shane channel dedicated to morphing all of those genres together, which is pretty
112360	113680	damn genius.
113680	117600	Although as a creator, Shane was definitely aware of the consequences of mixing a range
117600	121720	of genres that are too diverse from each other, and something that his associate Bobby Burns
121720	122720	would soon find out.
122720	126680	And so he tended to mesh them, in a very similar style that would bring back the audience for
126680	130520	each video, allowing organic views to turn into suggested views, and this would grow
130520	134520	out some great content that had mass appeal to the multitudes of audiences, dedicated
134520	135520	and casual.
135520	139180	Bobby chose this channel probably because it had the best potential fanbase, and as
139180	142980	said, if you tried to mix these views with already established content in a rather distinctly
142980	146060	incompatible style, the algorithms loathe it.
146060	147900	So I believe this was a smart move.
147900	151640	On top of this, he would make some more personal videos that would branch out his character
151640	155720	and the relationship that he had with the audience, in a way he was building an empire.
155720	159580	The Shane brand not just being an interesting expansion of content for him, but also branching
159580	164060	out on the elements of his character, dissecting his childhood, relationships, and asking
164060	166720	a lot of questions with no clear answers.
166720	169520	It's emotionally riveting stuff, it really is.
169520	174220	I feel therefore it was an appropriate succession to continue into these documentary style videos,
174220	177480	that deal with many of the components that Shane had dealt with in the past, just in
177480	182060	a more bombastic fashion, and under the guise of an individual problem or person which is
182060	185960	then branched out to implicitly deal with other questions, that's typically what any
185960	190440	video that's not just a basic reaction video will do, but obviously there are tiers to
190440	192760	this, and Dawson Clear wanted to do top tier.
192760	196860	Now I recently covered the Tea Spilling saga, of which one of the people I covered was Jeffree
196860	197860	Star.
197860	201700	Jeffree Star has been in the public eye for a while, in fact he's a very prominent individual
201700	205420	clearly, however given the sort of brewing tea in that community, it made sense that
205420	209480	Shane would be interested in covering such controversial figures, however in my video
209480	213780	I note that this whole beauty community kind of dominated the summer and pushed other figures
213780	217980	like the Pauls into the background, even though they were arguably behaving much worse than
217980	219940	any of the beauty commentators in question.
220120	223460	So when Shane announced his next set of videos were going to be on Jake Paul, people were
223460	228000	a tad surprised, here is this topic that in a way is kinda dead and buried, and if Shane
228000	231800	was going to pull out his shovel, he was going to have to dig deep to find some interesting
231800	232800	content.
232800	236720	Now there was a natural air of hype surrounding this, following the success of both his previous
236720	240920	series, and this gave it a natural boost, but the first episode was rather low key for
240920	245160	him, and the second one came out, and although no one could deny it was fantastic production
245160	250260	value, there were some critics who felt that what he was discussing was fairly unnecessary.
250260	251260	Why is that?
251260	254380	Well, for a multitude of reasons, but we'll try and break them down, the first one being
254380	258260	that Jake Paul is a dead topic, everyone has an opinion, love him, hate him, and although
258260	261980	Shane can bring the melodrama, which he did without a doubt, we weren't going to be filled
261980	263620	in with any new narratives.
263620	268100	The one that Shane has taken on is whether Jake Paul is a sociopath, which is an interesting
268100	272020	narrative but one he kind of abandoned by the final episode.
272040	276000	Jake Paul definitely displays certain traits of a sociopath, and Dawson cleverly leaves
276000	279680	each part very open ended on that question, at the end of the day we shouldn't be going
279680	283800	around diagnosing someone formally, and that is implicitly assumed, that nothing is being
283800	285360	factually defined here.
285360	289200	However, even with that noted, many people question the point and the implications, at
289200	293200	the end of the day, what Jake Paul does, whether Jake Paul himself is a sociopath or not, is
293200	295600	kind of besides the point, he behaves terribly.
295600	300120	I don't make videos that are out to defend people, in fact I think I criticise more regularly
300120	303780	than most gents, and that gets under some people's skins, and then they get annoyed
303780	307460	and tell me to make original content as if using a topic that exists is somehow unoriginal,
307460	309620	but that's just me being bitchy.
309620	313020	What I found quite interesting this time around was that many approached Shane's series
313020	317420	with a highly critical eye, I think this was in part due to its size, and the ambitions,
317420	321220	I think there are a lot of levels that we can analyse this on, but this time I'm going
321220	325060	to discuss why I believe that the choice of Jake Paul was the correct decision, however
325060	329300	the subsequent handling was a mixed bag, while also attempting to be sympathetic towards
329300	330300	the criticisms.
330300	333840	I think however to understand the weight of the Jake Paul series, you have to understand
333840	336720	Shane first, so that's what I want to do today.
336720	340600	There are a lot of discussions about the original series, so in an attempt to give my video
340600	344900	more of an original spin, I'll be looking at Shane Dawson as much as we look at Jake
344900	348920	Paul, however to understand this we have to take a closer look at Shane's content, and
348920	352800	Shane himself, so without further ado, I suggest we have a little chat.
359320	363480	We've already discussed briefly how Shane Dawson's content really is the goldmine
363480	368360	in many different ways, and in 2018 that has really cemented him as a force to be reckoned
368360	371800	with, but there's a lot more to break down within the content that explores how it's
371800	375760	brought us to this moment, so I'm going to split this part into three separate points,
375760	377960	purpose, tone, and production.
377960	382440	So the first question is, a very broad one, what is the purpose of his content?
382440	386940	What does Shane set out to do when he makes a video, other than to make some sweet dollar?
386940	390520	After all, if the answer was just that, this video would be over a lot sooner, so he does
390520	391920	a fairly tight job of that.
391920	396760	I'd say the most important word that comes to mind is exploration, and this is reflected
396760	401640	within all forms of content, he explores conspiracy theories, he explores haunted mansions, he
401640	402640	explores himself.
402640	406560	The last one is exceptionally important, after all the channel is Shane, a lot of the channels
