start	end	text
0	8840	Hello ladies and gentlemen, welcome to The Right Opinion, the home of a twat with too
8840	9840	much free time.
9840	14080	And I think it's time we go talk about the gaming industry, but also with a cheeky bit
14080	16400	of politics thrown in there for good measure as well.
16400	20900	For those who didn't know, I used to myself be a fairly political commentator, I intertwined
20900	24800	it with fairly media-friendly topics and even covered trending topics from time to time,
24800	28560	but I was pretty political, I'm not going to go into that much depth mainly because
28560	32280	I will likely save it for a special video, and I expect to be asked it for the Q&A.
32280	36300	There's some statements I stand by, some statements not so much, ideas evolve, if you
36300	38120	care about it, you can DM me.
38120	42220	If I was still political, I think today's topic would be of my interest, however we
42220	46480	are running with it on my new format, because I think it is embedded in YouTube culture
46480	48560	enough to appeal to many people here.
48560	52640	So it's a bit of old, bit of new, and anyway, there's an equally prominent reason that
52640	56280	I'm doing this, because probably to the surprise of some of you, I used to watch a
56280	57280	lot of Angry Joe.
57320	61280	I wasn't crazy about the streams and so on and many of the other smaller videos he
61280	64980	did, however I'd always tune in to some of his more long-form reviews, and even some
64980	68960	film reviews, you know the one with other Joe and that float with the beard, yeah, that
68960	69960	one.
69960	75600	And also as a person with OCD levels of pedanticism, I love lists, and in around 2014 at the turn
75600	81000	of the year, Angry Joe would drop 3 or 4 big fat top 10 lists for me to dig my teeth into,
81000	82000	dillish.
82000	85800	I really enjoy a lot of review channels, they definitely encourage critical thinking, and
85800	89920	as someone who has always dreamed about being involved in the creative industry, it gave
89920	94080	me ideas that I might or might not want to do if I ever followed those arrows.
94080	97920	I haven't yet, though there's still time, and I've ended up here, what a place to
97920	98920	be.
98920	103080	Anyhow, central to that was Angry Joe, he didn't always provide his criticism in the
103080	107920	most constructive way, but he never held back, I mean it's in his name, what would I expect.
107920	112460	I enjoyed his passion balanced with delivery of valid criticism, and he also made his name
112460	117260	as a huge proponent of consumer values, which in spite of my criticism of certain people
117260	121220	of recent, I'm still a huge fan of people getting value for their money, so he definitely
121220	125420	played a fundamental part in my life and my YouTube career.
125420	129720	Another thing that I followed was his politics, it always appeared to me that he fell into
129720	134820	a moderate but passionate left, while still being empathetic towards other views.
134820	138900	This is particularly demonstrated when he covers video game controversies like in his
138900	139940	top 10 lists.
139940	143460	It was a few weeks back I was browsing the internet for the latest spice, and decided
143460	148020	to see if there were any new Angry Joe videos, I don't watch them on a particularly regular
148020	152220	basis at this point, mainly because of my own commitments, university and YouTube equally
152220	157380	take up their fair share of time, and I'm still expected to be social to keep up appearances.
157380	161180	However I noticed that one of his most recent videos had a particularly poor light to dislike
161180	163180	ratio, that being this cheeky bugger.
163180	167340	At the time I moved on I was just looking for videos to watch, however a few hours later
167340	171300	I heard that it was something a bit more contentious, and then someone messaged me,
171300	176380	and then some videos came out, and I was like, alright lads, what is the spice then?
176380	180420	Well to understand the spice, we have to go back to the roots, so let's take a little
180420	181420	trip.
181420	185380	This is Battlefield, I assume most of you know it, I sure know Battlefield, I personally
185380	189340	play Call of Duty more than this franchise, but that was only because at the time most
189340	191300	of my mates played Call of Duty 2.
191300	195780	Ooh, right opinion plated cause his friends did, yeah shut up mate, I was 13 and had to
195780	200100	manually decipher how socialising worked, I went through a period of copying and pasting
200100	204140	highest rated insults of a website onto my Facebook page, those were dark days, we don't
204140	205140	talk about them.
205140	206140	Get it?
206140	207140	Got it?
207140	208140	Good.
208140	209140	I realise I went off on a bit of a tangent there.
209140	214220	So Battlefield, it's a game, that people played, and gaming a few years ago was in
214220	218400	a sticky situation, you see there's this thing called Call of Duty 2, where both games
218400	222820	were released fairly regularly, annually for the Call of Duty franchise, now whereas many
222820	227160	games typically wait years to have sequels if they have sequels at all, this idea of
227160	231900	a game a year was properly ingrained into the culture, however like with every progression
231900	236960	you need new ideas, and so there was a chronological movement, typically forward, and with these
236960	242060	series we gradually, or even quickly depending on your perception, moved into the future.
242060	246740	And honestly, in many people's opinions, it was a bit shit, not because there was anything
246740	251460	bad about the idea, but firstly it had been done before, multiple times, and secondly
251460	255860	for many people the overwhelming amount of gadgets and flashy visuals seemed to replace
255860	258980	player skill, it just became all a little silly.
258980	264520	So Battlefield noticing this smartly decided to go back in time, to World War 1, for Battlefield
264520	268900	1, which was given great praise by many critics, because in spite of the slightly short single
268900	272700	player campaign it was supplemented by an excellent multiplayer which had some pretty
272700	276540	cool features, it was clear that there was a lot to enjoy about this game.
276540	280260	So following the success of Battlefield 1, they thought that they would keep up that
280260	284760	spirit in, and this time to shift to the World War 2 scenario, however, as would be
284760	289780	expected with any new game, changes were likely to be made, some new game modes, some alterations
289780	293740	to how the games played, and the one that vexed certain individuals, particularly those
293740	297900	vocal in the YouTube sphere, the introduction of a female lead character.
297900	301940	Now Joe decided that he would give his take on it, criticising those who thought this
301940	306140	way and going on to hypothesise a different explanation, and after sitting down and watching
306140	311340	it myself, the best way to describe his video would be confusing, however, with a bit of
311340	316400	research and understanding, I'm sure we can find a way to get the best side of both parties
316400	318000	in this circumstance.
318000	323980	So today we're going to be re-entering the battlefield of politics, representation, video
323980	326560	games, and so much more.
326560	331100	And you know what, I think I'm more ready than I've ever been, despite the fact that
331100	334420	I'm currently recording with a duvet over my head.
334420	336820	This is what quality pays for, my friends.
336820	339500	So without further ado, let's get into this.
351040	355120	As assumed, Angry Joe's persona is angry.
355120	356680	What a fucking revelation.
356680	360720	That means that he typically tends to alienate a lot of people who he criticises, and believe
360720	362900	me when I say he does it a lot.
362900	366380	Now generally if you want people to come round to see your point of view, being angry
366380	370860	is not the best way to conduct yourself, however Joe's technique was never to have those he
370860	373420	criticised to see his point of view.
373420	374420	What do I mean?
374420	376580	Well to understand that we need to talk about corporations.
376580	381280	The hard truth is, which many of us have accepted by now, is that corporations do not really
381280	384900	care about how happy an individual consumer is with the product.
384900	389140	If you make a complaint, it will be filed away somewhere nicely, and it's essentially
389140	390540	a number to them.
390540	394540	But that number that is assigned does matter, because if the complaint is serious enough,
394540	398740	and it threatens to remove monetary funds, then having those sorts of complaints in volume
398740	403340	would be extremely concerning, because in the words of the famous philosopher, Mr. Krabs,
405340	408980	So a really good example of this is the loot box situation with Battlefield 2.
408980	414660	The sheer volume and animosity of the outrage caused such unprecedented levels of backlash
414660	419160	that EA, under the pressure of Disney, had to backtrack their implemented changes.
419160	423380	A lot of these corporate businesses will try their luck with the consumer, and push
423380	428140	these little amendments each time, grappling more money from the unsuspecting audience,
428140	431520	until they overstep the boundary and we tell them to fuck off.
431520	436920	And right central to that anger at the corporations was the man himself, Mr. Joseph Vargas here.
436920	441740	And this is why Angry Joe's rage is often effective in these situations, he knows exactly
441740	446600	how to direct it, when you're facing off against a mega big bad business, you need
446600	450600	someone who can mobilise the indignation within the viewer, they need someone to rile
450600	454800	up the people, companies like EA, to me at least, have proven themselves as not really
454800	459020	concerned with what the consumer wants, you can't present a reasoned argument to change
459020	463520	their mind, like you could change my mind, they need a different treatment, a firmer
463520	469960	hand, let's consider it tough love, EA, you're receiving my tough love, even though
469960	471600	I positively loathe you.
471600	476580	But anyhow, Angry Joe delivers that, and that's why people felt good about his content, because
476580	480300	it channelled people's feelings in a way that made them feel more inclined to be vocal
480300	482440	about it, it gave them a purpose.
482440	487620	We need people like that who can exert influence, and yes, in many ways it is good on that behalf.
487620	492220	He also has a habit of strawmanning, which once again in a way is fine, there's this
492220	496340	character, Corporate Commander, who is pretty much the satirical strawman on the corporate
496340	500420	mentality, which once again, when dealing with a level of truth, it's perfectly fine
500420	504820	as I've said before, as long as the exaggeration is part of the humour and not placed prior,
504820	508900	then we don't have a problem, and it's clear where it lies in this instance.
508900	514180	When dealing with companies, Angry Joe doesn't pull punches, which is important in a way.
514180	518740	However, when speaking to his fanbase, or even people who aren't necessarily his fans,
518740	523300	if you want to change mentality or behaviour, it can be just a simple case of speaking to
523300	525200	them with a tone of reason.
525200	530200	When dealing with audiences, there'll always be a set of people who are open to persuasion,
530200	533180	and a set of people who won't be so open to persuasion.
533180	536840	Now that can fluctuate depending on what audience you're speaking to, but for me,
536840	540880	it always pays off to be somewhat open to discourse in these scenarios, because even
540880	544820	if you only convince a few people, you know, that's a few people more than none.
544820	548060	With companies, you don't have to do this, mainly because there are a bunch of highly
548060	552860	educated individuals who can probably completely understand the reasoning behind every one
552860	557460	of your points, but choose to ignore it, because it's a free market, they can do what they
557460	559740	want for that sweet, sweet dollar.
559740	564180	With audiences, most of them don't tend to have that agenda, and as I said, this can
564180	568220	change within individual circumstance, but I think that's an important point for everyone
568220	570380	to keep in mind with today's topic.
570380	574700	I will likely have disagreements with people today, it doesn't mean you can't deliver
574700	578300	them in a way that may make them more empathetic to your point of view.
578300	582820	You can throw civility out the window if an individual is just being a dick, or is snidely
582820	587940	attempting to undermine you, those people can fuck off, but I hope I've made my point
587940	588940	clear.
588940	593220	The other thing is that directed anger works sometimes, and not so well other times, and
593220	597020	when dealing with large collectives who may have a variance in ideology, there are some
597020	602340	instances where you could say yes, the ideology is so illogical that it is beyond justification,
602340	604580	but generally, I don't think this is one of them.
604580	609620	So we've essentially dealt with what I believe are two key elements of justified anger, how
609620	612140	rational it is, and who the recipients are.
612140	616120	There are lots of little technicalities within that, but that's why we look at these situations
616120	619140	on a case by case basis, like today.
619140	623340	With the case of businesses being dickheads, Angry Joe was the firebrand game who was going
623340	628560	to stand up to these bad men, it always felt like a David vs Goliath, so even in cases
628560	632820	where the anger may have been overstated, the sheer fact that companies were so huge
632820	636600	just meant that people never felt remotely remorseful for doing it.
636600	641240	There are plenty of psychological studies that have examined how emotional interaction
641240	642240	works.
642240	646620	This sticks out to me, that when dealing with loss in mutual relationships, anger is much
646620	652200	less effective at responding to that than other emotions, I think that's important.
652200	656440	Now today's situation is disjunct from that study, though I do think there are familiar
656440	657440	sentiments.
657440	661400	When you direct anger towards a person for some alleged wrongdoing or disagreement, it
661400	665480	makes them much more likely to be provoked than necessarily be empathetic towards how
665480	669920	you view the situation, which makes them even less likely to being convinced or persuaded,
669920	673080	and more likely to just turn around and say fuck you.
673080	674080	Does that make them right?
674080	675080	No, not at all.
675080	678680	But if there's a better way to make people listen, why wouldn't you choose it?
678680	683440	Angry Joe has built his career off being angry, and galvanising people about affairs that
683440	687140	they might not have cared about otherwise, therefore it's almost likely that a lot
