start	end	text
0	9480	Hello ladies and gentlemen, and welcome to The Right Opinion, the home of a twat with
9480	13800	too much free time, and today we talk about the ever existent, strange obsession with
13800	18360	child stars, because if there's one thing that I doubt the internet will ever rid itself
18360	23160	of, well, it's that. I've spoken about children online in the past, and I'll likely speak
23160	27360	about them in the future. I'd say in my new style the last time I properly covered this
27360	32460	sensation was in my Lil Tay video, which once again attributed a strange fixation to the
32460	38080	idea of young kids doing adult things. The point of that video was to document how fascinated
38080	42340	we become when someone behaves in a way that is not necessarily expected of them. Whenever
42340	46340	you are doing something that has an appeal that no one else is doing, you will typically
46340	51000	gain fame for it, and at that point you introduce the factors that will actually determine the
51000	55000	longevity. However, with someone like Lil Tay, the whole system is broken, the fact
55000	59800	that it is driven off being more and more audacious, it is destined to slide into an
59800	64720	absolute burnout, or you end up not being able to keep up. The outcomes on either side
64720	68600	are not particularly rosy, and if none of that fails to kill your career, growing up
68600	73100	will. Child fame is not something that really should be glorified. We'll always need children
73100	78040	in our media, particularly in areas such as film, to make sure they are provided representation.
78040	82840	At the same time, the unique mental circumstances that a developing child encounters cannot
82840	87340	be discounted, and cannot be exposed to the ravenous hordes of internet dwellers like
87340	91320	many of us YouTubers. There are nuances to this argument, and I'll probably address
91320	95500	them another time, particularly when that person might be able to exert adult levels
95500	99920	of influence, but most of the time, these people are just puppets for fame hungry parents
99920	104640	or siblings, who want to find ways to exploit that childhood reliance to make them conduct
104640	109400	certain actions that arouse online interest, and use the fact that they're not autonomous
109400	114000	to claim any profit and benefits. It's a scummy, but unsurprisingly common dynamic
114000	117680	that you'll find, and these kids are often the ones who will take the mental fall from
117680	122980	it. However, Lil Tay was, as predicted, a brief fad that was in itself an escalation
122980	127800	of the juxtaposition between adult behaviour and childish appearance, one that could inevitably
127800	132040	not be topped, and left a trail of destruction in the culture that had ultimately set herself
132040	136920	up. However, the death of one market always leads to the rise of a new one, and the thing
136920	141680	is that although many trends are short lived, they are almost always born out of some longer
141680	146760	term human interest. These long term human interests provide anchors, and unfortunately
146760	150360	the fascination with children being placed in environments that would seem surreal for
150360	155320	them is a consistent one, and today, more than ever, this has pushed into a serious
155320	159060	boundary. I'm going to leave this narrative on hold, because the new market leads us to
159060	165720	a very interesting individual, who goes by the Instagram username of melody officiad3,
165720	171980	or melody officiad3, I guess. Now, Melody is a Brazilian figure online, her real name
171980	177320	is Gabriela Severino, and according to the very quaint Wikipedia page, she's a singer
177320	182460	and songwriter, all at the age of 11. Wow, that's a very impressive feat. She has released
182460	186760	a plethora of singles, ones that I'm sure will reach at some point in this video, a
186760	190760	few of these songs have performed fairly well on the Brazilian charts, she's been around
190760	197120	since 2015 from the age of 8, so she's already had more of an esteemed career than me. One
197120	202280	day morning sun, one day. However, today as we'll see, she's in the YouTube headlines,
202280	206440	well in this video at least, so the right opinion headlines, for certain conduct that
206440	212540	is much more questionable than just writing songs. You see, I have a friend, I know, surprising,
212540	217320	he goes by the name of Marriot, James Marriot, and he made this video on someone he branded
217320	222700	as Daniel Cohen's sister, which you know, I used my genius to decipher, it wasn't actually
222700	226780	Daniel Cohen's sister. But besides the point, it's spicy clickbait, and although I love
226780	231560	a good James Marriot video, I didn't quite have the time, so I passed up on it then.
231560	236000	And anyway, he didn't need my patronage, his video was enticing enough for a couple million
236000	240120	other people, and he is succeeding off it, and I'm happy for him. But it would be really
240120	243680	great if we could get this video to 3 million, just to piss him off. Now, what caught my
243680	247840	eye was when Marriot contacted a group chat that I was a part of, with the development
247840	252980	detailing this. The information that actually the publication had led to action, and suddenly
252980	257720	whatever video he had made on it seemed to be documenting something much more serious.
257720	262040	Now, in this DM, it said her Instagram was removed, and at the time it was, however,
262040	267000	it has since been returned, with a lot more of the suspect images removed. I mean, if
267000	271240	I had taken heed of the thumbnail, I should have been alerted fairly promptly, but I didn't,
271240	275640	after all clickbait is exaggerative, and you don't pay close attention to these things.
275640	279260	But really, from the start, this should have been a huge cause for alarm, and yet instead
279260	284560	of alarm, she has amassed a total of 3.7 million followers on Instagram, and comments that
284560	289960	are a bit unsavoury. It appears in this specific situation, the real catalyst for this development
289960	295740	was the YouTuber Felipe Neto, who has approximately 30 million subscribers, and therefore a tad
295740	299880	bit more clout than Mr Marriot, though there's still time James, there's still time. The
299880	305540	thing is, in my Lil Tay video, I discussed a lot about familial influence. As a sensation
305540	309760	it seems, on one hand, it is impossible to stifle. However, one of the things that had
309760	313740	occurred to me when researching this topic is a very new cultural discussion, and one
313740	319800	that I would love to have today. So, join me as we deconstruct the Instagram of Melody
319800	324940	Oficial, her career, her history, her family, the environment that she has yielded from,
324940	328860	the culture that has created her, and how this has manifested into the situation that
328860	333140	we have witnessed today, one that has allegedly snowballed to the point where authorities
333140	337800	have involved themselves. That is rather important information. This is a lot to unpack, and
337800	341360	I'm not entirely sure how I'm going to do it, but I'm a determined person, and
341360	345400	it shall be done. There's a lot more to this than just a James Marriot video, though
345400	349120	as always, it's a start, the sexy bastard. Let's go.
349120	362400	In 2011, Tayo Cruz released the song Hangover. Generally, it left me with a rather sad taste
362400	366500	in my mouth, it seemed a little too overproduced and dizzying, and although it may have worked
366500	371080	better back then, it didn't perform too great commercially, and signalled the stagnation
371080	375520	of one of music's rising stars. Why am I saying this? Well, it's the first thing
375520	393600	I encountered when researching Melanie's father, MC Belligno. MC Belligno, namely Tiago Abreu,
393600	398920	is a Brazilian musician. We use the term musician very liberally in this household, but I have
398920	403580	to give him credit where credit is due, he is creating music. However, to understand
403580	408100	his star, you really do fully have to be invested in Brazilian music, and honestly,
408100	412440	we don't really have too much time to completely deconstruct every single cultural element
412440	416740	that creates it, but it is an interesting discussion to have. It is not exactly clear
416740	423340	when MC Belligno's music career began, however it's quite evident that he enjoys his music,
423340	427800	and enjoys social media. The first definitive YouTube channel I found of his was called
427800	433820	MC Belligno Funk de Curti, which I was not sure of its translation, so I consulted my
433820	438420	Portuguese language expert who told me that it was just really a name, and probably relating
438420	443360	to the Funk genre which we'll discuss soon, but that didn't satisfy me, so I consulted
443360	448880	Google Translate that decided the translation was MC Belly Funk, which I highly doubt is
448880	454440	his actual name, but on the other hand, MC Belly Funk is clearly someone who is a very
454440	459480	typical product of a culture that he is far to invest in, to the point that it's borderline
459480	464080	a meme. In an old biography I found the very interesting information that he is actually
464080	467640	a single father, which is definitely something that we can bring up late, but it's clear
467640	472760	that for a long time he has been chasing a dream, and yet it just didn't take off, probably
472760	477440	because it should be quite clear that he isn't individually the most talented. The first
477440	482240	video was uploaded, which I assume was his own music pasted over pictures of women, which
482240	488280	I assume was the music video, with a female name and the location Pochacatu, which apparently
488280	493840	is a city near Sao Paulo. This is content that frankly, I do not know the meaning exactly,
493840	498080	but judging from its general appearance, it appears that it was being fairly derivative.
498080	502880	What do I mean? Well let's talk about musical culture a lot. When MC Belly Funk decided
502880	506720	to release his first track, the Brazilian charts were pretty Americanised, and it was
506720	511240	hard to distinguish a lot of the singles from the more English speaking markets. This has
511240	515760	been fairly common, particularly with hip-hop, which is what, if anything, I would describe
515760	520560	the musician as. A lot of Brazilian hip-hop, although without a doubt idiosyncratic in
520560	525960	its own rights, still has a lot of culturally defining content that cannot be ignored. However,
525960	530320	as you can probably tell, there is an overarching theme, given the fact that it is rooted in
530320	535920	a lot of struggle. In the US, rap was rooted in that defiant cultural celebration against
535920	540960	an oppressive institutional power who tried to deny what they felt was their identity.
540960	545480	This celebration, however, has also become increasingly immersed in many of these celebrations
545480	550580	that related to more universal content, such as partying, drinking, and what Mon might
550580	556160	describe as bitches. Because the content is more universal, and because the content is
556160	560960	more universal, it is thus more marketable, and there are many nuances to this, but know
560960	565960	that this is a universal trend, particularly during the years of the early 2010s, when
565960	570680	watered-down rappers like Pitbull and Flowrider were at their most profitable. It no longer
570680	575860	became about experience, merely being able to rap about pouring it up and creating fantasies
575860	580380	for your audiences to become invested over some Red One-produced beat. There are very
580380	585380	few people who are successful in this industry, mainly because it's a set of very complex
585380	590080	algorithms with a user-dictated market, and if people's appetite isn't there, your
590080	594840	career will just be brutally cut. Look at Katy Perry, for example. Music on principle
594840	599520	isn't the hardest to make, but it is incredibly hard to master, and even harder to create
599520	603380	a lasting career out of, and therefore you'll find a lot of artists who are trying to break
603380	608060	into the industry by creating a conglomerate of cultural peels falling from whatever they
608060	612880	view as successful, and that's what MC Smellychunk was doing here. The thing is, he's just
612880	617480	like any other amateur artist who has a checklist of hip-hop tropes to talk about. There was
617480	621800	no way that as an individual creator he was going to break through into the industry.
621800	625380	It's incredibly hard unless you're picked up by a label that can provide production
625380	629920	value to launch you, and you actually have that personality, or you have some sincere
629920	635480	bedroom pop vibe that seems all nice and cozy. This is what MC DeliPunk probably ascertained
635480	640140	at some point. He did actually make some higher production content which gained views, but
640140	644300	also some rather negative feedback. It's on a channel named Funkaton, which I assumed
644300	647800	at first might have been some third party, but it was actually on a channel that used
647800	652920	to be called Tom Produsoyns, with the description giving him the full credit. On top of this
652920	657520	I feel that many of the views came after, and it was still subpar content, created out
657520	662340	of some self-obsession he clearly had, and I say this because of the numerous compilations
662340	666480	he has of him topless, and the fact that his Facebook reads like a Tinder bio. I'm beginning
666480	670740	to think his musical career was just because of some masquerade of ultra-masculinity over
670740	674980	the genuine longing for a romantic relationship. I guess those dating apps weren't enough
674980	679640	for him. However, he did have a couple children, these children were called Bella and Gabriella,
679640	684160	a nice little rhyming scheme going on there, and he still had a clear dream that he wanted
684160	689320	to chase. He kinda had that grip on the industry, so at some point he decided to integrate his
689320	695720	two daughters. Now the 2010s were a real revival of the child stars that we hadn't seen since
695720	701020	the 1970s, and social media like Facebook and YouTube provided a real platform for this.
701040	706200	It appears that this is where melody was swooped up. We can typically date this around 2015,
706200	710360	I'm not exactly sure where the growth came from, but at some point the corporate shark
710360	715320	smelled the money and came swimming. Although MC Big Chonk seemed limited in his talents,
715320	719480	he clearly had connections, if they could make him look successful while still sounding
719480	724700	shite. Now at first it seems our good MC Papa here was just trying to cash in on the whole
724700	729960	child star narrative, you know, the sort of cheap Rebecca Black-esque song which is purposefully
729980	734500	amateurish and laughable. However, there were reports on this, and there were also videos
734500	737260	supposedly demonstrating her vocal ability.
744260	750820	She really just looks in pain to be honest. These were the clips that are credited for making her a star, and to my knowledge
750820	754940	they were originally posted to Facebook, but I couldn't find them, so I had to find their
754940	759800	YouTube re-uploads, but with this they made a music video and that song was, I guess, a hit.
759800	766220	They started cavorting with the stars, and this opened doors for melody and her father. Papa probably saw an opportunity for
766520	772360	himself to profit off this sudden success, and although making an eight-year-old superstar seemed rather objectionable,
772360	776800	I guess it wasn't exceptional enough to gather anyone's immediate attention.
776840	784240	But when you don't treat a tumour, it grows, and grows, and oh my god, it's downhill from here
784240	786240	my friends.
791500	794660	One of the things I found in research was that there are a lot of popular
795180	801780	Brazilian children. A word that is thrown around a lot in the articles that I read was the word funk and funk heroes.
801820	805220	Now, this is not the funk that we would typically associate with the word.
805220	810220	No, this is much more linked to these terms funk kaleoka and funk ostintaso, which are both
810600	816160	variations of the sort of rap genre we're looking at, and there are many more variations of funk that we will probably encounter today.
816160	821280	This is something that MC Telebunk was very invested in, as shown by his creative outputs.
821280	828040	And this is the thing, child stars are inescapable, especially in the era of the internet, and I accept them to an extent, and that's
828040	829840	why in spite of the extremely young age,
829840	837080	I'm sure people just write it off, because by 2015, young child stars making subpar music had been pretty normalized in the mainstream
837400	839400	industry. So how do we get from there?
840220	842220	to here?
846560	852240	Well, you see, as said, there seems to be a budding market for children in Brazilian music. Researching this,
852240	859080	I found a network of MCs, particularly surrounding the Sao Paulo area, and this included a variety of artists. MC
859080	866440	Brincredo, MC Pikachu, MC Bin Laden, all are claimed to be specializing in the funk music in question. At the turn of
866780	872600	2015, these artists were really gathering steam. However, this market was becoming more and more ridiculous.
872600	877040	This isn't just something that has developed into the situation that we are observing today,
877040	883800	this was a situation three and a half years ago. And you know, I said, as musicians go, Melody was fairly young.
883800	884300	Well,
884300	889480	I actually managed to find a younger one who was six years old, who released a song that translates as
889600	897040	Slap on the Bum. Apparently, this one was co-signed by business called RP Prodatura, while Melody was under BM
897340	904300	Prodatura. It seems there's just this market of record labels swooping up children to make a quick buck. In this kid's song,
904300	906140	we can translate some of the lyrics as,
906140	914080	Slap her on the bum, sit down on your pussy. The song was written by his father and his manager, Wellington Silver, and the girls in
914080	918840	this video are alleged to be his 12-year-old cousin and her 19-year-old friend,
919240	925140	Classy. And going back to these child stars, one of the biggest peddlers of this media was a YouTube channel under the name of
925140	932920	Programma Panico. They seem to enjoy reporting on these artists, and what you'll see is Melody alongside many other prominent artists, all
933520	941460	networking fairly closely. These connections seem to be rooted in one central man known as Emerson Martin, shown here, who clearly enjoys the
941460	943460	company of children.
943860	949820	Emerson, although it appears not the manager of Melody, seemed to be very involved with creating this specific culture.
949820	956780	Even if he wasn't directly involved with everyone, his grasp reached out and promoted many of these people, who then went on to create
956980	959480	music with fairly explicit undertones.
959580	965640	Let's pull up a couple examples just to entertain you guys. In the song, Tava Naruwa, by MC
965780	972200	Pikachu, the then 15-year-old is in the street smoking a joint when he is approached by a lady who would like a toke.
972200	979480	However, MC Pikachu is a crafty man and demands that she in return gives him the pussy. He demands this quite explicitly.
987480	990720	In another song, Rosa Rosa, by MC Brinquedo,
991000	999160	one translation reads that he would like you to rub, rub, rub your turkey in her because she likes it. At the time of release, the
999160	1000600	lad was
1000600	1007480	13, I could go on and on and on. The number of MCs are endless. MC Gee, MC Pet, MC
