start	end	text
0	9320	What if the world you knew wasn't as it was?
9320	29000	What if all the people, the names, the faces, the emotions, were not real?
29000	41000	What if your idols were just blueprints?
59000	84840	Hello ladies and gentlemen, and welcome to The Right Opinion, the home of a twat with
84840	85840	too much free time.
85840	91600	And something told me this had to be done, today we talk about story time, animators.
91600	95640	And it came from an interesting source, you see I have goodfellas who's content I support
95640	98760	and so I'm going to drop it a view and send them some constructive feedback.
98760	103440	The video I decided to check out on the 17th of August 2018, was Turkey Tom's video
103440	104600	on animators.
104600	108960	It was a fine enough video, there was definitely insight and information revealed, and I'll
108960	112080	leave it in the description below if you want to go and see it for yourself.
112080	115640	However there was one comment that specifically caught my attention, and it's a passing
115640	133520	one really.
133520	138120	Yes an aside comment about the personas adopted by story time animators, admittedly a genre
138120	142600	that I don't have that much interest in, gave me a simple lightbulb moment.
142600	143840	What is that lightbulb moment?
143840	146800	Well you'll have to be patient, because right now we're going to provide a little
146800	151460	synopsis of what the animation community is, because I'm sure many of you may be unfamiliar
151460	153520	with this swelling group of creators.
153520	157240	To understand the evolution we need to go back a few years, because there was a time
157240	163000	when animation was all over YouTube, it was inescapable, a range of unique creators converging
163000	167600	in this place that supported their individuality, YouTube was almost custom made for it, the
167600	171800	idea that people were expressing themselves, that's what YouTube was all about, and
171800	175720	their effort was being rewarded in one of the most fulfilling ways possible.
175720	180040	In the early days, animators focused mainly on a distinct style to find themselves, in
180040	183840	a video reflecting on this, Quinton reviews depicted the intricate style that each of
183840	184840	them took.
184840	188040	I won't repeat what he said, but in the early days of YouTube there were many creators
188040	192800	who really set themselves apart using information, and you know what, I liked it a lot.
192800	196700	Even though it wasn't as direct and to the point as many other videos, you could see
196700	201980	what was being expressed through the cartoons, personally I'm a big fan of show not tell
201980	205240	storytelling, and even if the stuff seems shallow on the surface, when you broke a lot
205240	209620	of it down, it seemed to reveal interesting layers, and that stuff really rocked the boat
209620	211400	of YouTube.
211400	213740	But then, it just stopped.
213740	216780	I'm sure many of you will know the story, but to those who don't, YouTube run a range
216780	221260	of algorithms that decide whether a genre lives or dies, and whether they decide it
221260	225300	wasn't profitable enough, or just the views began to dip a tad, YouTube decide to pull
225300	229820	the plug, and these animators were left in the dark.
229820	234100	Many moons passed and the sun seemed set on those in the animation genre, no gaps really
234100	239200	opened up, YouTube felt like a different place than therefore was documented by many, however
239200	242580	by 2016 there was a new gap in the market.
242580	246660	2016 was an interesting year, not just for YouTube but for people, we were moving into
246660	251140	a more volatile area, there was an era of cynicism, but one thing I'd say in particular
251140	254620	was that people were becoming more aware, aware of the world around them, aware of the
254620	258820	tactics being used by people who were previously trusted, people no longer sought after those
258820	263560	who pandered to their sympathies, it was a real shift in mentality across the spectrum,
263560	267860	and that awareness of the world around them led to an equally increased awareness of self.
267860	272100	It led to a more brooding generation, a set of people looking more inside themselves rather
272100	276460	than looking for exterior validation from the previous set of superficial creators,
276460	280440	and through this rose a very interesting genre known as storytime animation.
280440	284060	Most people here will probably know the odd ones out who was one of the real pioneers
284060	288480	of the genre, at the turn of 2016 he had little more than 10,000 subscribers, yet by
288480	291260	the end he had over 2 million.
291260	292260	Why though?
292260	295700	Well his content reflected the landscape that I just described you, when looking inside
295700	299140	themselves people found insecurities, things that they wanted to change, and no longer
